Date,Close,Open,High,Low,Volume,Change_pct,Target_Next_Close
2012-01-04,726.99,727.22,731.54,725.16,684660.0,1.2,727.12
2012-01-05,727.12,726.45,730.39,723.50,827350.0,0.02,725.69
2012-01-06,725.69,725.00,728.96,723.79,798070.0,-0.2,732.21
2012-01-09,732.21,723.76,732.21,723.13,718550.0,0.9,738.13
2012-01-10,738.13,734.53,740.07,733.90,882740.0,0.81,736.14
2012-01-11,736.14,737.61,742.21,735.56,704690.0,-0.27,735.88
2012-01-12,735.88,737.54,739.45,734.33,610050.0,-0.04,730.40
2012-01-13,730.40,735.45,736.95,727.55,743620.0,-0.74,724.43
2012-01-16,724.43,725.57,726.47,722.68,519169.99999999994,-0.82,740.03
2012-01-17,740.03,729.48,740.03,728.30,680140.0,2.15,735.37
2012-01-18,735.37,739.61,741.74,735.29,910770.0,-0.63,740.60
2012-01-19,740.60,740.50,742.82,736.36,712540.0,0.71,739.56
2012-01-20,739.56,742.19,743.13,737.58,648330.0,-0.14,741.67
2012-01-23,741.67,739.92,744.98,739.21,382160.0,0.29,742.95
2012-01-24,742.95,744.26,748.81,742.95,769600.0,0.17,736.69
2012-01-25,736.69,745.71,746.25,735.99,514000.0,-0.84,745.81
2012-01-26,745.81,740.54,746.52,740.10,549610.0,1.24,752.18
2012-01-27,752.18,748.94,753.48,746.86,833570.0,0.85,750.95
2012-01-30,750.95,751.83,755.36,749.14,1260000.0,-0.16,757.45
2012-01-31,757.45,755.00,757.45,749.26,822470.0,0.87,759.16
2012-02-01,759.16,756.55,760.08,753.02,1790000.0,0.23,763.40
2012-02-02,763.40,763.43,769.03,762.25,1210000.0,0.56,768.96
2012-02-03,768.96,765.41,769.42,761.94,1070000.0,0.73,765.82
2012-02-06,765.82,774.30,775.68,765.82,935420.0,-0.41,770.95
2012-02-07,770.95,767.68,772.13,764.11,982840.0,0.67,783.39
2012-02-08,783.39,776.32,787.15,776.21,1400000.0,1.61,784.72
2012-02-09,784.72,784.24,787.65,779.31,1260000.0,0.17,781.21
2012-02-10,781.21,783.17,787.10,779.57,815650.0,-0.45,784.08
2012-02-13,784.08,782.79,786.57,781.09,762890.0,0.37,776.12
2012-02-14,776.12,781.86,787.35,773.24,1240000.0,-1.02,791.85
2012-02-15,791.85,782.11,793.21,782.11,2049999.9999999998,2.03,787.13
2012-02-16,787.13,790.17,792.38,784.75,1360000.0,-0.6,794.86
2012-02-17,794.86,796.21,797.02,789.13,1150000.0,0.98,800.22
2012-02-20,800.22,799.60,801.66,796.53,1400000.0,0.67,803.66
2012-02-21,803.66,802.46,806.04,799.97,1020000.0,0.43,801.59
2012-02-22,801.59,806.61,809.71,801.38,5850000000.0,-0.26,803.61
2012-02-23,803.61,802.97,805.36,795.03,976320000.0,0.25,808.27
2012-02-24,808.27,806.13,809.32,804.66,698350000.0,0.58,799.19
2012-02-27,799.19,809.13,810.04,797.64,701400000.0,-1.12,807.69
2012-02-28,807.69,801.04,807.69,798.49,612980000.0,1.06,818.78
2012-02-29,818.78,810.78,818.78,810.29,1090000000.0,1.37,821.96
2012-03-01,821.96,817.39,823.20,815.57,1400000000.0,0.39,821.18
2012-03-02,821.18,825.27,827.85,820.56,1140000000.0,-0.09,814.68
2012-03-05,814.68,818.90,819.58,813.77,753750000.0,-0.79,810.79
2012-03-06,810.79,812.25,816.16,808.54,771010000.0,-0.48,823.07
2012-03-08,823.07,813.49,823.07,813.21,1510000000.0,1.51,814.89
2012-03-09,814.89,824.41,824.94,814.89,1910000000.0,-0.99,807.65
2012-03-12,807.65,817.53,820.02,804.49,1180000000.0,-0.89,809.97
2012-03-13,809.97,812.13,813.09,802.71,1370000000.0,0.29,818.14
2012-03-14,818.14,817.35,820.98,813.18,1020000000.0,1.01,823.39
2012-03-15,823.39,819.82,826.05,819.41,1340000000.0,0.64,838.44
2012-03-16,838.44,827.74,838.44,824.71,1920000000.0,1.83,837.93
2012-03-19,837.93,843.59,847.87,837.93,1730000000.0,-0.06,843.65
2012-03-20,843.65,838.32,846.73,837.67,1030000000.0,0.68,852.14
2012-03-21,852.14,843.18,852.14,840.23,1720000000.0,1.01,839.22
2012-03-22,839.22,851.41,857.00,839.22,2570000000.0,-1.52,841.76
2012-03-23,841.76,840.48,844.12,830.10,1170000000.0,0.3,836.77
2012-03-26,836.77,842.99,845.08,835.96,745170000.0,-0.59,852.25
2012-03-27,852.25,848.14,852.25,844.45,817760000.0,1.85,849.51
2012-03-28,849.51,849.47,853.53,845.67,679890000.0,-0.32,849.34
2012-03-29,849.34,844.82,850.73,841.55,716130000.0,-0.02,842.91
2012-03-30,842.91,850.32,851.94,840.46,855680000.0,-0.76,843.87
2012-04-02,843.87,842.04,847.13,841.08,448470000.0,0.11,853.51
2012-04-03,853.51,848.26,855.38,848.01,703850000.0,1.14,843.26
2012-04-04,843.26,851.28,853.32,843.26,706340000.0,-1.2,831.74
2012-04-05,831.74,841.62,842.45,827.91,760320000.0,-1.37,819.57
2012-04-10,819.57,825.28,826.57,813.38,697780000.0,-1.46,810.76
2012-04-11,810.76,812.25,816.09,808.06,834390000.0,-1.07,821.45
2012-04-12,821.45,813.41,821.45,813.41,469120000.0,1.32,813.00
2012-04-17,813.00,829.87,829.87,809.76,640060000.0,-1.03,818.87
2012-04-18,818.87,820.89,823.27,815.60,632290000.0,0.72,832.66
2012-04-19,832.66,820.58,832.82,819.07,652360000.0,1.68,839.45
2012-04-20,839.45,832.12,840.17,830.04,974840000.0,0.82,834.68
2012-04-23,834.68,842.38,844.61,832.56,1470000000.0,-0.57,842.26
2012-04-24,842.26,838.06,842.26,834.69,885590000.0,0.91,842.33
2012-04-25,842.33,843.33,845.64,838.72,854770000.0,0.01,848.32
2012-04-26,848.32,843.86,851.26,843.86,799370000.0,0.71,850.11
2012-04-27,850.11,850.31,852.48,844.54,531960000.00000006,0.21,863.82
2012-04-30,863.82,855.09,863.82,854.89,852670000.0,1.61,871.94
2012-05-02,871.94,869.58,873.64,867.86,811380000.0,0.94,872.75
2012-05-03,872.75,872.92,879.50,869.33,1080000000.0,0.09,861.93
2012-05-04,861.93,872.66,872.66,861.01,1150000000.0,-1.24,864.17
2012-05-08,864.17,856.98,865.44,854.85,1160000000.0,0.26,845.27
