Date,Close,Open,High,Low,Volume,Change_pct,Target_Next_Close
2012-01-01,757.45,727.22,757.45,722.68,14580000000.0,5.44,818.78
2012-02-01,818.78,756.55,818.78,753.02,28380000000.0,8.1,842.91
2012-03-01,842.91,817.39,857.00,802.71,26340000000.0,2.95,863.82
2012-04-01,863.82,842.04,863.82,808.06,12910000000.0,2.48,791.54
2012-05-01,791.54,869.58,879.50,764.09,20690000000.0,-8.37,814.38
2012-06-01,814.38,787.71,826.08,761.66,13980000000.0,2.89,828.67
2012-07-01,828.67,824.57,853.64,808.42,13680000000.0,1.75,840.32
2012-08-01,840.32,826.78,855.64,816.83,16030000000.000002,1.41,886.58
2012-09-01,886.58,842.89,887.86,840.97,21660000000.0,5.51,879.06
2012-10-01,879.06,882.98,892.63,859.29,18910000000.0,-0.85,898.81
2012-11-01,898.81,877.29,902.18,855.61,17490000000.0,2.25,945.39
2012-12-01,945.39,902.10,955.60,899.24,11940000000.0,5.18,988.21
2013-01-01,988.21,952.24,"1,001.97",935.99,33130000000.000004,4.53,"1,014.03"
2013-02-01,"1,014.03",993.32,"1,021.59",982.12,23370000000.0,2.61,"1,024.92"
2013-03-01,"1,024.92","1,015.48","1,047.64",971.25,32030000000.0,1.07,"1,055.62"
2013-04-01,"1,055.62","1,024.99","1,055.62",962.05,17870000000.0,3.0,"1,029.01"
2013-05-01,"1,029.01","1,058.74","1,096.29","1,024.14",23180000000.0,-2.52,982.99
2013-06-01,982.99,"1,025.82","1,032.75",899.82,27420000000.0,-4.47,966.03
2013-07-01,966.03,992.28,"1,030.20",936.62,26040000000.0,-1.73,882.98
2013-08-01,882.98,977.00,993.37,861.97,29530000000.0,-8.6,940.88
2013-09-01,940.88,886.37,"1,023.56",883.75,31410000000.0,6.56,987.06
2013-10-01,987.06,945.59,"1,014.87",939.43,29670000000.0,4.91,935.22
2013-11-01,935.22,977.54,986.31,917.24,25840000000.0,-5.25,883.40
2013-12-01,883.40,926.74,952.77,875.17,15660000000.0,-5.54,866.34
2014-01-01,866.34,878.09,903.86,815.56,22510000000.0,-1.93,899.51
2014-02-01,899.51,872.84,906.82,860.83,15400000000.0,3.83,935.76
2014-03-01,935.76,903.53,937.38,903.32,18210000000.0,4.03,959.51
2014-04-01,959.51,936.78,968.43,933.96,12890000000.0,2.54,952.20
2014-05-01,952.20,960.73,968.39,930.00,17020000000.0,-0.76,999.62
2014-06-01,999.62,958.66,"1,004.79",957.87,22610000000.0,4.98,"1,006.97"
2014-07-01,"1,006.97","1,003.49","1,037.05",998.94,24080000000.0,0.74,"1,044.25"
2014-08-01,"1,044.25",997.61,"1,054.11",996.70,25380000000.0,3.7,"1,057.22"
2014-09-01,"1,057.22","1,048.53","1,070.00","1,042.67",23020000000.0,1.24,"1,053.22"
2014-10-01,"1,053.22","1,059.84","1,064.43","1,009.17",17890000000.0,-0.38,"1,069.36"
2014-11-01,"1,069.36","1,058.45","1,076.94","1,039.03",14110000000.0,1.53,"1,001.01"
2014-12-01,"1,001.01","1,065.86","1,075.00",912.67,17920000000.0,-6.39,"1,050.29"
2015-01-01,"1,050.29","1,002.19","1,083.47",967.74,17970000000.0,4.92,"1,042.80"
2015-02-01,"1,042.80","1,047.72","1,082.59","1,031.37",23320000000.0,-0.71,997.66
2015-03-01,997.66,"1,043.90","1,045.39",986.78,25100000000.0,-4.33,"1,006.10"
2015-04-01,"1,006.10",998.13,"1,046.62",995.03,19060000000.0,0.85,985.37
2015-05-01,985.37,"1,008.25","1,017.93",980.31,17230000000.0,-2.06,989.21
2015-06-01,989.21,981.60,"1,004.12",969.95,20760000000.0,0.39,950.42
2015-07-01,950.42,989.01,989.41,921.14,27830000000.0,-3.92,905.68
2015-08-01,905.68,946.25,949.95,838.84,29110000000.0,-4.71,868.71
2015-09-01,868.71,904.05,913.15,864.22,32130000000.000004,-4.08,899.52
2015-10-01,899.52,872.13,927.27,864.13,29360000000.0,3.55,869.38
2015-11-01,869.38,900.38,923.05,865.15,32500000000.0,-3.35,813.55
2015-12-01,813.55,872.53,876.20,796.33,31770000000.0,-6.42,826.21
2016-01-01,826.21,811.91,826.21,757.91,35480000000.0,1.56,851.02
2016-02-01,851.02,824.13,860.26,798.90,26390000000.0,3.0,905.93
2016-03-01,905.93,854.20,916.95,850.96,53130000000.0,6.45,891.83
2016-04-01,891.83,902.60,916.09,856.72,24960000000.0,-1.56,911.11
2016-05-01,911.11,890.85,914.56,874.45,27490000000.0,2.16,910.56
2016-06-01,910.56,909.37,927.20,879.69,32090000000.000004,-0.06,964.44
2016-07-01,964.44,916.81,971.32,908.04,35090000000.0,5.92,983.26
2016-08-01,983.26,969.60,995.59,942.22,36260000000.0,1.95,944.42
2016-09-01,944.42,983.85,984.67,899.06,33409999999.999996,-3.95,936.66
2016-10-01,936.66,949.75,967.78,850.23,36220000000.0,-0.82,943.18
2016-11-01,943.18,939.53,952.98,909.30,31980000000.0,0.7,964.84
2016-12-01,964.84,950.36,968.60,936.00,15890000000.0,2.3,984.21
2017-01-01,984.21,968.24,"1,004.03",963.58,32840000000.000004,2.01,978.46
2017-02-01,978.46,982.22,"1,000.71",975.54,21080000000.0,-0.58,996.44
2017-03-01,996.44,981.19,"1,005.43",968.10,22730000000.0,1.84,993.98
2017-04-01,993.98,998.92,"1,009.23",987.25,15940000000.0,-0.25,986.08
2017-05-01,986.08,994.03,"1,000.63",976.94,18670000000.0,-0.79,994.35
2017-06-01,994.35,986.69,"1,003.26",982.82,19860000000.0,0.84,"1,003.96"
2017-07-01,"1,003.96",996.76,"1,009.21",988.87,16530000000.000002,0.97,"1,034.29"
2017-08-01,"1,034.29","1,001.85","1,044.36",991.42,20220000000.0,3.02,"1,068.92"
2017-09-01,"1,068.92","1,037.25","1,079.83","1,029.10",26670000000.0,3.35,"1,094.74"
2017-10-01,"1,094.74","1,071.88","1,107.69","1,065.27",22510000000.0,2.42,"1,085.86"
2017-11-01,"1,085.86","1,099.65","1,100.46","1,066.35",22970000000.0,-0.81,"1,135.14"
2017-12-01,"1,135.14","1,091.57","1,145.14","1,082.71",17550000000.0,4.54,"1,186.16"
2018-01-01,"1,186.16","1,139.70","1,202.06","1,138.20",36170000000.0,4.49,"1,205.57"
2018-02-01,"1,205.57","1,191.58","1,223.67","1,140.37",29700000000.0,1.64,"1,171.79"
2018-03-01,"1,171.79","1,197.88","1,201.62","1,155.88",30930000000.0,-2.8,"1,177.02"
2018-04-01,"1,177.02","1,170.17","1,198.48","1,136.17",25180000000.0,0.45,"1,134.76"
2018-05-01,"1,134.76","1,174.72","1,191.14","1,122.97",32979999999.999996,-3.59,"1,051.63"
2018-06-01,"1,051.63","1,134.55","1,152.40","1,043.32",29540000000.0,-7.33,"1,127.56"
2018-07-01,"1,127.56","1,053.26","1,132.39","1,043.67",33320000000.0,7.22,"1,138.80"
2018-08-01,"1,138.80","1,129.93","1,147.45","1,098.99",28080000000.0,1.0,"1,158.75"
2018-09-01,"1,158.75","1,138.38","1,166.78","1,090.92",28740000000.0,1.75,"1,102.49"
2018-10-01,"1,102.49","1,163.05","1,164.92","1,048.41",22970000000.0,-4.86,"1,091.55"
2018-11-01,"1,091.55","1,104.04","1,118.18","1,061.59",18180000000.0,-0.99,"1,044.92"
2018-12-01,"1,044.92","1,108.31","1,122.34","1,031.45",16780000000.000002,-4.27,"1,096.50"
2019-01-01,"1,096.50","1,048.13","1,102.66","1,034.66",25510000000.0,4.94,"1,099.30"
2019-02-01,"1,099.30","1,098.26","1,117.58","1,086.88",19310000000.0,0.26,"1,090.94"
2019-03-01,"1,090.94","1,100.90","1,102.15","1,070.63",19660000000.0,-0.76,"1,112.39"
2019-04-01,"1,112.39","1,095.81","1,121.14","1,090.64",17710000000.0,1.97,"1,074.87"
2019-05-01,"1,074.87","1,115.35","1,119.20","1,061.58",24780000000.0,-3.37,"1,150.85"
2019-06-01,"1,150.85","1,078.64","1,155.69","1,076.83",26130000000.0,7.07,"1,130.92"
2019-07-01,"1,130.92","1,162.32","1,164.72","1,123.89",27510000000.0,-1.73,"1,096.47"
2019-08-01,"1,096.47","1,126.28","1,128.70","1,046.62",29790000000.0,-3.05,"1,090.31"
2019-09-01,"1,090.31","1,092.95","1,118.99","1,077.05",27680000000.0,-0.56,"1,073.26"
