Date,Close,Open,High,Low,Volume,Change_pct,Target_Next_Close
2012-01-01,725.69,727.22,731.54,723.50,2310000000.0,1.01,730.40
2012-01-08,730.40,723.76,742.21,723.13,3660000000.0,0.65,739.56
2012-01-15,739.56,725.57,743.13,722.68,3470000000.0,1.25,752.18
2012-01-22,752.18,739.92,753.48,735.99,3050000000.0,1.71,768.96
2012-01-29,768.96,751.83,769.42,749.14,6160000000.0,2.23,781.21
2012-02-05,781.21,774.30,787.65,764.11,5390000000.0,1.59,794.86
2012-02-12,794.86,782.79,797.02,773.24,6560000000.0,1.75,808.27
2012-02-19,808.27,799.60,809.71,795.03,9950000000.0,1.69,821.18
2012-02-26,821.18,809.13,827.85,797.64,4930000000.0,1.6,814.89
2012-03-04,814.89,818.90,824.94,808.54,4950000000.0,-0.77,838.44
2012-03-11,838.44,817.53,838.44,802.71,6820000000.0,2.89,841.76
2012-03-18,841.76,843.59,857.00,830.10,8220000000.000001,0.4,842.91
2012-03-25,842.91,842.99,853.53,835.96,3810000000.0,0.14,831.74
2012-04-01,831.74,842.04,855.38,827.91,2620000000.0,-1.33,821.45
2012-04-08,821.45,825.28,826.57,808.06,2000000000.0,-1.24,839.45
2012-04-15,839.45,829.87,840.17,809.76,2900000000.0,2.19,850.11
2012-04-22,850.11,842.38,852.48,832.56,4540000000.0,1.27,861.93
2012-04-29,861.93,855.09,879.50,854.89,3900000000.0,1.39,833.65
2012-05-06,833.65,856.98,865.44,823.56,6440000000.0,-3.28,806.71
2012-05-13,806.71,833.13,840.65,802.61,4840000000.0,-3.23,786.87
2012-05-20,786.87,805.20,806.19,764.09,3760000000.0,-2.46,772.39
2012-05-27,772.39,784.10,804.46,772.39,3210000000.0,-1.84,783.68
2012-06-03,783.68,776.13,789.06,761.66,2140000000.0000002,1.46,812.56
2012-06-10,812.56,796.74,816.37,796.74,4570000000.0,3.69,800.07
2012-06-17,800.07,822.50,824.79,793.75,3580000000.0,-1.54,814.38
2012-06-24,814.38,798.85,826.08,794.04,3080000000.0,1.79,833.94
2012-07-01,833.94,824.57,838.44,821.44,3320000000.0,2.4,841.59
2012-07-08,841.59,826.92,843.68,822.77,2410000000.0,0.92,836.99
2012-07-15,836.99,843.33,853.64,834.19,3730000000.0,-0.55,812.36
2012-07-22,812.36,820.99,826.23,808.42,3100000000.0,-2.94,825.47
2012-07-29,825.47,816.32,830.29,815.85,2810000000.0,1.61,841.50
2012-08-05,841.50,832.44,843.39,828.51,4040000000.0,1.94,843.73
2012-08-12,843.73,845.42,851.22,840.78,2650000000.0,0.27,850.60
2012-08-19,850.60,842.03,855.64,838.96,3420000000.0,0.81,840.32
2012-08-26,840.32,852.16,853.93,825.35,4230000000.0000005,-1.21,851.95
2012-09-02,851.95,842.89,859.74,840.97,4670000000.0,1.38,874.81
2012-09-09,874.81,854.56,877.34,850.17,5820000000.0,2.68,878.85
2012-09-16,878.85,875.76,881.12,868.50,4580000000.0,0.46,886.58
2012-09-23,886.58,875.96,887.86,866.03,6590000000.0,0.88,889.77
2012-09-30,889.77,882.98,892.63,881.68,4059999999.9999995,0.36,879.31
2012-10-07,879.31,886.82,890.82,865.81,4790000000.0,-1.18,886.76
