"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"12/01/2025","835.67","823.80","846.77","823.20","25.76B","1.57%"
"11/01/2025","822.78","856.04","857.36","814.66","28.96B","-3.42%"
"10/01/2025","851.93","822.56","876.98","820.65","31.11B","3.21%"
"09/01/2025","825.42","806.29","847.97","803.24","31.85B","2.15%"
"08/01/2025","808.02","821.06","836.45","793.67","33.98B","-0.83%"
"07/01/2025","814.78","712.86","820.66","706.23","35.26B","14.98%"
"06/01/2025","708.60","744.44","746.24","684.49","32.95B","-5.02%"
"05/01/2025","746.02","787.49","805.23","746.02","32.38B","-3.84%"
"04/01/2025","775.79","745.48","775.79","667.69","31.97B","4.87%"
"03/01/2025","739.77","769.43","772.36","731.10","30.68B","-3.51%"
"02/01/2025","766.70","826.89","858.32","753.75","36.35B","-10.47%"
"01/01/2025","856.40","904.48","906.27","852.95","29.59B","-5.50%"
"12/01/2024","906.23","921.23","943.29","880.01","21.80B","-1.33%"
"11/01/2024","918.45","935.54","958.59","915.94","23.32B","-1.95%"
"10/01/2024","936.69","914.19","965.78","909.29","31.16B","2.47%"
"09/01/2024","914.07","853.75","931.59","852.63","44.52B","6.61%"
"08/01/2024","857.38","832.71","866.68","804.04","35.00B","3.06%"
"07/01/2024","831.91","806.33","833.10","797.41","28.54B","3.20%"
"06/01/2024","806.10","830.08","833.37","796.62","31.27B","-2.40%"
"05/01/2024","825.96","838.63","858.61","823.05","28.27B","-1.43%"
"04/01/2024","837.97","845.49","871.51","815.35","22.01B","-0.76%"
"03/01/2024","844.41","836.02","854.80","823.55","21.77B","0.98%"
"02/01/2024","836.19","833.73","860.04","829.39","24.30B","0.26%"
"01/01/2024","834.02","874.70","886.36","827.20","28.80B","-4.71%"
"12/01/2023","875.25","853.57","878.77","838.67","17.52B","2.62%"
"11/01/2023","852.94","855.59","886.33","847.26","27.49B","-0.42%"
"10/01/2023","856.53","900.67","906.19","845.27","24.58B","-4.75%"
"09/01/2023","899.28","959.57","962.12","899.28","26.94B","-6.05%"
"08/01/2023","957.21","961.51","970.42","930.15","35.94B","-0.93%"
"07/01/2023","966.18","922.27","970.58","903.16","25.69B","5.10%"
"06/01/2023","919.28","925.34","954.62","891.79","29.84B","-0.58%"
"05/01/2023","924.65","925.86","956.76","903.66","29.97B","0.21%"
"04/01/2023","922.72","975.01","977.46","918.86","19.23B","-5.29%"
"03/01/2023","974.26","969.37","976.98","906.76","31.34B","0.90%"
"02/01/2023","965.56","996.56","1,007.11","964.03","27.38B","-2.76%"
"01/01/2023","992.95","1,009.84","1,020.39","992.13","27.39B","-1.22%"
"12/01/2022","1,005.24","996.86","1,014.08","968.38","20.85B","1.15%"
"11/01/2022","993.78","983.00","1,003.34","976.28","25.22B","1.46%"
"10/01/2022","979.45","952.76","985.18","931.66","24.92B","2.62%"
"09/01/2022","954.44","993.51","1,005.46","952.51","30.04B","-4.20%"
"08/01/2022","996.33","962.56","998.54","958.52","32.11B","3.92%"
"07/01/2022","958.73","953.74","960.27","929.92","24.85B","0.81%"
"06/01/2022","951.07","1,000.98","1,004.63","936.57","32.07B","-5.11%"
"05/01/2022","1,002.24","983.39","1,002.27","945.90","29.98B","1.90%"
"04/01/2022","983.56","1,018.20","1,027.07","974.86","23.12B","-3.54%"
"03/01/2022","1,019.67","1,022.53","1,034.67","958.08","43.80B","0.30%"
"02/01/2022","1,016.58","1,000.29","1,041.37","995.05","44.67B","2.34%"
"01/01/2022","993.29","995.80","1,004.26","975.62","39.18B","0.26%"
"12/01/2021","990.75","940.99","993.53","931.04","28.92B","5.95%"
"11/01/2021","935.08","978.17","994.89","933.35","46.63B","-4.06%"
"10/01/2021","974.67","960.35","995.31","956.65","34.91B","1.07%"
"09/01/2021","964.35","994.57","1,005.67","953.40","35.93B","-2.80%"
"08/01/2021","992.13","912.78","995.78","903.57","29.20B","8.95%"
"07/01/2021","910.61","955.95","960.45","908.20","28.69B","-4.52%"
"06/01/2021","953.72","968.66","995.06","943.86","29.63B","-0.92%"
"05/01/2021","962.58","953.45","965.58","912.03","25.89B","0.69%"
"04/01/2021","955.97","975.60","983.18","935.96","25.52B","-1.57%"
"03/01/2021","971.24","928.25","985.45","924.02","42.38B","4.44%"
"02/01/2021","929.95","914.83","958.20","908.04","30.78B","1.45%"
"01/01/2021","916.66","896.70","992.03","893.62","43.54B","0.68%"
"12/01/2020","910.45","915.65","968.93","881.64","81.44B","0.20%"
"11/01/2020","908.61","747.17","938.34","743.57","59.89B","21.76%"
"10/01/2020","746.26","786.49","810.61","739.95","23.24B","-4.46%"
"09/01/2020","781.06","846.41","851.65","780.61","18.97B","-7.48%"
"08/01/2020","844.22","858.84","880.89","838.10","24.85B","-2.17%"
"07/01/2020","862.98","889.71","922.66","844.39","26.07B","-2.50%"
"06/01/2020","885.15","905.10","979.98","861.47","44.78B","-1.21%"
"05/01/2020","896.01","862.83","904.63","838.04","37.63B","2.57%"
"04/01/2020","873.56","749.55","873.56","740.29","44.73B","15.41%"
"03/01/2020","756.91","911.75","948.74","628.97","50.36B","-15.70%"
"02/01/2020","897.84","1,013.10","1,038.72","894.31","28.48B","-11.81%"
"01/01/2020","1,018.08","1,072.36","1,086.71","1,011.96","33.05B","-4.72%"
"12/01/2019","1,068.50","1,068.96","1,077.51","1,041.28","25.51B","-0.16%"
"11/01/2019","1,070.23","1,072.65","1,107.13","1,062.23","31.26B","-0.28%"
"10/01/2019","1,073.26","1,090.54","1,096.38","1,057.94","24.55B","-1.56%"
"09/01/2019","1,090.31","1,092.95","1,118.99","1,077.05","27.68B","-0.56%"
"08/01/2019","1,096.47","1,126.28","1,128.70","1,046.62","29.79B","-3.05%"
"07/01/2019","1,130.92","1,162.32","1,164.72","1,123.89","27.51B","-1.73%"
"06/01/2019","1,150.85","1,078.64","1,155.69","1,076.83","26.13B","7.07%"
"05/01/2019","1,074.87","1,115.35","1,119.20","1,061.58","24.78B","-3.37%"
"04/01/2019","1,112.39","1,095.81","1,121.14","1,090.64","17.71B","1.97%"
"03/01/2019","1,090.94","1,100.90","1,102.15","1,070.63","19.66B","-0.76%"
"02/01/2019","1,099.30","1,098.26","1,117.58","1,086.88","19.31B","0.26%"
"01/01/2019","1,096.50","1,048.13","1,102.66","1,034.66","25.51B","4.94%"
"12/01/2018","1,044.92","1,108.31","1,122.34","1,031.45","16.78B","-4.27%"
"11/01/2018","1,091.55","1,104.04","1,118.18","1,061.59","18.18B","-0.99%"
"10/01/2018","1,102.49","1,163.05","1,164.92","1,048.41","22.97B","-4.86%"
