"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"12/21/2025","835.55","834.20","846.77","831.71","4.96B","0.85%"
"12/14/2025","828.50","824.94","841.16","823.29","7.85B","0.08%"
"12/07/2025","827.81","838.74","842.79","825.54","4.72B","-1.20%"
"11/30/2025","837.85","823.80","844.73","823.20","6.07B","1.83%"
"11/23/2025","822.78","822.81","834.03","818.02","8.25B","0.45%"
"11/16/2025","819.10","828.13","845.26","814.66","7.29B","-1.16%"
"11/09/2025","828.73","850.78","853.87","825.53","6.44B","-2.22%"
"11/02/2025","847.55","856.04","857.36","835.47","6.98B","-0.51%"
"10/26/2025","851.93","865.24","876.98","847.38","8.85B","-0.74%"
"10/19/2025","858.28","835.48","863.22","832.68","6.43B","3.80%"
"10/12/2025","826.83","834.74","843.01","820.65","5.60B","-0.92%"
"10/05/2025","834.49","837.89","850.02","829.88","6.60B","-0.21%"
"09/28/2025","836.26","831.39","840.05","821.53","6.92B","1.29%"
"09/21/2025","825.62","836.18","837.38","820.27","6.33B","-1.11%"
"09/14/2025","834.86","837.32","847.97","831.97","7.23B","-0.24%"
"09/07/2025","836.87","827.94","841.59","819.42","7.54B","1.74%"
"08/31/2025","822.56","806.29","829.45","803.24","7.48B","1.80%"
"08/24/2025","808.02","827.13","829.70","807.66","8.41B","-1.37%"
"08/17/2025","819.27","818.41","823.26","799.13","7.07B","0.25%"
"08/10/2025","817.19","826.72","832.50","814.25","6.14B","-0.11%"
"08/03/2025","818.09","799.81","836.45","793.67","10.08B","2.72%"
"07/27/2025","796.43","803.64","823.48","795.49","8.23B","-0.20%"
"07/20/2025","798.05","794.29","804.66","778.51","8.57B","1.09%"
"07/13/2025","789.42","728.84","791.85","728.10","9.70B","8.43%"
"07/06/2025","728.07","721.92","735.77","717.45","5.44B","0.26%"
"06/29/2025","726.16","708.93","733.38","701.79","7.55B","3.18%"
"06/22/2025","703.75","688.11","731.58","684.49","10.08B","1.52%"
"06/15/2025","693.21","729.42","732.53","690.91","9.59B","-5.07%"
"06/08/2025","730.27","742.20","745.07","726.78","6.97B","-1.00%"
"06/01/2025","737.62","744.44","746.24","730.15","4.36B","-1.13%"
"05/25/2025","746.02","770.18","771.80","746.02","7.79B","-2.92%"
"05/18/2025","768.45","775.81","782.88","765.25","7.72B","-1.38%"
"05/11/2025","779.20","801.92","805.23","774.52","7.32B","-1.29%"
"05/04/2025","789.38","778.31","794.31","769.22","7.78B","1.61%"
"04/27/2025","776.89","743.91","790.70","740.54","6.31B","4.77%"
"04/20/2025","741.52","734.16","743.60","718.69","7.78B","0.79%"
"04/13/2025","735.70","725.46","737.92","717.92","4.67B","1.19%"
"04/06/2025","727.04","680.16","739.55","667.69","9.07B","1.66%"
"03/30/2025","715.17","737.73","754.16","713.61","7.54B","-4.74%"
"03/23/2025","750.73","755.89","762.84","748.76","5.57B","-0.51%"
"03/16/2025","754.58","744.69","762.13","736.53","7.92B","1.56%"
"03/09/2025","742.98","757.73","758.91","731.10","7.33B","-2.65%"
"03/02/2025","763.23","769.43","772.36","742.55","8.22B","-0.45%"
"02/23/2025","766.70","792.01","792.04","753.75","11.87B","-3.57%"
"02/16/2025","795.09","805.13","814.49","790.96","9.40B","-4.08%"
"02/09/2025","828.87","831.81","849.78","822.79","5.88B","-1.12%"
"02/02/2025","838.22","826.89","858.32","817.22","9.20B","-2.12%"
"01/26/2025","856.40","879.94","883.89","852.95","7.65B","-3.15%"
"01/19/2025","884.29","879.18","892.22","873.63","7.03B","0.97%"
"01/12/2025","875.76","885.88","891.83","869.93","6.86B","-1.86%"
"01/05/2025","892.34","899.56","906.27","880.06","6.29B","-0.42%"
"12/29/2024","896.07","910.62","915.79","890.13","2.56B","-1.41%"
"12/22/2024","908.90","890.55","916.00","885.51","4.69B","2.85%"
"12/15/2024","883.72","919.50","922.05","880.01","7.10B","-4.30%"
"12/08/2024","923.47","934.40","943.29","921.69","4.81B","-1.41%"
"12/01/2024","936.67","921.23","941.44","913.58","4.39B","1.98%"
"11/24/2024","918.45","938.47","940.71","915.94","5.90B","-1.62%"
"11/17/2024","933.61","936.60","953.71","925.19","5.30B","0.22%"
"11/10/2024","931.56","941.31","946.68","927.21","5.68B","-1.05%"
"11/03/2024","941.49","938.76","958.59","934.93","5.55B","0.61%"
"10/27/2024","935.77","937.81","939.77","921.79","6.09B","-0.18%"
"10/20/2024","937.49","957.23","958.20","932.32","5.76B","-1.80%"
"10/13/2024","954.67","938.14","965.78","933.29","6.59B","1.92%"
"10/06/2024","936.64","916.97","945.43","915.71","7.07B","2.10%"
"09/29/2024","917.34","910.97","928.42","909.29","7.97B","0.21%"
"09/22/2024","915.43","915.70","931.59","908.27","9.08B","0.20%"
"09/15/2024","913.59","899.90","922.50","897.75","12.12B","1.53%"
"09/08/2024","899.81","905.27","911.23","886.98","10.70B","-0.61%"
"09/01/2024","905.34","853.75","908.41","852.63","11.17B","5.59%"
"08/25/2024","857.38","854.11","866.68","851.21","9.39B","0.37%"
"08/18/2024","854.25","826.78","855.15","824.11","8.31B","3.50%"
"08/11/2024","825.35","824.61","828.92","810.09","6.45B","0.31%"
"08/04/2024","822.84","816.27","828.87","804.04","8.10B","-0.58%"
"07/28/2024","827.63","825.21","837.52","820.55","6.08B","0.77%"
"07/21/2024","821.29","824.30","826.47","807.31","6.49B","-0.19%"
"07/14/2024","822.87","823.47","830.03","820.58","7.28B","-0.55%"
"07/07/2024","827.38","813.41","828.51","812.52","6.05B","1.64%"
"06/30/2024","814.04","806.33","814.45","797.41","5.39B","0.98%"
"06/23/2024","806.10","805.79","821.05","803.44","8.02B","-0.33%"
"06/16/2024","808.74","807.99","813.45","796.62","8.84B","0.00%"
"06/09/2024","808.76","817.01","817.84","806.47","6.89B","-1.35%"
"06/02/2024","819.85","830.08","833.37","815.27","7.51B","-0.74%"
"05/26/2024","825.96","843.24","844.32","823.05","9.18B","-1.69%"
"05/19/2024","840.13","855.70","858.61","837.24","5.58B","-1.61%"
"05/12/2024","853.89","844.26","855.38","840.11","6.17B","1.20%"
"05/05/2024","843.75","844.16","851.91","838.97","4.63B","0.40%"
"04/28/2024","840.39","837.37","842.68","828.80","5.06B","0.80%"
"04/21/2024","833.69","825.20","838.24","821.36","5.83B","2.07%"
"04/14/2024","816.80","845.71","847.29","815.35","5.16B","-4.96%"
"04/07/2024","859.39","848.92","871.51","846.88","3.70B","1.57%"
"03/31/2024","846.14","845.49","849.77","839.88","4.98B","0.20%"
"03/24/2024","844.41","847.31","850.91","836.85","4.98B","-0.40%"
"03/17/2024","847.80","848.91","853.47","840.11","4.68B","0.08%"
"03/10/2024","847.13","845.37","854.80","839.44","5.62B","-0.10%"
"03/03/2024","848.02","834.91","848.12","823.55","5.20B","1.70%"
"02/25/2024","833.85","853.81","856.86","832.36","6.35B","-2.49%"
"02/18/2024","855.12","843.27","859.80","838.50","6.27B","1.08%"
"02/11/2024","845.97","849.26","855.08","841.39","4.99B","-0.31%"
"02/04/2024","848.58","846.28","860.04","843.82","5.67B","0.15%"
"01/28/2024","847.31","841.29","849.07","829.39","5.95B","1.25%"
"01/21/2024","836.86","845.91","847.60","827.20","8.65B","-1.01%"
"01/14/2024","845.38","866.88","866.97","838.88","6.85B","-2.34%"
"01/07/2024","865.60","874.37","876.04","862.08","5.13B","-1.05%"
"12/31/2023","874.81","874.70","886.36","872.71","4.55B","-0.05%"
"12/24/2023","875.25","871.16","878.77","870.85","3.71B","0.43%"
"12/17/2023","871.46","860.30","874.51","857.13","4.30B","0.91%"
"12/10/2023","863.64","854.37","867.62","838.67","4.58B","1.28%"
"12/03/2023","852.69","849.48","860.83","845.88","4.04B","-0.03%"
"11/26/2023","852.94","859.18","869.73","847.26","6.63B","-1.15%"
"11/19/2023","862.82","876.32","884.79","860.84","4.93B","-1.59%"
"11/12/2023","876.75","861.57","882.16","853.72","7.37B","1.89%"
"11/05/2023","860.48","885.81","886.33","858.14","5.94B","-2.08%"
"10/29/2023","878.73","855.18","881.86","849.82","5.44B","2.27%"
"10/22/2023","859.26","862.02","873.81","845.27","4.74B","-0.54%"
"10/15/2023","863.93","885.69","891.97","862.01","6.20B","-2.96%"
"10/08/2023","890.26","874.98","895.18","868.27","4.45B","1.52%"
"10/01/2023","876.95","900.67","906.19","872.86","7.27B","-2.48%"
"09/24/2023","899.28","934.93","935.14","899.28","7.28B","-3.69%"
"09/17/2023","933.69","944.04","944.04","920.22","6.11B","-1.30%"
"09/10/2023","946.02","946.65","951.21","938.35","5.27B","0.00%"
"09/03/2023","946.00","958.52","959.30","944.80","6.75B","-1.15%"
"08/27/2023","957.01","963.80","970.42","954.82","10.59B","-0.36%"
"08/20/2023","960.47","939.41","965.30","933.87","9.27B","2.54%"
"08/13/2023","936.68","950.26","951.24","930.15","6.28B","-1.53%"
"08/06/2023","951.23","950.82","957.81","939.10","7.23B","0.27%"
"07/30/2023","948.68","962.36","970.58","947.22","5.63B","-0.93%"
"07/23/2023","957.58","945.28","960.28","940.79","5.10B","1.31%"
"07/16/2023","945.22","939.79","954.82","934.90","7.56B","0.79%"
"07/09/2023","937.80","916.85","939.00","908.75","5.86B","2.56%"
"07/02/2023","914.37","922.27","931.00","903.16","5.64B","-0.53%"
"06/25/2023","919.28","916.90","920.82","891.79","8.81B","0.19%"
"06/18/2023","917.58","946.35","953.84","910.60","6.17B","-3.29%"
"06/11/2023","948.82","938.24","954.62","936.15","6.09B","0.77%"
"06/04/2023","941.58","929.53","945.95","918.94","5.79B","1.80%"
"05/28/2023","924.89","928.23","934.49","916.56","7.95B","0.02%"
"05/21/2023","924.72","912.18","934.28","903.66","7.38B","0.57%"
"05/14/2023","919.44","954.75","954.75","917.52","7.80B","-2.98%"
"05/07/2023","947.72","936.05","956.76","932.05","7.16B","1.96%"
"04/30/2023","929.50","925.86","930.73","913.14","2.68B","0.73%"
"04/23/2023","922.72","936.02","940.92","918.86","5.51B","-1.68%"
"04/16/2023","938.50","961.08","969.22","931.70","7.10B","-2.42%"
"04/09/2023","961.76","950.72","966.41","946.22","2.97B","1.14%"
"04/02/2023","950.93","975.01","977.46","944.75","3.65B","-2.39%"
"03/26/2023","974.26","962.36","976.98","956.06","5.02B","1.44%"
"03/19/2023","960.41","937.54","966.12","925.89","6.36B","2.13%"
"03/12/2023","940.40","951.32","959.25","906.76","10.34B","-1.45%"
"03/05/2023","954.28","965.74","972.48","951.63","5.41B","-0.69%"
"02/26/2023","960.90","973.40","976.73","958.58","7.23B","-1.32%"
"02/19/2023","973.75","992.72","998.94","972.22","5.25B","-1.69%"
"02/12/2023","990.44","986.10","995.98","982.18","11.21B","0.14%"
"02/05/2023","989.10","1,001.86","1,004.09","984.62","5.15B","-1.51%"
"01/29/2023","1,004.22","1,004.06","1,007.11","992.13","5.59B","0.11%"
"01/22/2023","1,003.12","1,004.42","1,013.53","994.82","5.56B","0.11%"
"01/15/2023","1,001.97","1,009.29","1,012.57","998.39","5.83B","-0.45%"
"01/08/2023","1,006.49","1,015.57","1,020.39","1,001.50","7.14B","-0.11%"
"01/01/2023","1,007.61","1,009.84","1,018.70","999.82","6.02B","0.24%"
"12/25/2022","1,005.24","980.11","1,014.08","979.23","5.51B","2.76%"
"12/18/2022","978.21","979.57","982.62","968.38","4.61B","-0.21%"
"12/11/2022","980.24","982.87","987.28","973.29","4.58B","0.13%"
"12/04/2022","979.01","985.74","987.36","972.84","4.00B","-0.84%"
"11/27/2022","987.30","978.91","997.99","976.28","5.77B","0.41%"
"11/20/2022","983.27","978.92","992.12","976.91","5.33B","0.17%"
"11/13/2022","981.62","997.43","1,000.05","977.37","5.48B","-1.97%"
"11/06/2022","1,001.30","993.31","1,003.34","981.00","6.28B","1.16%"
"10/30/2022","989.77","982.19","997.03","976.27","5.64B","1.35%"
"10/23/2022","976.57","965.90","978.08","962.90","6.92B","1.56%"
"10/16/2022","961.60","938.84","963.66","931.66","6.89B","2.53%"
"10/09/2022","937.91","941.54","943.19","933.71","3.61B","-0.91%"
"10/02/2022","946.51","952.76","957.11","936.10","6.37B","-0.83%"
"09/25/2022","954.44","977.80","979.89","952.51","7.69B","-2.69%"
"09/18/2022","980.86","982.59","992.47","977.65","6.24B","-0.06%"
"09/11/2022","981.42","997.84","1,005.46","979.63","7.26B","-1.21%"
"09/04/2022","993.48","984.57","996.05","977.33","5.89B","0.96%"
"08/28/2022","983.99","982.93","998.53","976.98","7.44B","-1.18%"
"08/21/2022","995.69","981.75","998.54","972.29","7.62B","1.25%"
"08/14/2022","983.35","985.67","993.44","981.73","6.80B","-0.23%"
"08/07/2022","985.62","969.23","987.83","961.49","5.81B","1.67%"
"07/31/2022","969.41","962.56","971.85","958.52","7.38B","1.11%"
"07/24/2022","958.73","950.58","959.04","945.61","3.40B","0.90%"
"07/17/2022","950.20","944.45","952.24","932.17","8.20B","0.99%"
"07/10/2022","940.90","953.03","955.82","929.92","5.18B","-1.41%"
"07/03/2022","954.36","957.05","960.27","936.90","6.98B","-0.17%"
"06/26/2022","955.99","956.47","969.95","948.80","6.03B","0.59%"
"06/19/2022","950.36","942.82","956.85","939.30","6.92B","0.56%"
"06/12/2022","945.05","975.27","978.03","936.57","9.50B","-4.31%"
"06/05/2022","987.61","997.63","998.80","983.94","7.81B","-0.83%"
"05/29/2022","995.90","994.38","1,004.63","990.79","5.93B","0.89%"
"05/22/2022","987.08","981.02","992.21","977.13","6.08B","0.99%"
"05/15/2022","977.36","961.01","980.31","956.04","6.04B","2.55%"
"05/08/2022","953.06","964.09","965.66","945.90","9.98B","-1.42%"
"05/01/2022","966.79","983.39","989.40","963.95","4.85B","-1.71%"
"04/24/2022","983.56","987.15","990.66","974.86","8.07B","-1.23%"
"04/17/2022","995.80","991.83","1,001.89","989.48","6.48B","-0.07%"
"04/10/2022","996.54","1,003.60","1,005.48","995.24","1.80B","-0.97%"
"04/03/2022","1,006.33","1,025.39","1,027.07","1,002.48","5.39B","-1.69%"
"03/27/2022","1,023.66","1,010.49","1,026.10","1,008.71","6.26B","1.47%"
"03/20/2022","1,008.81","1,018.09","1,019.31","1,006.35","7.07B","-0.61%"
"03/13/2022","1,015.02","1,003.31","1,023.85","994.33","8.33B","0.97%"
"03/06/2022","1,005.31","998.92","1,006.81","958.08","14.19B","-0.43%"
"02/27/2022","1,009.68","1,011.95","1,034.67","1,005.40","11.24B","-0.28%"
"02/20/2022","1,012.52","1,034.06","1,034.20","1,000.02","12.58B","-2.26%"
"02/13/2022","1,035.89","1,024.47","1,041.37","1,017.25","10.73B","0.75%"
"02/06/2022","1,028.14","1,006.52","1,031.72","998.74","13.41B","2.48%"
"01/30/2022","1,003.29","995.91","1,007.48","993.17","7.70B","1.30%"
"01/23/2022","990.46","985.41","995.43","975.62","10.86B","0.34%"
"01/16/2022","987.06","995.84","1,000.87","980.71","9.99B","-0.69%"
"01/09/2022","993.89","987.70","1,001.51","982.39","7.81B","0.80%"
"01/02/2022","985.96","995.80","1,004.26","981.31","8.84B","-0.48%"
"12/26/2021","990.75","977.89","993.53","972.06","6.13B","1.60%"
"12/19/2021","975.13","969.43","979.77","956.30","6.22B","-0.28%"
"12/12/2021","977.86","967.89","980.90","959.50","7.08B","1.62%"
"12/05/2021","962.24","952.43","967.51","948.48","5.20B","1.96%"
"11/28/2021","943.76","961.15","966.70","931.04","10.50B","-1.89%"
"11/21/2021","961.93","987.02","994.89","959.97","14.03B","-2.28%"
"11/14/2021","984.39","981.27","992.86","980.98","12.12B","0.49%"
"11/07/2021","979.59","983.65","986.82","975.13","6.56B","-0.04%"
"10/31/2021","980.03","978.17","982.59","967.65","7.71B","0.55%"
"10/24/2021","974.67","989.95","990.85","972.47","7.07B","-1.43%"
"10/17/2021","988.81","989.77","995.31","978.97","6.67B","0.14%"
"10/10/2021","987.44","988.75","994.78","979.85","8.42B","0.18%"
"10/03/2021","985.71","968.74","989.92","968.06","11.02B","2.15%"
"09/26/2021","964.99","985.52","987.63","956.65","12.42B","-1.71%"
"09/19/2021","981.73","968.06","985.23","953.40","8.23B","0.72%"
"09/12/2021","974.71","983.44","990.15","969.39","6.74B","-1.07%"
"09/05/2021","985.29","1,000.94","1,005.63","975.61","6.25B","-1.53%"
"08/29/2021","1,000.64","978.82","1,005.67","978.18","7.70B","2.93%"
"08/22/2021","972.16","941.35","974.49","941.05","8.30B","4.28%"
"08/15/2021","932.27","917.83","938.01","910.33","6.61B","1.61%"
"08/08/2021","917.54","912.95","928.68","910.17","4.91B","1.00%"
"08/01/2021","908.50","912.78","928.18","903.57","5.71B","-0.23%"
"07/25/2021","910.61","924.08","927.02","908.20","4.52B","-1.37%"
"07/18/2021","923.24","932.69","935.63","915.68","6.99B","-2.03%"
"07/11/2021","942.35","937.99","948.17","928.96","6.18B","0.87%"
"07/04/2021","934.18","950.72","960.00","925.80","8.55B","-1.59%"
"06/27/2021","949.27","949.09","963.16","943.86","6.88B","-0.58%"
"06/20/2021","954.78","961.21","970.42","946.69","6.26B","-1.69%"
"06/13/2021","971.19","993.95","995.06","965.61","7.19B","-1.98%"
"06/06/2021","990.78","976.48","990.79","967.19","7.06B","1.90%"
"05/30/2021","972.32","956.03","986.37","952.25","5.73B","1.69%"
"05/23/2021","956.19","938.47","965.22","933.25","6.52B","1.99%"
"05/16/2021","937.53","934.61","951.89","927.06","6.08B","-0.12%"
"05/09/2021","938.68","965.46","965.58","912.03","7.89B","-1.79%"
"05/02/2021","955.80","953.45","958.56","928.03","4.33B","-0.02%"
"04/25/2021","955.97","941.86","966.44","935.96","7.09B","1.42%"
"04/18/2021","942.63","949.65","966.02","940.29","7.41B","-0.41%"
"04/11/2021","946.50","952.53","953.00","937.10","3.02B","-0.98%"
"04/04/2021","955.90","977.68","979.38","947.40","5.49B","-2.07%"
"03/28/2021","976.13","968.29","983.18","966.74","7.53B","1.29%"
"03/21/2021","963.66","958.28","968.87","950.90","7.58B","0.44%"
"03/14/2021","959.41","975.43","979.53","954.70","7.24B","-1.41%"
"03/07/2021","973.16","968.90","985.45","951.81","12.04B","1.55%"
"02/28/2021","958.33","928.25","966.77","924.02","10.52B","3.05%"
"02/21/2021","929.95","933.25","941.27","915.41","7.17B","-0.06%"
"02/14/2021","930.51","946.55","955.42","925.33","6.98B","-1.29%"
"02/07/2021","942.63","942.44","958.20","939.09","7.75B","0.97%"
