seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy
42,fold_1,2012,2021,2022,2419,241,42.64521563706519,37.04293186460786,3.7267724294048565,-2.6713827056187776,0.48132780082987553
42,fold_2,2012,2022,2023,2660,243,29.48842894711484,23.39938857622109,2.5565964800894165,0.5607689513785397,0.49382716049382713
42,fold_3,2012,2023,2024,2903,244,32.00944035132043,27.597545875291384,3.2081367213537555,0.4716440603590163,0.4918032786885246
42,fold_4,2012,2024,2025,3147,234,88.37800616314196,70.75916516373303,9.276691121247262,-2.015137395123682,0.5128205128205128
123,fold_1,2012,2021,2022,2419,241,26.37741734551991,22.096885434938166,2.2387449696496704,-0.40460292967079603,0.46473029045643155
123,fold_2,2012,2022,2023,2660,243,35.376389516446146,28.229881596898856,3.103066966319024,0.3678549000911915,0.5267489711934157
123,fold_3,2012,2023,2024,2903,244,35.699450304052505,31.54741851701114,3.70202393507201,0.3428061513440924,0.5122950819672131
123,fold_4,2012,2024,2025,3147,234,82.26538432671104,65.355877702603,8.572788314708877,-1.6124799736879463,0.5042735042735043
456,fold_1,2012,2021,2022,2419,241,40.9526260193495,35.80776211641635,3.604827707456094,-2.3857316944543663,0.4730290456431535
456,fold_2,2012,2022,2023,2660,243,28.95212799225052,22.22646961675261,2.4231810776436795,0.5766001091821635,0.49794238683127573
456,fold_3,2012,2023,2024,2903,244,35.333068070374836,30.58395638170792,3.596714475124088,0.3562264459678528,0.5081967213114754
456,fold_4,2012,2024,2025,3147,234,74.62208615759474,61.01741124689074,7.9851469207321335,-1.1495793447191023,0.49572649572649574
789,fold_1,2012,2021,2022,2419,241,54.95540376683318,49.26994268278856,4.964302879411937,-5.096910704054897,0.4605809128630705
789,fold_2,2012,2022,2023,2660,243,25.54135270261622,19.998429595688254,2.166840072403744,0.6704832084949203,0.49382716049382713
789,fold_3,2012,2023,2024,2903,244,35.073120923318534,30.508939761783278,3.5558100793674705,0.36566414936263514,0.5040983606557377
789,fold_4,2012,2024,2025,3147,234,96.47954113430478,78.97393868028611,10.30827993936626,-2.5932643326061378,0.49572649572649574
2025,fold_1,2012,2021,2022,2419,241,46.51931403305419,40.94753364806351,4.123458429213963,-3.3687343000884615,0.48132780082987553
2025,fold_2,2012,2022,2023,2660,243,27.00005957442472,21.079994218516266,2.301232915303195,0.631769967364705,0.48559670781893005
2025,fold_3,2012,2023,2024,2903,244,32.475303743950796,27.786141756987988,3.2543992290273547,0.4561528269466061,0.5081967213114754
2025,fold_4,2012,2024,2025,3147,234,63.378582526561416,51.69044105588884,6.7655761870355295,-0.5506141822677162,0.5
