variant,lag_index,mean_attention,mean_counterfactual_importance
attention_control,-4,0.456287,0.559983
attention_control,-3,0.256636,0.197922
attention_control,-2,0.156803,0.110019
attention_control,-1,0.090167,0.074504
attention_control,0,0.040108,0.057573
direction_consistency,-4,0.457382,0.553280
direction_consistency,-3,0.256580,0.202552
direction_consistency,-2,0.156397,0.111067
direction_consistency,-1,0.089767,0.075039
direction_consistency,0,0.039875,0.058063
mask_augmentation,-4,0.454251,0.576959
mask_augmentation,-3,0.256983,0.190653
mask_augmentation,-2,0.157574,0.104735
mask_augmentation,-1,0.090776,0.071825
mask_augmentation,0,0.040415,0.055828
fcta_lstm,-4,0.457274,0.578724
fcta_lstm,-3,0.256602,0.191583
fcta_lstm,-2,0.156434,0.104193
fcta_lstm,-1,0.089797,0.070615
fcta_lstm,0,0.039893,0.054884
