seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy
42,fold_1,2012,2021,2022,2359,241,25.387744509433485,21.58552483305397,2.1985975090048115,-0.3011796621285763,0.47717842323651455
42,fold_2,2012,2022,2023,2600,243,33.58689750083773,26.956941342589285,2.932773275173094,0.43019069181562375,0.522633744855967
42,fold_3,2012,2023,2024,2843,244,29.645896395161728,22.21456764201651,2.6218833616453785,0.5467898737212825,0.5122950819672131
42,fold_4,2012,2024,2025,3087,234,107.1740277530538,77.52731319125903,10.276164024064208,-3.4340216864400066,0.5341880341880342
123,fold_1,2012,2021,2022,2359,241,28.146703970875066,21.581568871276506,2.1899505496794918,-0.5993522264812077,0.49377593360995853
123,fold_2,2012,2022,2023,2600,243,27.888024465717635,20.960757739220135,2.2689719102678083,0.6071513517382008,0.5473251028806584
123,fold_3,2012,2023,2024,2843,244,32.3191501618607,25.68834904223195,3.0335983209496282,0.46137030002721546,0.5204918032786885
123,fold_4,2012,2024,2025,3087,234,101.14009582943491,75.94628805437661,10.026052562219402,-2.948802651247165,0.5427350427350427
456,fold_1,2012,2021,2022,2359,241,27.310223083765877,21.490544978869902,2.178683261145697,-0.5057037208928474,0.4605809128630705
456,fold_2,2012,2022,2023,2600,243,27.085031627103216,20.22806744308629,2.1862400522566103,0.6294486023352672,0.522633744855967
456,fold_3,2012,2023,2024,2843,244,40.09540436044154,30.877446227699043,3.668307793217723,0.17099027117336263,0.5081967213114754
456,fold_4,2012,2024,2025,3087,234,48.14485344437112,35.97408654063178,4.712463093179217,0.10521551296501197,0.5299145299145299
789,fold_1,2012,2021,2022,2359,241,28.909721194102737,22.07588396747082,2.2386424080233702,-0.6872398916574731,0.48132780082987553
789,fold_2,2012,2022,2023,2600,243,28.53752522271267,21.84902356575546,2.36303525923277,0.5886396978462655,0.5308641975308642
789,fold_3,2012,2023,2024,2843,244,32.4152649596841,25.298480290330854,2.985404486074349,0.4581618452886289,0.5
789,fold_4,2012,2024,2025,3087,234,87.03852735119335,66.17838355496401,8.734634793004552,-1.924433678929924,0.5470085470085471
2025,fold_1,2012,2021,2022,2359,241,33.03994429097577,25.37072112928286,2.5621503764311404,-1.2037769737367991,0.4854771784232365
2025,fold_2,2012,2022,2023,2600,243,28.952630772059727,22.13559722243022,2.4035946712655765,0.5765854036126954,0.522633744855967
2025,fold_3,2012,2023,2024,2843,244,35.14267366771382,28.420168310833787,3.3524089766143192,0.3631457794756444,0.5245901639344263
2025,fold_4,2012,2024,2025,3087,234,64.59461459696543,50.59141159165622,6.648572393918796,-0.6106876575336777,0.5512820512820513
