model,sequence_window,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
lstm,1,fold_1,2012,2021,2022,2359,241,10.365589590057564,8.334561292462322,0.8483529977069604,0.7830912620611229,0.4854771784232365,8.266367100004572
lstm,1,fold_2,2012,2022,2023,2600,243,13.3280865143579,10.730284601945462,1.160177083406228,0.9102725412535906,0.5102880658436214,7.261741399997845
lstm,1,fold_3,2012,2023,2024,2843,244,13.758970419833991,11.291924608633192,1.2961403272429115,0.9023792127089209,0.4631147540983606,7.287774799973704
lstm,1,fold_4,2012,2024,2025,3087,234,14.13623105845766,11.277294922728316,1.4362835090168198,0.922858873195528,0.5299145299145299,7.834438899997622
lstm,3,fold_1,2012,2021,2022,2359,241,12.165794038257436,9.567215662873128,0.9743134536033914,0.7012073240512977,0.5228215767634855,7.679418399988208
lstm,3,fold_2,2012,2022,2023,2600,243,12.173452533360896,9.92816117794916,1.06679187996322,0.9251456066557744,0.522633744855967,7.823004500009119
lstm,3,fold_3,2012,2023,2024,2843,244,14.31937297502568,11.83015262817753,1.3674957470046758,0.8942650816186578,0.4672131147540984,8.401230199960992
lstm,3,fold_4,2012,2024,2025,3087,234,12.604279086697472,10.05239358335223,1.263011750462005,0.9386725750413548,0.5811965811965812,8.90077339997515
lstm,5,fold_1,2012,2021,2022,2359,241,12.340595788931523,9.435126038329722,0.9632439233989512,0.6925593546613024,0.5103734439834025,8.650429900037125
lstm,5,fold_2,2012,2022,2023,2600,243,13.036465880900211,10.681003321011865,1.1491830165576542,0.9141560868907128,0.4732510288065844,8.61909230001038
lstm,5,fold_3,2012,2023,2024,2843,244,10.659171545965982,8.521346590216046,0.9913725059873276,0.9414108314007712,0.4631147540983606,9.054178799968213
lstm,5,fold_4,2012,2024,2025,3087,234,14.005020300222377,11.343325078456823,1.430004361422328,0.9242842561420684,0.5213675213675214,9.61637940001674
lstm,10,fold_1,2012,2021,2022,2359,241,10.8613171385329,8.611310187810682,0.8766989149534564,0.7618481180163436,0.5809128630705395,9.870198299991898
lstm,10,fold_2,2012,2022,2023,2600,243,16.910808271031026,13.990479717882591,1.5189753666136392,0.8555496850877484,0.5555555555555556,10.188528000027873
lstm,10,fold_3,2012,2023,2024,2843,244,14.780958387836996,12.203274789706628,1.4085046467498263,0.887338476303635,0.4672131147540984,10.887759500008542
lstm,10,fold_4,2012,2024,2025,3087,234,17.569830499315707,14.58547021316472,1.839706422408896,0.8808335912219392,0.5256410256410257,12.010231000022031
lstm,20,fold_1,2012,2021,2022,2359,241,11.111451868684128,8.72866011010167,0.8887477709510214,0.7507525940903248,0.5809128630705395,12.331853500043508
