model,contrast,metric,point_estimate,ci95_lower,ci95_upper,two_sided_pvalue,replicates,block_length,folds,daily_rows,two_sided_pvalue_holm
lstm,global_news_effect,squared_error_loss_delta,-41.26342662338283,-81.59762412331004,-4.545069148980267,0.0282,10000,10,4,962,0.1128
lstm,global_news_effect,balanced_accuracy_delta_pp,-1.5819622552959918,-5.35840236138831,2.150782864207552,0.4022,10000,10,4,960,1.0
lstm,regime_shap_effect_without_news,squared_error_loss_delta,30.46417204611162,-25.402597814711513,87.83934495515193,0.2832,10000,10,4,962,0.2832
lstm,regime_shap_effect_without_news,balanced_accuracy_delta_pp,0.032049166627363235,-4.42216681114492,4.412028662396427,0.9864,10000,10,4,960,1.0
lstm,regime_pipeline_news_effect,squared_error_loss_delta,25.456739657194856,-5.138816000919926,58.45678832142208,0.1044,10000,10,4,962,0.2088
lstm,regime_pipeline_news_effect,balanced_accuracy_delta_pp,0.12800378377651486,-2.1482334485298162,2.4021004933389603,0.9246,10000,10,4,960,1.0
lstm,final_integrated_effect,squared_error_loss_delta,55.920911703306444,-0.8715453133093674,113.78223689768906,0.0556,10000,10,4,962,0.1668
lstm,final_integrated_effect,balanced_accuracy_delta_pp,0.16005295040387757,-4.31442612109596,4.550745622411437,0.9502,10000,10,4,960,1.0
lstm,routing_news_interaction,squared_error_loss_delta,66.72016628057769,15.49426472834889,119.45463882760747,0.0108,10000,10,4,962,0.0324
lstm,routing_news_interaction,balanced_accuracy_delta_pp,1.709966039072507,-2.6095376040297302,6.11572168693547,0.4278,10000,10,4,960,1.0
cnn,global_news_effect,squared_error_loss_delta,5.666662398795166,-46.97466739075475,59.502373538085585,0.8466,10000,10,4,962,1.0
cnn,global_news_effect,balanced_accuracy_delta_pp,-0.008730377515774046,-2.113061371165517,2.0061196349730794,0.9852,10000,10,4,960,1.0
cnn,regime_shap_effect_without_news,squared_error_loss_delta,-243.7990340558008,-375.2724825943904,-116.80749632103995,0.0002,10000,10,4,962,0.0006000000000000001
cnn,regime_shap_effect_without_news,balanced_accuracy_delta_pp,1.4865937217794705,-1.8021533240729133,4.894863825526877,0.3876,10000,10,4,960,1.0
cnn,regime_pipeline_news_effect,squared_error_loss_delta,122.00094011943546,13.161900347604297,238.3147225100344,0.0274,10000,10,4,962,0.0822
cnn,regime_pipeline_news_effect,balanced_accuracy_delta_pp,-1.7896945928421113,-4.722528023740278,1.0892841316455741,0.2188,10000,10,4,960,0.998
cnn,final_integrated_effect,squared_error_loss_delta,-121.79809393636538,-300.62200567177655,52.80607449805806,0.1874,10000,10,4,962,0.3748
cnn,final_integrated_effect,balanced_accuracy_delta_pp,-0.3031008710626409,-3.707174640393873,3.1013303291467538,0.8488,10000,10,4,960,1.0
cnn,routing_news_interaction,squared_error_loss_delta,116.33427772064027,-6.613350033038827,245.2386770035881,0.0668,10000,10,4,962,0.1336
cnn,routing_news_interaction,balanced_accuracy_delta_pp,-1.7809642153263376,-5.12582050807091,1.56570055359051,0.2856,10000,10,4,960,1.0
lstm_cnn,global_news_effect,squared_error_loss_delta,13.745197099093012,-61.833615157539725,85.58959478190604,0.6856,10000,10,4,962,1.0
lstm_cnn,global_news_effect,balanced_accuracy_delta_pp,-0.17245471305053775,-1.7589794073407636,1.3570239069773038,0.8422,10000,10,4,960,1.0
lstm_cnn,regime_shap_effect_without_news,squared_error_loss_delta,-354.27073238448986,-587.1062897117158,-134.66744443452959,0.0,10000,10,4,962,0.0
lstm_cnn,regime_shap_effect_without_news,balanced_accuracy_delta_pp,0.29735405491257905,-3.1488145391620885,3.9545517845253775,0.8868,10000,10,4,960,1.0
