model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,holm_adjusted_pvalue,holm_family_size,minimum_attainable_nonzero_pvalue
cnn,global_news_effect,balanced_accuracy_delta_pp,4,-0.008730377515775434,2.350498547010677,-3.7488980857708545,3.7314373307393036,2,2,0,1.0,1.0,5,0.125
cnn,global_news_effect,direction_accuracy_delta_pp,4,0.002159622129815797,2.6307743940983257,-4.183989503137515,4.188308747397147,2,2,0,1.0,1.0,5,0.125
cnn,global_news_effect,mcc_delta,4,0.004805324562125752,0.05269133033588425,-0.07903834021184797,0.08864898933609947,2,2,0,0.875,1.0,5,0.125
cnn,global_news_effect,rmse_delta,4,0.05987500793523548,1.825600514580541,-2.8450627983407104,2.9648128142111814,3,1,0,1.0,1.0,5,0.125
cnn,global_news_effect,mae_delta,4,-0.29098898483333446,1.667701030112841,-2.9446734756340196,2.3626955059673507,2,2,0,0.875,1.0,5,0.125
lstm,global_news_effect,balanced_accuracy_delta_pp,4,-1.5819622552959907,1.770825712825914,-4.399741128838591,1.23581661824661,1,3,0,0.25,1.0,5,0.125
lstm,global_news_effect,direction_accuracy_delta_pp,4,-0.22094367381252644,2.1056447891185424,-3.5714944134982094,3.1296070658731567,1,2,1,0.75,1.0,5,0.125
lstm,global_news_effect,mcc_delta,4,-0.04534572640171342,0.0452564158205188,-0.11735878306092257,0.02666733025749573,0,4,0,0.125,0.625,5,0.125
lstm,global_news_effect,rmse_delta,4,-1.0561313462643356,4.907112420166624,-8.864442241851231,6.752179549322559,3,1,0,1.0,1.0,5,0.125
lstm,global_news_effect,mae_delta,4,-0.8085644469679303,4.061435290312605,-7.271214313871164,5.654085419935305,3,1,0,1.0,1.0,5,0.125
lstm_attention,global_news_effect,balanced_accuracy_delta_pp,4,-1.8949065543560728,3.1035745059686612,-6.833386164203271,3.043573055491126,1,3,0,0.375,1.0,5,0.125
lstm_attention,global_news_effect,direction_accuracy_delta_pp,4,-1.2447782594950996,3.196438732214658,-6.331025576197125,3.8414690572069263,1,2,1,0.75,1.0,5,0.125
lstm_attention,global_news_effect,mcc_delta,4,-0.046795923408805104,0.08175573123654277,-0.17688753581357947,0.08329568899596927,1,3,0,0.375,1.0,5,0.125
lstm_attention,global_news_effect,rmse_delta,4,-8.069063540520837,8.345049575307064,-21.34789963469582,5.209772553654149,1,3,0,0.25,1.0,5,0.125
lstm_attention,global_news_effect,mae_delta,4,-7.7319678226518676,7.358668115464827,-19.44125090058894,3.9773152552852054,1,3,0,0.25,1.0,5,0.125
