model,fold,test_year,arm,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_1,2022,Global-Numeric,5,241,26.3161667642252,21.72897107617783,2.2114968174211436,-0.3980872911479305,0.5,0.48035977794954676,-0.04182682831913275,1.0,240,1,0,32,75,45,88,0.6791666666666667
cnn,fold_1,2022,Global-Numeric-News,5,241,23.669960929649214,19.0722257004625,1.9415507459190153,-0.1310560064205144,0.4666666666666667,0.4557655821797484,-0.08960951668142403,1.0,240,1,0,38,69,59,74,0.5958333333333333
cnn,fold_1,2022,Regime-SHAP-Numeric,5,241,14.677354753759614,11.685786149976636,1.1931438694149326,0.5651048034432739,0.5416666666666666,0.5188672616119738,0.041441357747814746,1.0,240,1,0,33,74,36,97,0.7125
cnn,fold_1,2022,Regime-SHAP-Numeric-News,5,241,15.226258455135213,11.649827503597075,1.1901535996719919,0.5319681340946816,0.5208333333333334,0.5037242639308551,0.007806433891772509,1.0,240,1,0,37,70,45,88,0.6583333333333333
cnn,fold_2,2023,Global-Numeric,5,243,19.590402696475522,16.24415859759196,1.7493492565119524,0.8061452315284564,0.5454545454545454,0.5482456140350878,0.09673016668133488,1.0,242,1,0,64,64,46,68,0.5454545454545454
cnn,fold_2,2023,Global-Numeric-News,5,243,20.244824996535023,16.15844298903737,1.732024146694993,0.7929773728959274,0.5371900826446281,0.5327576754385965,0.06622719756550707,1.0,242,1,0,78,50,62,52,0.4214876033057851
cnn,fold_2,2023,Regime-SHAP-Numeric,5,243,19.00166433401031,14.198049705733,1.5397441028613827,0.8176217494080218,0.6033057851239669,0.5981359649122807,0.19958197651562287,1.0,242,1,0,88,40,56,58,0.4049586776859504
cnn,fold_2,2023,Regime-SHAP-Numeric-News,5,243,27.618793201096846,22.348513589122668,2.389074495576498,0.6146998677691125,0.5041322314049587,0.5034265350877193,0.006843696528354809,1.0,242,1,0,66,62,58,56,0.48760330578512395
cnn,fold_3,2024,Global-Numeric,5,244,29.27705423265709,24.865769731923184,2.9377620021285917,0.5579970312885969,0.5,0.5169930681741706,0.060538897542976734,1.0,244,0,0,13,114,8,109,0.9139344262295082
cnn,fold_3,2024,Global-Numeric-News,5,244,30.608108109836703,25.224385348567193,2.9887471003831565,0.5168929166741303,0.5245901639344263,0.5402786190187765,0.12436011934391149,1.0,244,0,0,20,107,9,108,0.8811475409836066
