model,fold,test_year,base_seed,arm,window,models_in_arm,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_1,2022,123,Global-Numeric,20,1,3.827750399999786,0.2223862999962875,12017,241,24.49939107226704,19.734495701394128,2.006647536132141,-0.2117125573206906,0.5,0.4931487597498418,-0.0137295204486675,1.0,240,1,0,46,61,59,74,0.5625
cnn,fold_1,2022,123,Global-Numeric-News,20,1,4.016176199991605,0.2261122999916551,12785,241,28.169358382041704,23.732863841343708,2.42092850526376,-0.6019278008105136,0.5083333333333333,0.4878785749420279,-0.0259973320931139,1.0,240,1,0,32,75,43,90,0.6875
cnn,fold_1,2022,123,Regime-SHAP-Numeric,20,3,8.170018400007393,0.6817886999924667,23187,241,14.64945814187527,11.459368790719513,1.172295150658527,0.5667564052790831,0.5333333333333333,0.5213969503197246,0.0436615793968634,1.0,240,1,0,44,63,49,84,0.6125
cnn,fold_1,2022,123,Regime-SHAP-Numeric-News,20,3,8.203502000003937,0.777351099983207,25491,241,19.18997227636572,15.341150763113962,1.5653178373116534,0.2565740390761603,0.525,0.5248401377274963,0.0493896033816286,1.0,240,1,0,56,51,63,70,0.5041666666666667
cnn,fold_1,2022,2025,Global-Numeric,20,1,3.8163891000003782,0.2435211999982129,12017,241,28.074765473868464,22.4286128589721,2.2826945000414613,-0.5911872943211158,0.5,0.4931487597498418,-0.0137295204486675,1.0,240,1,0,46,61,59,74,0.5625
cnn,fold_1,2022,2025,Global-Numeric-News,20,1,4.070817900006659,0.2378937999892514,12785,241,25.54632460944241,20.324638933650675,2.067029683433227,-0.317485611478348,0.5,0.4904082636497786,-0.0193694720807493,1.0,240,1,0,43,64,56,77,0.5875
cnn,fold_1,2022,2025,Regime-SHAP-Numeric,20,3,8.292684500003816,0.7136311999929603,23187,241,25.19897989722872,18.130951913525923,1.844088415369736,-0.2819023638487701,0.5375,0.5141943644157122,0.0313144635357217,1.0,240,1,0,32,75,36,97,0.7166666666666667
cnn,fold_1,2022,2025,Regime-SHAP-Numeric-News,20,3,8.592326800018782,0.6965197999961674,25491,241,16.423923040657435,13.312390742717415,1.3588269872248409,0.4554436446310627,0.5375,0.5178483592157965,0.0381432138496054,1.0,240,1,0,36,71,40,93,0.6833333333333333
cnn,fold_1,2022,42,Global-Numeric,20,1,4.319587200006936,0.2800686999980826,12017,241,31.743994123756742,27.083217313992005,2.752749092075487,-1.0342867406738163,0.5083333333333333,0.4732625957416906,-0.0693105917266927,1.0,240,1,0,16,91,27,106,0.8208333333333333
cnn,fold_1,2022,42,Global-Numeric-News,20,1,3.906534900001134,0.3148375000018859,12785,241,22.297839689641663,17.606137596418257,1.7920471956955393,-0.0037246867030396,0.4625,0.4693626589839083,-0.0614628439680082,1.0,240,1,0,57,50,79,54,0.4333333333333333
cnn,fold_1,2022,42,Regime-SHAP-Numeric,20,3,7.906596600019839,0.7251857000082964,23187,241,19.689202733883253,16.317989896590248,1.6624019515962043,0.2173901857169247,0.5833333333333334,0.5445857634741058,0.1287068822088727,1.0,240,1,0,20,87,13,120,0.8625
cnn,fold_1,2022,42,Regime-SHAP-Numeric-News,20,3,8.215030299994396,0.6732999000087148,25491,241,18.897575238117028,14.546329576425038,1.4844815676865768,0.2790565600124179,0.5375,0.536118333216218,0.0718514551765966,1.0,240,1,0,56,51,60,73,0.5166666666666667
cnn,fold_1,2022,456,Global-Numeric,20,1,3.959286199999042,0.2319481000013183,12017,241,25.30485653412611,21.496706632608188,2.192556757076989,-0.2926971373868872,0.4833333333333333,0.4735436722647741,-0.0534256867282208,1.0,240,1,0,41,66,58,75,0.5875
cnn,fold_1,2022,456,Global-Numeric-News,20,1,3.4987922000000253,0.3083801999891875,12785,241,24.725945925737108,20.22939389774908,2.0578310688630053,-0.2342264761897692,0.4416666666666666,0.4414306795024945,-0.1164532798262728,1.0,240,1,0,47,60,74,59,0.4958333333333333
