model,fold,test_year,contrast,treatment_arm,control_arm,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,rmse_delta,mae_delta
cnn,fold_1,2022,global_news_effect,Global-Numeric-News,Global-Numeric,-2.4594195769798377,-3.3333333333333326,-0.04778268836229128,-2.646205834575987,-2.6567453757153316
cnn,fold_2,2023,global_news_effect,Global-Numeric-News,Global-Numeric,-1.5487938596491224,-0.8264462809917328,-0.03050296911582781,0.6544223000595011,-0.08571560855459026
cnn,fold_3,2024,global_news_effect,Global-Numeric-News,Global-Numeric,2.328555084460593,2.4590163934426257,0.06382122180093475,1.3310538771796132,0.3586156166440091
cnn,fold_4,2025,global_news_effect,Global-Numeric-News,Global-Numeric,1.6447368421052655,1.7094017094017033,0.03368573392568734,0.9002296890778148,1.219889428292575
lstm,fold_1,2022,global_news_effect,Global-Numeric-News,Global-Numeric,-3.8648021923968767,2.500000000000002,-0.10555133558179754,-8.321774056806985,-6.838604903847395
lstm,fold_2,2023,global_news_effect,Global-Numeric-News,Global-Numeric,0.28782894736842923,0.0,-0.0018676615082547365,0.270360986965434,0.3921864092595442
lstm,fold_3,2024,global_news_effect,Global-Numeric-News,Global-Numeric,-0.8210512147519999,-0.8196721311475419,-0.021337999416293614,1.7501076814940184,1.5022528561016522
lstm,fold_4,2025,global_news_effect,Global-Numeric-News,Global-Numeric,-1.9298245614035148,-2.564102564102566,-0.052625909100507795,2.0767800032901906,1.7099078506144778
lstm_attention,fold_1,2022,global_news_effect,Global-Numeric-News,Global-Numeric,-4.131824889326125,-0.8333333333333304,-0.12547657839085968,-14.142056820133536,-15.110869061615485
lstm_attention,fold_2,2023,global_news_effect,Global-Numeric-News,Global-Numeric,-4.701206140350878,-5.785123966942152,-0.09145061644474028,1.7131593043566653,0.8485712267017895
lstm_attention,fold_3,2024,global_news_effect,Global-Numeric-News,Global-Numeric,1.9112995490948248,1.6393442622950838,0.061031839725793804,-4.0301550094631935,-4.230702579810995
lstm_attention,fold_4,2025,global_news_effect,Global-Numeric-News,Global-Numeric,-0.6578947368421129,0.0,-0.031288338525414225,-15.817201636843286,-12.43487087588278
lstm_cnn,fold_1,2022,global_news_effect,Global-Numeric-News,Global-Numeric,-0.6605298292460038,-0.8333333333333304,-0.013185294329685286,0.542364600913313,-0.34831162546481664
lstm_cnn,fold_2,2023,global_news_effect,Global-Numeric-News,Global-Numeric,0.1507675438596423,0.4132231404958664,0.001635318728918575,-0.7642939812073877,-1.0297885537667497
lstm_cnn,fold_3,2024,global_news_effect,Global-Numeric-News,Global-Numeric,1.1138030823070189,1.2295081967213073,0.021482923977297064,3.00739024098878,2.1281547879117575
lstm_cnn,fold_4,2025,global_news_effect,Global-Numeric-News,Global-Numeric,-1.2938596491228083,-1.2820512820512886,-0.03116283270395183,-1.2209691570169952,-0.08784677226727666
lstm_cnn_attention,fold_1,2022,global_news_effect,Global-Numeric-News,Global-Numeric,0.3653994800084326,0.0,0.007437649292149809,0.571540330349741,-0.2327895859583755
lstm_cnn_attention,fold_2,2023,global_news_effect,Global-Numeric-News,Global-Numeric,-0.8292214912280604,-0.8264462809917328,-0.017341979416922237,0.9393344941053137,0.7861112118169551
lstm_cnn_attention,fold_3,2024,global_news_effect,Global-Numeric-News,Global-Numeric,-3.5769567265630298,-3.688524590163933,-0.0773097230084184,-0.6233670269661573,-0.9394692044336388
lstm_cnn_attention,fold_4,2025,global_news_effect,Global-Numeric-News,Global-Numeric,-0.8552631578947367,-0.8547008547008517,-0.020426576576652797,-0.049701798883965864,0.3866255361040487
cnn,fold_1,2022,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,3.8507483662427067,4.1666666666666625,0.0832681860669475,-11.638812010465587,-10.043184926201196
cnn,fold_2,2023,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,4.989035087719296,5.785123966942152,0.10285180983428799,-0.5887383624652109,-2.0461088918589585
cnn,fold_3,2024,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-3.068847163335353,-2.4590163934426257,-0.0928789996503179,-6.419322289390308,-7.402440839223189
cnn,fold_4,2025,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,0.17543859649122862,0.0,0.008769130197352357,-2.761464138810272,-1.35151205537068
lstm,fold_1,2022,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-3.021572623146651,3.3333333333333326,-0.08776901041131335,-5.435530101405515,-4.480828121542485
lstm,fold_2,2023,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-5.256304824561403,-7.438016528925623,-0.1289215653066169,0.1408404299363255,0.12641840968697693
lstm,fold_3,2024,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,5.0508109563227706,5.327868852459017,0.10913245233406717,2.6630309593147423,1.1607193943066534
lstm,fold_4,2025,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,3.355263157894728,2.991452991452992,0.07443482930049126,7.814528826422247,5.87592778173182
lstm_attention,fold_1,2022,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,0.43215515424074313,6.250000000000005,-0.029438832887639883,-16.874028108788796,-15.52086289064523
lstm_attention,fold_2,2023,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-6.092379385964907,-5.785123966942152,-0.12163363509814545,-0.05311518435480522,-1.2012429985293682
lstm_attention,fold_3,2024,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-5.084460596271617,-5.327868852459017,-0.1175983544444876,-6.433587655371706,-6.54004521744419
lstm_attention,fold_4,2025,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,2.631578947368418,2.991452991452992,0.04562085648261362,-18.288137932444364,-14.525530517310848
lstm_cnn,fold_1,2022,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,4.968027545499265,5.000000000000004,0.09956647051666119,-9.05045118090377,-7.418887194710633
lstm_cnn,fold_2,2023,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,1.2815241228070096,2.066115702479343,0.024130173571512578,3.830616556757544,1.4987354421954144
lstm_cnn,fold_3,2024,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-1.507503869708593,-1.6393442622950838,-0.0348769529297098,-0.664042224316642,-0.492761016241829
lstm_cnn,fold_4,2025,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-3.552631578947363,-3.8461538461538547,-0.06743636144982569,-16.498253302637984,-11.237424456454757
lstm_cnn_attention,fold_1,2022,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,3.9315578666291984,3.7500000000000036,0.07842964246615744,-13.144592647248956,-11.433988991769034
lstm_cnn_attention,fold_2,2023,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,4.13240131578948,6.198347107438018,0.09285560062376452,6.91973729413078,3.0067839475698506
lstm_cnn_attention,fold_3,2024,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-3.173161047176798,-3.688524590163933,-0.040985299803769026,-4.335149121337032,-4.295712563691101
lstm_cnn_attention,fold_4,2025,regime_shap_effect_without_news,Regime-SHAP-Numeric,Global-Numeric,-1.140350877192986,-1.2820512820512775,-0.016983482140623923,-23.430395783507954,-14.931128484597071
cnn,fold_1,2022,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-1.5142997681118708,-2.083333333333326,-0.033634923856042234,0.5489037013755986,-0.03595864637956048
cnn,fold_2,2023,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-9.470942982456144,-9.917355371900827,-0.19273827998726806,8.617128867086535,8.150463883389667
cnn,fold_3,2024,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,5.558920519550437,6.557377049180335,0.116127705579984,-1.5436333256684165,-1.0779461406024602
cnn,fold_4,2025,regime_pipeline_news_effect,Regime-SHAP-Numeric-News,Regime-SHAP-Numeric,-1.7324561403508687,-1.7094017094017144,-0.04088886847749941,2.7120890707920537,1.2794750040058886
