model,arm,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,direction_accuracy_std,mcc_mean,rmse_mean,mae_mean,temporal_folds,balanced_accuracy_mean_pct,direction_accuracy_mean_pct
cnn,Global-Numeric,0.5179785624081223,0.028294569045183952,0.5167055167055167,0.021651709080175236,0.04311025831081075,25.5095230963138,20.86097198446836,4,51.79785624081224,51.67055167055167
cnn,Global-Numeric-News,0.5178912586329646,0.041634982492052046,0.5167271129268148,0.03395582539079303,0.0479155828729365,25.569398104249032,20.569982999635023,4,51.78912586329646,51.672711292681484
cnn,Regime-SHAP-Numeric,0.532844499625917,0.04707120624598079,0.5354374523059322,0.05306031592807973,0.06861278992287823,20.157438896030953,15.650160306304855,4,53.284449962591694,53.54374523059322
cnn,Regime-SHAP-Numeric-News,0.5149475536974959,0.01827979470425591,0.5175556688922933,0.01747584922461187,0.030829198237671808,22.741060974427395,17.729168831408238,4,51.49475536974959,51.75556688922933
lstm,Global-Numeric,0.5184697471012361,0.015672535293938385,0.5081434798228762,0.03483577241005597,0.053112216771349634,14.035981620400971,11.228351364562931,4,51.846974710123604,50.81434798228762
lstm,Global-Numeric-News,0.5026501245482762,0.029615290429054898,0.505934043084751,0.03499484319521768,0.007766490369636213,12.979850274136634,10.419786917595001,4,50.26501245482762,50.5934043084751
lstm,Regime-SHAP-Numeric,0.5187902387675096,0.04421143316337662,0.5186800764436755,0.036541506397444586,0.04483139325050668,15.331699148967921,11.898910730608673,4,51.87902387675096,51.86800764436755
lstm,Regime-SHAP-Numeric-News,0.5200702766052748,0.01636501584121575,0.5198321053015539,0.0042860142592826885,0.04432431529621592,15.971849209953119,12.731349137606895,4,52.007027660527484,51.98321053015539
lstm_attention,Global-Numeric,0.5361400809720811,0.029723058652471494,0.5184947716011427,0.05065718062596464,0.08999393121308069,30.851809771199232,25.828105545176292,4,53.614008097208114,51.84947716011427
lstm_attention,Global-Numeric-News,0.5171910154285204,0.04161291170146845,0.5060469890061916,0.044619274093014735,0.04319800780427559,22.78274623067839,18.096137722524425,4,51.719101542852044,50.60469890061916
lstm_attention,Regime-SHAP-Numeric,0.5158573162705127,0.020402517363731363,0.5138159220312722,0.022623728365644587,0.03423143972616585,20.43959255095931,16.381185139193885,4,51.58573162705127,51.38159220312723
lstm_attention,Regime-SHAP-Numeric-News,0.5261953684317974,0.014583271553710692,0.5239825784209167,0.007996675857083616,0.06180869416918671,20.405030620397714,15.896851991588948,4,52.61953684317974,52.39825784209167
lstm_cnn,Global-Numeric,0.5377504056397918,0.024757553981826816,0.532415023501089,0.019724351266358135,0.08947628660977214,29.03037164168779,22.91619584087414,4,53.77504056397918,53.2415023501089
lstm_cnn,Global-Numeric-News,0.5360258585092865,0.026939645451447454,0.5312333903056705,0.02157592072521014,0.08416881552791677,29.42149456760722,23.081747799977368,4,53.602585850928655,53.12333903056705
lstm_cnn,Regime-SHAP-Numeric,0.5407239461889176,0.02059309762012487,0.5363665674861651,0.030086025318797432,0.09482211903693172,23.434839103912577,18.50361153457119,4,54.072394618891764,53.63665674861651
lstm_cnn,Regime-SHAP-Numeric-News,0.5280963560850032,0.02287947101914795,0.5211084716533674,0.025820821467054562,0.06566975651910767,29.79423644584861,23.44488879846579,4,52.809635608500315,52.110847165336736
lstm_cnn_attention,Global-Numeric,0.5310916749229215,0.043607494878829214,0.5260012425064586,0.037957478015983814,0.07281912527294684,39.005941152273124,30.979875320757472,4,53.10916749229215,52.60012425064586
lstm_cnn_attention,Global-Numeric-News,0.5188515701837281,0.029449541482405788,0.5125770631918173,0.02509215833299341,0.04590896784548594,39.21539265192436,30.979994810139722,4,51.88515701837281,51.25770631918173
lstm_cnn_attention,Regime-SHAP-Numeric,0.5404677930680437,0.01737339527633177,0.5384456705945156,0.02180504977505313,0.1011482405593291,30.508341087782334,24.066363797635635,4,54.04677930680437,53.84456705945156
lstm_cnn_attention,Regime-SHAP-Numeric-News,0.5364184116226383,0.024242798395907712,0.5342766735045051,0.02957464430179579,0.08929779399722884,31.76779907326111,25.34155670824087,4,53.64184116226382,53.42766735045051
