model,fold,base_seed,cell_wall_seconds
cnn,fold_1,42,30.32124790000671
cnn,fold_1,123,29.868314499995904
cnn,fold_1,456,34.829495199999656
cnn,fold_1,789,31.696050200000172
cnn,fold_1,2025,30.432843400005368
cnn,fold_2,42,33.742131499995594
cnn,fold_2,123,30.823763099993812
cnn,fold_2,456,29.876401599991368
cnn,fold_2,789,30.700599400006467
cnn,fold_2,2025,32.69790689999354
cnn,fold_3,42,36.63641530000314
cnn,fold_3,123,34.22000119999575
cnn,fold_3,456,35.023778100003256
cnn,fold_3,789,34.28828500000236
cnn,fold_3,2025,33.521403900012956
cnn,fold_4,42,36.66942079999717
cnn,fold_4,123,38.14515009999741
cnn,fold_4,456,36.92632400000002
cnn,fold_4,789,40.022654400003375
cnn,fold_4,2025,37.666301499994006
lstm,fold_1,42,28.870276000001468
lstm,fold_1,123,29.76671619999979
lstm,fold_1,456,29.28517630000715
lstm,fold_1,789,28.694081699999515
lstm,fold_1,2025,30.197050300004776
lstm,fold_2,42,30.06247550000262
lstm,fold_2,123,29.90947519999463
lstm,fold_2,456,31.797844100001385
lstm,fold_2,789,30.437528700000257
lstm,fold_2,2025,30.151708799996413
lstm,fold_3,42,32.32231550000142
lstm,fold_3,123,31.651836599994567
lstm,fold_3,456,31.404871199993067
lstm,fold_3,789,32.20175800001016
lstm,fold_3,2025,35.02081649999309
lstm,fold_4,42,44.469903000004706
lstm,fold_4,123,51.48262470000191
lstm,fold_4,456,42.59447219999856
lstm,fold_4,789,40.49701599999389
lstm,fold_4,2025,43.552374500010046
lstm_attention,fold_1,42,55.572380199999316
lstm_attention,fold_1,123,56.17636320000747
lstm_attention,fold_1,456,54.84504079999169
lstm_attention,fold_1,789,54.59183639999537
lstm_attention,fold_1,2025,56.06381410000904
lstm_attention,fold_2,42,59.17598960000032
lstm_attention,fold_2,123,59.44569130000309
lstm_attention,fold_2,456,44.50272309999855
lstm_attention,fold_2,789,44.933598699994036
lstm_attention,fold_2,2025,52.979323199993814
lstm_attention,fold_3,42,62.5511528999923
lstm_attention,fold_3,123,61.60117829999945
lstm_attention,fold_3,456,61.97551499999827
lstm_attention,fold_3,789,62.48524000000907
lstm_attention,fold_3,2025,64.33011159999296
lstm_attention,fold_4,42,62.8840932000021
lstm_attention,fold_4,123,56.32190360000823
lstm_attention,fold_4,456,57.572688499989454
lstm_attention,fold_4,789,56.860358399993856
lstm_attention,fold_4,2025,56.83809539998765
lstm_cnn,fold_1,42,50.47629249999591
lstm_cnn,fold_1,123,50.046248300001025
lstm_cnn,fold_1,456,50.43316629999026
lstm_cnn,fold_1,789,52.82403499999782
lstm_cnn,fold_1,2025,53.34576409999863
lstm_cnn,fold_2,42,58.72662089999358
lstm_cnn,fold_2,123,55.069648699995014
lstm_cnn,fold_2,456,56.28028279999853
lstm_cnn,fold_2,789,59.12125999999989
lstm_cnn,fold_2,2025,56.899922600001446
lstm_cnn,fold_3,42,59.97596159999375
lstm_cnn,fold_3,123,59.87117829998897
lstm_cnn,fold_3,456,60.154282300005434
lstm_cnn,fold_3,789,57.764656500003184
lstm_cnn,fold_3,2025,58.37619339999219
lstm_cnn,fold_4,42,62.24992040000507
lstm_cnn,fold_4,123,62.10684649999894
lstm_cnn,fold_4,456,62.42396830000507
lstm_cnn,fold_4,789,64.27039180000429
lstm_cnn,fold_4,2025,61.3806634000066
lstm_cnn_attention,fold_1,42,59.70897490000061
lstm_cnn_attention,fold_1,123,59.20150939999439
lstm_cnn_attention,fold_1,456,4605.1709214
lstm_cnn_attention,fold_1,789,66.76566989999264
lstm_cnn_attention,fold_1,2025,63.419831799998065
lstm_cnn_attention,fold_2,42,72.51837410000735
lstm_cnn_attention,fold_2,123,80.33305609998934
lstm_cnn_attention,fold_2,456,73.00386299999082
lstm_cnn_attention,fold_2,789,73.90086059999885
lstm_cnn_attention,fold_2,2025,72.96002610000141
lstm_cnn_attention,fold_3,42,80.20758030000434
lstm_cnn_attention,fold_3,123,78.5802726999973
lstm_cnn_attention,fold_3,456,81.26913900001091
lstm_cnn_attention,fold_3,789,80.46623789999285
lstm_cnn_attention,fold_3,2025,81.69898829999147
lstm_cnn_attention,fold_4,42,85.55202180000197
lstm_cnn_attention,fold_4,123,89.81207220000215
lstm_cnn_attention,fold_4,456,87.65584569999191
lstm_cnn_attention,fold_4,789,85.86177139999927
lstm_cnn_attention,fold_4,2025,87.18744710000465
