model,arm,executed_fits,fit_seconds_total,fit_seconds_mean,inference_seconds_total,trainable_parameters_mean,training_sequences_min,training_sequences_max
cnn,Global-Numeric,20,94.81946619997325,4.740973309998663,4.792189300016616,12017.0,708,1436
cnn,Global-Numeric-News,20,97.78312910003297,4.889156455001649,5.0125963999453225,12785.0,708,1436
cnn,Regime-SHAP-Numeric,60,183.42907670000568,3.057151278333428,14.138813300014588,7729.0,213,547
cnn,Regime-SHAP-Numeric-News,60,184.2316989999672,3.07052831666612,14.409189300014985,8497.0,213,547
lstm,Global-Numeric,20,87.20929540001089,4.3604647700005446,7.682242099996074,9041.0,723,1451
lstm,Global-Numeric-News,20,85.5051184999902,4.27525592499951,7.600176099993405,9553.0,723,1451
lstm,Regime-SHAP-Numeric,60,187.6455252999731,3.127425421666218,22.98901249995106,6182.333333333333,216,559
lstm,Regime-SHAP-Numeric-News,60,191.20093950002047,3.186682325000341,23.34276529996714,6694.333333333333,216,559
lstm_attention,Global-Numeric,20,151.32730139995692,7.566365069997846,11.941986900026677,10129.0,718,1446
lstm_attention,Global-Numeric-News,20,149.5126497999736,7.475632489998679,11.664887599996291,10641.0,718,1446
lstm_attention,Regime-SHAP-Numeric,60,324.5505583000486,5.4091759716674765,35.02586290004547,7270.333333333333,216,554
lstm_attention,Regime-SHAP-Numeric-News,60,325.1941162000003,5.419901936666672,34.58578210006817,7782.333333333333,216,554
lstm_cnn,Global-Numeric,20,169.92871149997518,8.49643557499876,10.456977599984384,10737.0,708,1436
lstm_cnn,Global-Numeric-News,20,166.220701200029,8.31103506000145,10.171230599997216,11249.0,708,1436
lstm_cnn,Regime-SHAP-Numeric,60,316.9045496000472,5.28174249333412,32.14766900004179,7878.333333333333,213,547
lstm_cnn,Regime-SHAP-Numeric-News,60,321.8040587999858,5.3634009799997635,31.6752484000026,8390.333333333334,213,547
lstm_cnn_attention,Global-Numeric,20,226.1488722999784,11.30744361499892,13.467097699991427,12865.0,708,1436
lstm_cnn_attention,Global-Numeric-News,20,314.58893630001694,15.729446815000847,13.86632530001225,13377.0,708,1436
lstm_cnn_attention,Regime-SHAP-Numeric,60,4876.231478599962,81.2705246433327,42.279085800022585,10006.333333333334,213,547
lstm_cnn_attention,Regime-SHAP-Numeric-News,60,433.4663440000295,7.224439066667158,41.85770119991503,10518.333333333334,213,547
