evidence_role,model,regime,audit_repeats,reliable_repeats,low_fidelity_repeats,low_fidelity_fraction,fidelity_r2_median_all,fidelity_r2_q1_all,fidelity_r2_q3_all,spearman_abs_median_reliable,spearman_abs_q1_reliable,spearman_abs_q3_reliable,top_k_jaccard_median_reliable,top_k_jaccard_q1_reliable,top_k_jaccard_q3_reliable,sign_agreement_median_reliable,lime_runtime_seconds_total
supplement_diagnostic,cnn,Bull,120,30,90,0.75,0.2756891800998792,0.1680206677353399,0.673812234762228,0.3611844518390991,0.2849025678984604,0.3888609845318071,0.4285714285714285,0.3333333333333333,0.5384615384615384,0.6475409836065574,4.163840000051999
supplement_diagnostic,cnn,Sideway,120,33,87,0.725,0.5088637913731955,0.1899617973257736,0.712701454988418,0.3011919199262444,0.2681472865399295,0.3555106882866688,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.6147540983606558,4.216774999935291
supplement_diagnostic,cnn,Bear,120,40,80,0.6666666666666666,0.5237577453918756,0.2270455095095332,0.743052517007987,0.3282984326930384,0.254916215332049,0.3840959483975005,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.6352459016393444,4.239282199996518
supplement_diagnostic,lstm,Bull,120,29,91,0.7583333333333333,0.2840230926387465,0.170663282143819,0.6684530407604163,0.40949901031323,0.3533099157031402,0.4828316607241401,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.6639344262295082,5.283682800116361
supplement_diagnostic,lstm,Sideway,120,35,85,0.7083333333333334,0.5334306486000326,0.2007568396618997,0.7089898552195626,0.3900357212486906,0.2897122142878385,0.4370846702641258,0.4285714285714285,0.3333333333333333,0.4285714285714285,0.6557377049180327,5.125671599947959
supplement_diagnostic,lstm,Bear,120,41,79,0.6583333333333333,0.5179218789576858,0.2338386633145716,0.7412973214324983,0.4332514927913132,0.3937235023346033,0.4631502770792509,0.3333333333333333,0.3333333333333333,0.5384615384615384,0.6721311475409836,5.123667599968025
supplement_diagnostic,lstm_attention,Bull,120,30,90,0.75,0.2613143696068664,0.1651756540028737,0.6619511444919453,0.3421408296185657,0.3140380211551742,0.3824585868132085,0.3333333333333333,0.3333333333333333,0.510989010989011,0.6516393442622951,9.25055920000886
supplement_diagnostic,lstm_attention,Sideway,120,32,88,0.7333333333333333,0.5154034958111633,0.1946567460013313,0.71129336340166,0.3199447493729781,0.2772296040261581,0.3660453174102259,0.4285714285714285,0.3333333333333333,0.4285714285714285,0.6475409836065574,9.171395599987584
supplement_diagnostic,lstm_attention,Bear,120,40,80,0.6666666666666666,0.5112304468062966,0.2171898228482247,0.7316838372277226,0.3081015527673227,0.2579001457268332,0.3660188817035169,0.4285714285714285,0.25,0.456043956043956,0.639344262295082,9.065569999904252
supplement_diagnostic,lstm_cnn,Bull,120,30,90,0.75,0.2593988005028542,0.1646886682382734,0.6715391100947232,0.3587193221884799,0.3197448293409908,0.4307830586773555,0.3333333333333333,0.2708333333333333,0.4047619047619047,0.6639344262295082,13.241256699984657
supplement_diagnostic,lstm_cnn,Sideway,120,34,86,0.7166666666666667,0.5117740393714308,0.1890239741690241,0.7120333370507665,0.3429867722332554,0.2670336823948106,0.3683204404188737,0.2916666666666666,0.1948529411764705,0.3333333333333333,0.6352459016393444,12.829962599993449
supplement_diagnostic,lstm_cnn,Bear,120,40,80,0.6666666666666666,0.5198509314032609,0.2180626771402599,0.7455840670257032,0.3255887727553606,0.2647750817028561,0.3712250636935308,0.25,0.1764705882352941,0.3333333333333333,0.6352459016393444,12.241760899967629
supplement_diagnostic,lstm_cnn_attention,Bull,120,27,93,0.775,0.2469712982059189,0.1650289260786643,0.662305873089301,0.2601901388205048,0.2137723423027482,0.3008251244956562,0.3333333333333333,0.25,0.4285714285714285,0.6557377049180327,15.662163600049096
supplement_diagnostic,lstm_cnn_attention,Sideway,120,30,90,0.75,0.4890161035124792,0.1755889463714009,0.6995644465536727,0.2548930840886786,0.188554330333982,0.2866390633829112,0.3333333333333333,0.25,0.3333333333333333,0.6311475409836066,15.591057199897474
supplement_diagnostic,lstm_cnn_attention,Bear,120,36,84,0.7,0.5063856618544015,0.2016489912945249,0.7328185696280923,0.2575630904662928,0.2110626823650704,0.2994603811368014,0.3333333333333333,0.25,0.4285714285714285,0.6434426229508197,14.84757619995798
