model,arm,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,mcc_mean,rmse_mean,mae_mean,temporal_folds
cnn,Market-Only,0.5179785624081223,0.028294569045183952,0.5167055167055167,0.04311025831081075,25.509523096313796,20.860971984468357,4
cnn,Observed-News,0.5178912586329646,0.041634982492052046,0.5167271129268148,0.0479155828729365,25.569398104249032,20.569982999635027,4
lstm,Market-Only,0.5184697471012361,0.015672535293938385,0.5081434798228762,0.053112216771349634,14.03598162040097,11.22835136456293,4
lstm,Observed-News,0.5026501245482762,0.029615290429054898,0.505934043084751,0.007766490369636213,12.979850274136638,10.419786917595003,4
lstm_attention,Market-Only,0.5361400809720811,0.029723058652471494,0.5184947716011427,0.08999393121308069,30.85180977119923,25.828105545176292,4
lstm_attention,Observed-News,0.5171910154285204,0.04161291170146845,0.5060469890061916,0.04319800780427559,22.78274623067839,18.096137722524425,4
lstm_cnn,Market-Only,0.5377504056397918,0.024757553981826816,0.532415023501089,0.08947628660977214,29.030371641687786,22.91619584087414,4
lstm_cnn,Observed-News,0.5360258585092865,0.026939645451447454,0.5312333903056705,0.08416881552791677,29.42149456760722,23.08174779997737,4
lstm_cnn_attention,Market-Only,0.5310916749229215,0.043607494878829214,0.5260012425064586,0.07281912527294684,39.005941152273124,30.979875320757476,4
lstm_cnn_attention,Observed-News,0.5188515701837281,0.029449541482405788,0.5125770631918173,0.04590896784548594,39.21539265192436,30.979994810139722,4
lstm,News-Only,0.5324581829269235,0.020975621811383183,0.5132667128987919,0.09379779964789037,82.45173696376676,71.12417271034246,4
lstm,Global-Numeric-Shuffled-News,0.5350362087932246,0.030130392297448415,0.5396454043762167,0.07880680957412213,12.201220544684016,9.791438776876806,4
lstm,Global-Numeric-Lagged-News,0.5185389792798898,0.035700839813262844,0.5163730478000225,0.05209194574336039,13.111257988567615,10.421143998840643,4
lstm,Global-Numeric-Random-Features,0.5248789891018529,0.034566983774434686,0.5250441115847226,0.05725000812904704,12.63815721360442,10.080144840095283,4
cnn,News-Only,0.5143074432444799,0.02815099549014071,0.49668701734182363,0.04705118499648828,81.25017358300488,70.63965415715656,4
cnn,Global-Numeric-Shuffled-News,0.5350423374237647,0.04547183683830621,0.5343334468148179,0.07689667115203042,25.33256501921697,20.402435553787868,4
cnn,Global-Numeric-Lagged-News,0.5142769642077764,0.04503290401208543,0.512354815349413,0.03330246380110828,23.31783229354363,18.779971175420172,4
cnn,Global-Numeric-Random-Features,0.5072149013242412,0.031991522369616714,0.5062173306491489,0.02547221999752073,24.605721597831415,20.301693470941906,4
lstm_cnn,News-Only,0.5148415597294391,0.021605648829439748,0.4935160421421599,0.03638448875100181,79.96074759764872,69.3504973076362,4
lstm_cnn,Global-Numeric-Shuffled-News,0.5258279249625658,0.03341231904188341,0.5168755471428721,0.06636525772536395,28.85096968647364,22.941719211606237,4
lstm_cnn,Global-Numeric-Lagged-News,0.5269710003118021,0.030637754545060417,0.5158228001093128,0.05799187697908603,29.237473283104315,22.796213950201363,4
lstm_cnn,Global-Numeric-Random-Features,0.5212581628760484,0.03730679793744096,0.5198254035251055,0.05434455937975214,27.696348162289446,22.070368904335297,4
lstm_attention,News-Only,0.5241620607722602,0.025271098483050095,0.5059651310769046,0.06258946760467805,77.4135591733281,67.20948142366267,4
lstm_attention,Global-Numeric-Shuffled-News,0.5159148794944703,0.04545454874458648,0.5070348134850743,0.03784150058694362,22.01793699860631,17.590459926340056,4
lstm_attention,Global-Numeric-Lagged-News,0.5177647251880548,0.04497974713925751,0.50593097807144,0.041664553246558406,23.700797437822064,18.691726181877314,4
lstm_attention,Global-Numeric-Random-Features,0.5061133528540008,0.047471363271123335,0.497728260624125,0.015488337181847028,22.001931217062783,17.506538697610573,4
lstm_cnn_attention,News-Only,0.5108087445665636,0.014302463706844971,0.48942629030184914,0.04220070446596219,79.77520523921778,69.53820421819542,4
lstm_cnn_attention,Global-Numeric-Shuffled-News,0.5366969188463915,0.048580480289811837,0.5291367583608642,0.08864279993866074,39.79549532830375,31.601476950817915,4
lstm_cnn_attention,Global-Numeric-Lagged-News,0.5318421905122572,0.03048862895607654,0.5259903032676878,0.07576892494807803,39.59141207350908,31.362104045124656,4
lstm_cnn_attention,Global-Numeric-Random-Features,0.5324114519914767,0.04190166417243093,0.5250033617442336,0.07575871558180175,40.474782277255656,32.25425745135682,4
