model,contrast,metric,point_estimate,ci95_lower,ci95_upper,two_sided_pvalue,replicates,block_length,folds,daily_rows,two_sided_pvalue_holm
lstm,observed_news_effect,squared_error_loss_delta,-41.26342662338273,-81.55627437491347,-3.1311150321445202,0.0314,10000,10,4,962,0.1256
lstm,observed_news_effect,balanced_accuracy_delta_pp,-1.5819622552959918,-5.311479285091557,2.1084441068866666,0.4042,10000,10,4,960,1.0
lstm,observed_vs_shuffled,squared_error_loss_delta,17.09493004015585,1.0908935985678103,33.84984052772882,0.0348,10000,10,4,962,0.174
lstm,observed_vs_shuffled,balanced_accuracy_delta_pp,-3.2386084244948394,-5.952133152179021,-0.4727226983258502,0.022,10000,10,4,960,0.098
lstm,observed_vs_lagged,squared_error_loss_delta,-4.748810639023457,-16.447685558867214,6.591542881823227,0.4326,10000,10,4,962,1.0
lstm,observed_vs_lagged,balanced_accuracy_delta_pp,-1.5888854731613704,-4.287576603221501,1.0195986886463662,0.2408,10000,10,4,960,0.9632
lstm,observed_vs_random,squared_error_loss_delta,6.971923539827797,-14.544695385091883,28.1042576969006,0.5278,10000,10,4,962,0.6916
lstm,observed_vs_random,balanced_accuracy_delta_pp,-2.222886455357675,-5.184124967795384,0.7280237592919535,0.1408,10000,10,4,960,0.4224
lstm,news_only_vs_market,squared_error_loss_delta,7534.122916833624,6041.76591866579,9103.321928599196,0.0,10000,10,4,962,0.0
lstm,news_only_vs_market,balanced_accuracy_delta_pp,1.3988435825687455,-1.8105053211487265,4.602375789229499,0.3974,10000,10,4,960,1.0
lstm,shuffled_vs_market,squared_error_loss_delta,-58.358356663538565,-100.86291254495634,-19.227692939092886,0.0018,10000,10,4,962,0.0072
lstm,shuffled_vs_market,balanced_accuracy_delta_pp,1.6566461691988474,-1.7975600881183178,5.189001731430357,0.344,10000,10,4,960,0.6978
cnn,observed_news_effect,squared_error_loss_delta,5.666662398795358,-45.539409962142244,59.90022880488262,0.8452,10000,10,4,962,1.0
cnn,observed_news_effect,balanced_accuracy_delta_pp,-0.008730377515774046,-2.1141670955705982,1.9888350800011325,0.9928,10000,10,4,960,1.0
cnn,observed_vs_shuffled,squared_error_loss_delta,13.89662443215392,-39.52154147740793,66.6237678269598,0.5946,10000,10,4,962,0.5946
cnn,observed_vs_shuffled,balanced_accuracy_delta_pp,-1.7151078790800118,-3.678508711690166,0.04855609136229454,0.057,10000,10,4,960,0.171
cnn,observed_vs_lagged,squared_error_loss_delta,117.09462581186331,50.027885285598586,184.86297230293493,0.0004,10000,10,4,962,0.0016
cnn,observed_vs_lagged,balanced_accuracy_delta_pp,0.3614294425188176,-1.6544732344460749,2.3556267773877115,0.7074,10000,10,4,960,1.0
cnn,observed_vs_random,squared_error_loss_delta,28.532533516687344,-29.109050460145852,89.54966299962659,0.3458,10000,10,4,962,0.6916
cnn,observed_vs_random,balanced_accuracy_delta_pp,1.0676357308723372,-0.42128243535429166,2.552447996073989,0.162,10000,10,4,960,0.4224
cnn,news_only_vs_market,squared_error_loss_delta,6600.8827536622275,5159.097104864514,8101.477692595941,0.0,10000,10,4,962,0.0
cnn,news_only_vs_market,balanced_accuracy_delta_pp,-0.3671119163642459,-4.514011164554782,3.8677056142483544,0.8612,10000,10,4,960,1.0
cnn,shuffled_vs_market,squared_error_loss_delta,-8.229962033358579,-50.360285312265965,39.766579816956764,0.7078,10000,10,4,962,0.7078
cnn,shuffled_vs_market,balanced_accuracy_delta_pp,1.7063775015642375,0.07529578448656458,3.3956253052023864,0.0406,10000,10,4,960,0.20299999999999999
lstm_cnn,observed_news_effect,squared_error_loss_delta,13.745197099093232,-61.803775326714984,85.39449900147217,0.7054,10000,10,4,962,1.0
lstm_cnn,observed_news_effect,balanced_accuracy_delta_pp,-0.17245471305053775,-1.7836473480764288,1.3922852916942123,0.839,10000,10,4,960,1.0
lstm_cnn,observed_vs_shuffled,squared_error_loss_delta,49.820749646527915,-12.45209574746596,117.60654551535114,0.126,10000,10,4,962,0.378
lstm_cnn,observed_vs_shuffled,balanced_accuracy_delta_pp,1.0197933546720606,-0.8760904769812526,3.0764370521121727,0.3082,10000,10,4,960,0.6164
lstm_cnn,observed_vs_lagged,squared_error_loss_delta,49.58816422733989,-55.25983298711037,154.9532211454058,0.3612,10000,10,4,962,1.0
lstm_cnn,observed_vs_lagged,balanced_accuracy_delta_pp,0.9054858197484354,-1.4441513803983048,3.323978186800644,0.4534,10000,10,4,960,1.0
lstm_cnn,observed_vs_random,squared_error_loss_delta,126.87633524026077,45.222524092955865,216.18378552812044,0.0012,10000,10,4,962,0.005999999999999999
lstm_cnn,observed_vs_random,balanced_accuracy_delta_pp,1.476769563323809,0.019193292195692196,3.022259950466545,0.0488,10000,10,4,960,0.24400000000000002
lstm_cnn,news_only_vs_market,squared_error_loss_delta,6330.1657996318145,5031.341733525928,7710.599418697353,0.0,10000,10,4,962,0.0
lstm_cnn,news_only_vs_market,balanced_accuracy_delta_pp,-2.2908845910352675,-6.329015375069782,1.7506657898488756,0.276,10000,10,4,960,1.0
lstm_cnn,shuffled_vs_market,squared_error_loss_delta,-36.075552547434725,-110.56773932083158,33.38502828691918,0.3196,10000,10,4,962,0.6392
lstm_cnn,shuffled_vs_market,balanced_accuracy_delta_pp,-1.1922480677225982,-3.2383830523700454,0.7549431128883594,0.2326,10000,10,4,960,0.6978
lstm_attention,observed_news_effect,squared_error_loss_delta,-498.1576461873534,-646.5207063069882,-360.114616473628,0.0,10000,10,4,962,0.0
lstm_attention,observed_news_effect,balanced_accuracy_delta_pp,-1.894906554356068,-4.752049992319167,0.8350344900290684,0.1752,10000,10,4,960,0.7008
lstm_attention,observed_vs_shuffled,squared_error_loss_delta,33.73571541782051,0.727652872356034,70.22674657168903,0.0452,10000,10,4,962,0.1808
lstm_attention,observed_vs_shuffled,balanced_accuracy_delta_pp,0.12761359340501274,-1.3706933487387207,1.5599214492045954,0.8528,10000,10,4,960,0.8528
lstm_attention,observed_vs_lagged,squared_error_loss_delta,-43.98433023296932,-66.20476288928808,-23.915629648696264,0.0,10000,10,4,962,0.0
lstm_attention,observed_vs_lagged,balanced_accuracy_delta_pp,-0.057370975953446035,-1.6279231391231905,1.4460755834717338,0.9262,10000,10,4,960,1.0
lstm_attention,observed_vs_random,squared_error_loss_delta,35.07776496889011,4.630147685488471,70.07269195994165,0.0198,10000,10,4,962,0.05940000000000001
lstm_attention,observed_vs_random,balanced_accuracy_delta_pp,1.1077662574519553,-0.4091784875905983,2.673327202678902,0.1556,10000,10,4,960,0.4224
lstm_attention,news_only_vs_market,squared_error_loss_delta,5942.343401238286,4641.906024881382,7267.218280715847,0.0,10000,10,4,962,0.0
lstm_attention,news_only_vs_market,balanced_accuracy_delta_pp,-1.1978020199820814,-3.391010383079188,0.9640862891888987,0.2796,10000,10,4,960,1.0
lstm_attention,shuffled_vs_market,squared_error_loss_delta,-531.8933616051739,-679.3013269526213,-388.3415806569334,0.0,10000,10,4,962,0.0
lstm_attention,shuffled_vs_market,balanced_accuracy_delta_pp,-2.022520147761081,-4.893899849988547,0.8238869526208613,0.1642,10000,10,4,960,0.6568
lstm_cnn_attention,observed_news_effect,squared_error_loss_delta,11.814913457721662,-55.2931967857745,86.11893081678367,0.746,10000,10,4,962,1.0
lstm_cnn_attention,observed_news_effect,balanced_accuracy_delta_pp,-1.2240104739193503,-2.7958138235750725,0.220436262637665,0.0962,10000,10,4,960,0.481
lstm_cnn_attention,observed_vs_shuffled,squared_error_loss_delta,-58.979414763884634,-138.41402408580865,20.082619035234103,0.147,10000,10,4,962,0.378
lstm_cnn_attention,observed_vs_shuffled,balanced_accuracy_delta_pp,-1.7845348662663443,-3.423200568591336,-0.2702704450173339,0.0196,10000,10,4,960,0.098
lstm_cnn_attention,observed_vs_lagged,squared_error_loss_delta,-8.711040692765337,-67.53744836129117,51.46206947071952,0.762,10000,10,4,962,1.0
lstm_cnn_attention,observed_vs_lagged,balanced_accuracy_delta_pp,-1.2990620328529208,-2.8101208218753264,0.0285674131101907,0.0566,10000,10,4,960,0.283
lstm_cnn_attention,observed_vs_random,squared_error_loss_delta,-110.05220591329555,-177.75074077738302,-41.31537411573485,0.0024,10000,10,4,962,0.0096
lstm_cnn_attention,observed_vs_random,balanced_accuracy_delta_pp,-1.3559881807748546,-3.076434794377665,0.1638736230526607,0.0816,10000,10,4,960,0.3264
lstm_cnn_attention,news_only_vs_market,squared_error_loss_delta,5635.7782499278355,4486.882988853765,6788.235653109517,0.0,10000,10,4,962,0.0
lstm_cnn_attention,news_only_vs_market,balanced_accuracy_delta_pp,-2.0282930356358015,-5.95240525190121,1.9581162863386985,0.3262,10000,10,4,960,1.0
lstm_cnn_attention,shuffled_vs_market,squared_error_loss_delta,70.79432822160629,-5.030214752311727,145.80135474136262,0.0672,10000,10,4,962,0.2016
lstm_cnn_attention,shuffled_vs_market,balanced_accuracy_delta_pp,0.5605243923469941,-0.6916016575832389,1.8782907272873988,0.378,10000,10,4,960,0.6978
