model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,exact_sign_flip_pvalue_holm,minimum_attainable_nonzero_pvalue
cnn,observed_news_effect,balanced_accuracy_delta_pp,4,-0.008730377515775434,2.350498547010677,-3.748898085770202,3.7314373307386512,2,2,0,1.0,1.0,0.125
cnn,observed_news_effect,direction_accuracy_delta_pp,4,0.002159622129815797,2.6307743940983257,-4.183989503136785,4.188308747396417,2,2,0,1.0,1.0,0.125
cnn,observed_news_effect,mcc_delta,4,0.004805324562125752,0.05269133033588425,-0.07903834021183334,0.08864898933608484,2,2,0,0.875,1.0,0.125
cnn,observed_news_effect,rmse_delta,4,0.059875007935238145,1.8256005145805403,-2.8450627983401997,2.964812814210676,3,1,0,1.0,1.0,0.125
cnn,observed_news_effect,mae_delta,4,-0.29098898483333,1.667701030112836,-2.9446734756335444,2.3626955059668844,2,2,0,0.875,1.0,0.125
lstm,observed_news_effect,balanced_accuracy_delta_pp,4,-1.5819622552959907,1.770825712825914,-4.3997411288381,1.2358166182461183,1,3,0,0.25,1.0,0.125
lstm,observed_news_effect,direction_accuracy_delta_pp,4,-0.22094367381252644,2.1056447891185424,-3.571494413497625,3.1296070658725723,1,2,1,0.75,1.0,0.125
lstm,observed_news_effect,mcc_delta,4,-0.04534572640171342,0.0452564158205188,-0.11735878306091002,0.02666733025748317,0,4,0,0.125,0.625,0.125
lstm,observed_news_effect,rmse_delta,4,-1.0561313462643307,4.9071124201666185,-8.864442241849854,6.752179549321194,3,1,0,1.0,1.0,0.125
lstm,observed_news_effect,mae_delta,4,-0.8085644469679267,4.0614352903126,-7.271214313870026,5.654085419934171,3,1,0,1.0,1.0,0.125
lstm_attention,observed_news_effect,balanced_accuracy_delta_pp,4,-1.8949065543560728,3.1035745059686612,-6.83338616420241,3.0435730554902642,1,3,0,0.375,1.0,0.125
lstm_attention,observed_news_effect,direction_accuracy_delta_pp,4,-1.2447782594950996,3.196438732214658,-6.331025576196238,3.841469057206039,1,2,1,0.75,1.0,0.125
lstm_attention,observed_news_effect,mcc_delta,4,-0.046795923408805104,0.08175573123654277,-0.17688753581355676,0.08329568899594657,1,3,0,0.375,1.0,0.125
lstm_attention,observed_news_effect,rmse_delta,4,-8.069063540520837,8.345049575307062,-21.347899634693505,5.209772553651829,1,3,0,0.25,1.0,0.125
lstm_attention,observed_news_effect,mae_delta,4,-7.7319678226518676,7.3586681154648215,-19.44125090058689,3.9773152552831554,1,3,0,0.25,1.0,0.125
lstm_cnn,observed_news_effect,balanced_accuracy_delta_pp,4,-0.17245471305053772,1.0415850250422292,-1.8298489203427781,1.4849394942417025,2,2,0,0.75,1.0,0.125
lstm_cnn,observed_news_effect,direction_accuracy_delta_pp,4,-0.11816331954186132,1.1495931778328266,-1.9474226002285788,1.7110959611448564,2,2,0,0.875,1.0,0.125
lstm_cnn,observed_news_effect,mcc_delta,4,-0.005307471081855369,0.022334483215538208,-0.04084661787671065,0.03023167571299991,2,2,0,0.75,1.0,0.125
lstm_cnn,observed_news_effect,rmse_delta,4,0.391122925919432,1.8975034318191126,-2.6282284670085136,3.4104743188473776,2,2,0,0.875,1.0,0.125
lstm_cnn,observed_news_effect,mae_delta,4,0.1655519591032304,1.3673472499650265,-2.0102026427422883,2.341306560948749,1,3,0,1.0,1.0,0.125
lstm_cnn_attention,observed_news_effect,balanced_accuracy_delta_pp,4,-1.2240104739193485,1.6687733013009316,-3.879401187459971,1.4313802396212743,1,3,0,0.25,1.0,0.125
lstm_cnn_attention,observed_news_effect,direction_accuracy_delta_pp,4,-1.3424179314641294,1.6135258543295503,-3.909897628259537,1.2250617653312783,0,3,1,0.25,1.0,0.125
lstm_cnn_attention,observed_news_effect,mcc_delta,4,-0.026910157427460907,0.03583980509753223,-0.08393928508482572,0.030118970229903907,1,3,0,0.25,1.0,0.125
lstm_cnn_attention,observed_news_effect,rmse_delta,4,0.2094514996512311,0.6891019850328634,-0.8870635334645214,1.3059665327669836,2,2,0,0.75,1.0,0.125
lstm_cnn_attention,observed_news_effect,mae_delta,4,0.00011948938224648487,0.7537115856017832,-1.1992038360417134,1.1994428148062064,2,2,0,1.0,1.0,0.125
cnn,observed_vs_shuffled,balanced_accuracy_delta_pp,4,-1.7151078790800134,1.7810317015134145,-4.549126758117274,1.1189109999572473,0,4,0,0.125,0.625,0.125
cnn,observed_vs_shuffled,direction_accuracy_delta_pp,4,-1.760633388800302,1.402830391678217,-3.992849587268321,0.47158280966771704,0,4,0,0.125,0.625,0.125
cnn,observed_vs_shuffled,mcc_delta,4,-0.028981088279093917,0.039221278402465996,-0.09139089454930971,0.03342871799112188,0,4,0,0.125,0.625,0.125
cnn,observed_vs_shuffled,rmse_delta,4,0.23683308503206657,3.1229524480971795,-4.732481154979723,5.206147325043856,3,1,0,0.875,1.0,0.125
cnn,observed_vs_shuffled,mae_delta,4,0.16754744584715908,2.558267363447641,-3.90322681351876,4.238321705213078,3,1,0,0.875,1.0,0.125
lstm,observed_vs_shuffled,balanced_accuracy_delta_pp,4,-3.238608424494839,2.3812814260843234,-7.027758562636226,0.5505417136465476,0,4,0,0.125,0.625,0.125
lstm,observed_vs_shuffled,direction_accuracy_delta_pp,4,-3.3711361291465627,2.908772126973121,-7.999641683345483,1.2573694250523575,0,4,0,0.125,0.625,0.125
lstm,observed_vs_shuffled,mcc_delta,4,-0.07104031920448592,0.05334390403882571,-0.1559223743633707,0.013841735954398846,0,4,0,0.125,0.625,0.125
lstm,observed_vs_shuffled,rmse_delta,4,0.778629729452621,1.997048815931471,-2.3991205834135356,3.9563800423187776,2,2,0,0.5,1.0,0.125
lstm,observed_vs_shuffled,mae_delta,4,0.6283481407181966,1.8735661151367187,-2.3529136396926034,3.6096099211289965,2,2,0,0.5,1.0,0.125
lstm_attention,observed_vs_shuffled,balanced_accuracy_delta_pp,4,0.1276135934050085,1.8279484960737618,-2.7810603753844183,3.036287562194435,3,1,0,1.0,1.0,0.125
lstm_attention,observed_vs_shuffled,direction_accuracy_delta_pp,4,-0.09878244788826263,1.6683617880097938,-2.7535183519524074,2.5559534561758817,2,1,1,1.0,1.0,0.125
lstm_attention,observed_vs_shuffled,mcc_delta,4,0.005356507217331968,0.04323547810394099,-0.06344078655719886,0.07415380099186279,3,1,0,0.75,0.75,0.125
