model,fold,test_year,arm,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_1,2022,Market-Only,5,241,26.316166764225198,21.728971076177825,2.2114968174211436,-0.39808729114793007,0.5,0.48035977794954676,-0.04182682831913275,1.0,240,1,0,32,75,45,88,0.6791666666666667
cnn,fold_1,2022,Observed-News,5,241,23.669960929649214,19.072225700462504,1.941550745919016,-0.1310560064205144,0.4666666666666667,0.4557655821797484,-0.08960951668142403,1.0,240,1,0,38,69,59,74,0.5958333333333333
cnn,fold_2,2023,Market-Only,5,243,19.590402696475522,16.244158597591955,1.7493492565119517,0.8061452315284564,0.5454545454545454,0.5482456140350878,0.09673016668133488,1.0,242,1,0,64,64,46,68,0.5454545454545454
cnn,fold_2,2023,Observed-News,5,243,20.244824996535026,16.158442989037372,1.7320241466949933,0.7929773728959274,0.5371900826446281,0.5327576754385965,0.06622719756550707,1.0,242,1,0,78,50,62,52,0.4214876033057851
cnn,fold_3,2024,Market-Only,5,244,29.277054232657086,24.865769731923187,2.9377620021285926,0.5579970312885971,0.5,0.5169930681741706,0.060538897542976734,1.0,244,0,0,13,114,8,109,0.9139344262295082
cnn,fold_3,2024,Observed-News,5,244,30.608108109836703,25.224385348567196,2.9887471003831565,0.5168929166741303,0.5245901639344263,0.5402786190187765,0.12436011934391149,1.0,244,0,0,20,107,9,108,0.8811475409836066
cnn,fold_4,2025,Market-Only,5,234,26.854468691897377,20.604988532180464,2.688181888587188,0.7216111500873007,0.5213675213675214,0.5263157894736842,0.05699879733806412,1.0,234,0,0,40,80,32,82,0.6923076923076923
cnn,fold_4,2025,Observed-News,5,234,27.754698380975192,21.82487796047304,2.828542841186122,0.7026337116101147,0.5384615384615384,0.5427631578947368,0.09068453126375146,1.0,234,0,0,45,75,33,81,0.6666666666666666
lstm,fold_1,2022,Market-Only,5,241,20.256741645385397,16.519949529371846,1.6863270996014101,0.17162266739048015,0.4708333333333333,0.516161900077296,0.05813180179383969,1.0,240,1,0,100,7,120,13,0.08333333333333333
lstm,fold_1,2022,Observed-News,5,241,11.934967588578424,9.681344625524462,0.985680100292158,0.712437986321657,0.49583333333333335,0.47751387815332724,-0.047419533787957845,1.0,240,1,0,33,74,47,86,0.6666666666666666
lstm,fold_2,2023,Market-Only,5,243,12.728200319652524,10.141189378921888,1.0886992723823898,0.9181678870461056,0.5537190082644629,0.5344709429824561,0.0926477528011163,1.0,242,1,0,111,17,91,23,0.1652892561983471
lstm,fold_2,2023,Observed-News,5,243,12.998561306617965,10.533375788181443,1.124750848981483,0.9146545573436938,0.5537190082644629,0.5373492324561404,0.09078009129286156,1.0,242,1,0,105,23,85,29,0.21487603305785125
lstm,fold_3,2024,Market-Only,5,244,11.76287652473437,9.345485082761183,1.0914288567146124,0.9286494199054747,0.5122950819672131,0.5254391278013325,0.06611281786359825,1.0,244,0,0,26,101,18,99,0.819672131147541
lstm,fold_3,2024,Observed-News,5,244,13.512984206228388,10.847737938862828,1.2702255095312474,0.9058385862955567,0.5040983606557377,0.5172286156538125,0.04477481844730464,1.0,244,0,0,25,102,19,98,0.819672131147541
lstm,fold_4,2025,Market-Only,5,234,11.396107991831585,8.906781467196803,1.137818803385144,0.9498660619393504,0.49572649572649574,0.4978070175438597,-0.00444350537315571,1.0,234,0,0,50,70,48,66,0.5811965811965812
lstm,fold_4,2025,Observed-News,5,234,13.472887995121775,10.61668931781128,1.3675692505333048,0.9299287109863533,0.4700854700854701,0.47850877192982455,-0.0570694144736635,1.0,234,0,0,18,102,22,92,0.8290598290598291
lstm_attention,fold_1,2022,Market-Only,5,241,37.769335472885786,33.490593067302775,3.390891112124561,-1.8798357306217786,0.45416666666666666,0.5066052982924601,0.05129253255737497,1.0,240,1,0,106,1,130,3,0.016666666666666666
lstm_attention,fold_1,2022,Observed-News,5,241,23.627278652752253,18.379724005687297,1.8698499200816625,-0.12698058614438223,0.44583333333333336,0.4652870493991989,-0.0741840458334847,1.0,240,1,0,69,38,95,38,0.31666666666666665
lstm_attention,fold_2,2023,Market-Only,5,243,19.74036512201195,16.2302374350122,1.7472320208110435,0.8031659973432275,0.5743801652892562,0.5727110745614035,0.14549695091218998,1.0,242,1,0,77,51,52,62,0.4669421487603306
lstm_attention,fold_2,2023,Observed-News,5,243,21.453524426368617,17.078808661713982,1.8482523433677904,0.7675192169093419,0.5165289256198347,0.5256990131578947,0.054046334467449685,1.0,242,1,0,47,81,36,78,0.6570247933884298
lstm_attention,fold_3,2024,Market-Only,5,244,26.438998488425998,22.402956369732248,2.646226771559446,0.6395372165850356,0.5368852459016393,0.5470421966484958,0.10796446606688857,1.0,244,0,0,38,89,24,93,0.7459016393442623
lstm_attention,fold_3,2024,Observed-News,5,244,22.408843478962805,18.172253789921253,2.1410512597310603,0.7410539335467958,0.5532786885245902,0.5661551921394441,0.16899630579268238,1.0,244,0,0,32,95,14,103,0.8114754098360656
lstm_attention,fold_4,2025,Market-Only,5,234,39.45854000147318,31.18863530865794,4.083967091215138,0.3989636589789398,0.5085470085470085,0.5182017543859649,0.055221775315869207,1.0,234,0,0,17,103,12,102,0.8760683760683761
lstm_attention,fold_4,2025,Observed-News,5,234,23.641338364629895,18.75376443277516,2.4095869663684346,0.7842440279329191,0.5085470085470085,0.5116228070175438,0.02393343679045498,1.0,234,0,0,47,73,42,72,0.6196581196581197
lstm_cnn,fold_1,2022,Market-Only,5,241,26.615530917581612,21.367779169238922,2.1764675597464307,-0.43007658454566156,0.5083333333333333,0.5024945541423652,0.004989108284730518,1.0,240,1,0,48,59,59,74,0.5541666666666667
lstm_cnn,fold_1,2022,Observed-News,5,241,27.157895518494936,21.01946754377412,2.1433850565629586,-0.4889539101882525,0.5,0.4958892558499052,-0.008196186044954768,1.0,240,1,0,49,58,62,71,0.5375
lstm_cnn,fold_2,2023,Market-Only,5,243,20.821159117411323,16.893794916696496,1.8296950777934817,0.7810224624155233,0.5454545454545454,0.5511239035087719,0.10397217491665829,1.0,242,1,0,58,70,40,74,0.5950413223140496
lstm_cnn,fold_2,2023,Observed-News,5,243,20.056865136203943,15.864006362929747,1.7133208336838384,0.7968036651164906,0.5495867768595041,0.5526315789473684,0.10560749364557687,1.0,242,1,0,64,64,45,69,0.5495867768595041
lstm_cnn,fold_3,2024,Market-Only,5,244,25.334611803328354,20.620566705224924,2.445963245913828,0.6690221427278228,0.5245901639344263,0.5392691298203109,0.11193577215643705,1.0,244,0,0,23,104,12,105,0.8565573770491803
lstm_cnn,fold_3,2024,Observed-News,5,244,28.342002044317134,22.748721493136674,2.7009692190413843,0.5857796016994248,0.5368852459016393,0.5504071606433811,0.1334186961337341,1.0,244,0,0,28,99,14,103,0.8278688524590164
lstm_cnn,fold_4,2025,Market-Only,5,234,43.35018472842986,32.782642572336215,4.326822031413986,0.2745614790594376,0.5512820512820513,0.5581140350877193,0.13700809108126272,1.0,234,0,0,35,85,20,94,0.7649572649572649
lstm_cnn,fold_4,2025,Observed-News,5,234,42.129215571412864,32.69479580006894,4.302505328248363,0.3148503287687263,0.5384615384615384,0.5451754385964912,0.10584525837731089,1.0,234,0,0,34,86,22,92,0.7606837606837606
lstm_cnn_attention,fold_1,2022,Market-Only,5,241,36.285745376803945,29.719429246414744,3.0218320442900697,-1.6580376343887178,0.48333333333333334,0.47811116576487944,-0.04370402546279677,1.0,240,1,0,46,61,63,70,0.5458333333333333
lstm_cnn_attention,fold_1,2022,Observed-News,5,241,36.85728570715368,29.486639660456365,2.99747328760486,-1.7424311081588222,0.48333333333333334,0.48176516056496377,-0.03626637617064696,1.0,240,1,0,50,57,67,66,0.5125
lstm_cnn_attention,fold_2,2023,Market-Only,5,243,28.21056721778688,23.26145906019603,2.5129453781110382,0.5980117134672782,0.5082644628099173,0.5169270833333333,0.03540056955355201,1.0,242,1,0,47,81,38,76,0.6487603305785123
lstm_cnn_attention,fold_2,2023,Observed-News,5,243,29.149901711892195,24.047570272012987,2.598215739498868,0.5707958119074541,0.5,0.5086348684210527,0.018058590136629773,1.0,242,1,0,46,82,39,75,0.6487603305785123
lstm_cnn_attention,fold_3,2024,Market-Only,5,244,34.617841670874085,28.089103718912014,3.334444793497164,0.38202571106767913,0.569672131147541,0.5795477488390874,0.18068680615743768,1.0,244,0,0,43,84,21,96,0.7377049180327869
lstm_cnn_attention,fold_3,2024,Observed-News,5,244,33.99447464390793,27.149634514478375,3.2231871020651934,0.4040811822120507,0.5327868852459017,0.5437781815734571,0.10337708314901928,1.0,244,0,0,35,92,22,95,0.7663934426229508
lstm_cnn_attention,fold_4,2025,Market-Only,5,234,56.9096103436276,42.849509257507115,5.664440685907389,-0.25023004679052385,0.5427350427350427,0.549780701754386,0.11889315084359446,1.0,234,0,0,33,87,20,94,0.7735042735042735
lstm_cnn_attention,fold_4,2025,Observed-News,5,234,56.85990854474363,43.236134793611164,5.712146313832967,-0.24804723275702756,0.5341880341880342,0.5412280701754386,0.09846657426694166,1.0,234,0,0,32,88,21,93,0.7735042735042735
lstm,fold_1,2022,News-Only,5,241,57.221834917267294,48.105542019717944,4.855421860820317,-5.610169385857034,0.4791666666666667,0.5227671983697562,0.0754440162798816,1.0,240,1,0,99,8,117,16,0.1
lstm,fold_1,2022,Global-Numeric-Shuffled-News,5,241,12.37354336729745,10.017828591369476,1.0202573027870687,0.6909155204466708,0.5208333333333334,0.4936757782306233,-0.014519207702645386,1.0,240,1,0,26,81,34,99,0.75
