model,fold,test_year,base_seed,arm,window,n_test,fit_seconds,inference_seconds,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_1,2022,42,News-Only,20,241,3.012960500003828,0.1971017000032588,81.76421880449105,73.17612302087159,7.410160806752347,-12.496327608827317,0.4416666666666666,0.4889326119035907,-0.045452309563575,1.0,240,1,0,99,8,126,7,0.0625
cnn,fold_1,2022,42,Global-Numeric-Shuffled-News,20,241,3.739463300000352,0.2245910999990883,33.62360687192384,26.4564182420687,2.69424212059635,-1.2823257320697898,0.4916666666666666,0.4883704588574239,-0.0231616344062273,1.0,240,1,0,49,58,64,69,0.5291666666666667
cnn,fold_1,2022,42,Global-Numeric-Lagged-News,20,241,4.019653399998788,0.2428565000009257,20.277050630995,15.940726627858346,1.6209571948896953,0.1699608071497487,0.4875,0.4919190499613519,-0.0161228609309845,1.0,240,1,0,57,50,73,60,0.4583333333333333
cnn,fold_1,2022,42,Global-Numeric-Random-Features,20,241,3.749266100006935,0.2314566999993985,26.63872903959747,22.305749530317357,2.2705194926062138,-0.4325705831755244,0.4833333333333333,0.4625816878645211,-0.0802526338526561,1.0,240,1,0,29,78,46,87,0.6875
cnn,fold_1,2022,123,News-Only,20,241,3.06758400000399,0.2215168999973684,75.94085486836342,68.381259432487,6.919661888964772,-10.642332319073953,0.4458333333333333,0.4945190077998735,-0.0250005085214323,1.0,240,1,0,101,6,127,6,0.05
cnn,fold_1,2022,123,Global-Numeric-Shuffled-News,20,241,3.3845090000031632,0.2412855000002309,24.296752675309715,19.616714373732982,1.995864962945383,-0.1917509149113125,0.4875,0.4745625746609514,-0.052011105579711,1.0,240,1,0,38,69,54,79,0.6166666666666667
cnn,fold_1,2022,123,Global-Numeric-Lagged-News,20,241,3.4504674000054365,0.1919116999997641,22.79992489314528,18.10496029750933,1.8561310210003572,-0.0494357650157701,0.5583333333333333,0.5329913568969151,0.0745402723185808,1.0,240,1,0,32,75,31,102,0.7375
cnn,fold_1,2022,123,Global-Numeric-Random-Features,20,241,3.671516000002157,0.2058271999994758,23.85454767210969,18.926441898444867,1.9317312682965,-0.1487655418591253,0.5083333333333333,0.4979270606422599,-0.0041993339826878,1.0,240,1,0,43,64,54,79,0.5958333333333333
cnn,fold_1,2022,456,News-Only,20,241,2.911567600000126,0.2161411999986739,76.96485541673316,71.55298741844682,7.244067123647703,-10.958423895172489,0.4375,0.483346216007308,-0.0628561667934975,1.0,240,1,0,97,10,125,8,0.075
cnn,fold_1,2022,456,Global-Numeric-Shuffled-News,20,241,4.0656798999989405,0.2174910999965504,24.38085586087629,19.76308824275043,2.011645622582657,-0.2000156836888285,0.4791666666666667,0.4661302789684491,-0.0692523560481235,1.0,240,1,0,37,70,55,78,0.6166666666666667
cnn,fold_1,2022,456,Global-Numeric-Lagged-News,20,241,3.5441365000006044,0.1901827000037883,24.77599282094897,20.152192820018755,2.051052435226103,-0.239227839188395,0.4541666666666666,0.4563628697913007,-0.0868692732650309,1.0,240,1,0,51,56,75,58,0.475
