model,fold,test_year,contrast,treatment_arm,control_arm,balanced_accuracy_treatment,direction_accuracy_treatment,mcc_treatment,rmse_treatment,mae_treatment,balanced_accuracy_control,direction_accuracy_control,mcc_control,rmse_control,mae_control,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,rmse_delta,mae_delta
cnn,fold_1,2022,observed_news_effect,Observed-News,Market-Only,0.4557655821797484,0.4666666666666667,-0.08960951668142403,23.669960929649214,19.072225700462504,0.48035977794954676,0.5,-0.04182682831913275,26.316166764225198,21.728971076177825,-2.4594195769798377,-3.3333333333333326,-0.04778268836229128,-2.6462058345759836,-2.656745375715321
cnn,fold_2,2023,observed_news_effect,Observed-News,Market-Only,0.5327576754385965,0.5371900826446281,0.06622719756550707,20.244824996535026,16.158442989037372,0.5482456140350878,0.5454545454545454,0.09673016668133488,19.590402696475522,16.244158597591955,-1.5487938596491224,-0.8264462809917328,-0.03050296911582781,0.6544223000595046,-0.08571560855458316
cnn,fold_3,2024,observed_news_effect,Observed-News,Market-Only,0.5402786190187765,0.5245901639344263,0.12436011934391149,30.608108109836703,25.224385348567196,0.5169930681741706,0.5,0.060538897542976734,29.277054232657086,24.865769731923187,2.328555084460593,2.4590163934426257,0.06382122180093475,1.3310538771796168,0.3586156166440091
cnn,fold_4,2025,observed_news_effect,Observed-News,Market-Only,0.5427631578947368,0.5384615384615384,0.09068453126375146,27.754698380975192,21.82487796047304,0.5263157894736842,0.5213675213675214,0.05699879733806412,26.854468691897377,20.604988532180464,1.6447368421052655,1.7094017094017033,0.03368573392568734,0.9002296890778148,1.219889428292575
lstm,fold_1,2022,observed_news_effect,Observed-News,Market-Only,0.47751387815332724,0.49583333333333335,-0.047419533787957845,11.934967588578424,9.681344625524462,0.516161900077296,0.4708333333333333,0.05813180179383969,20.256741645385397,16.519949529371846,-3.8648021923968767,2.500000000000002,-0.10555133558179754,-8.321774056806973,-6.838604903847385
lstm,fold_2,2023,observed_news_effect,Observed-News,Market-Only,0.5373492324561404,0.5537190082644629,0.09078009129286156,12.998561306617965,10.533375788181443,0.5344709429824561,0.5537190082644629,0.0926477528011163,12.728200319652524,10.141189378921888,0.28782894736842923,0.0,-0.0018676615082547365,0.2703609869654411,0.39218640925955484
lstm,fold_3,2024,observed_news_effect,Observed-News,Market-Only,0.5172286156538125,0.5040983606557377,0.04477481844730464,13.512984206228388,10.847737938862828,0.5254391278013325,0.5122950819672131,0.06611281786359825,11.76287652473437,9.345485082761183,-0.8210512147519999,-0.8196721311475419,-0.021337999416293614,1.7501076814940184,1.502252856101645
lstm,fold_4,2025,observed_news_effect,Observed-News,Market-Only,0.47850877192982455,0.4700854700854701,-0.0570694144736635,13.472887995121775,10.61668931781128,0.4978070175438597,0.49572649572649574,-0.00444350537315571,11.396107991831585,8.906781467196803,-1.9298245614035148,-2.564102564102566,-0.052625909100507795,2.0767800032901906,1.7099078506144778
lstm_attention,fold_1,2022,observed_news_effect,Observed-News,Market-Only,0.4652870493991989,0.44583333333333336,-0.0741840458334847,23.627278652752253,18.379724005687297,0.5066052982924601,0.45416666666666666,0.05129253255737497,37.769335472885786,33.490593067302775,-4.131824889326125,-0.8333333333333304,-0.12547657839085968,-14.142056820133533,-15.110869061615478
lstm_attention,fold_2,2023,observed_news_effect,Observed-News,Market-Only,0.5256990131578947,0.5165289256198347,0.054046334467449685,21.453524426368617,17.078808661713982,0.5727110745614035,0.5743801652892562,0.14549695091218998,19.74036512201195,16.2302374350122,-4.701206140350878,-5.785123966942152,-0.09145061644474028,1.7131593043566653,0.8485712267017824
lstm_attention,fold_3,2024,observed_news_effect,Observed-News,Market-Only,0.5661551921394441,0.5532786885245902,0.16899630579268238,22.408843478962805,18.172253789921253,0.5470421966484958,0.5368852459016393,0.10796446606688857,26.438998488425998,22.402956369732248,1.9112995490948248,1.6393442622950838,0.061031839725793804,-4.0301550094631935,-4.230702579810995
lstm_attention,fold_4,2025,observed_news_effect,Observed-News,Market-Only,0.5116228070175438,0.5085470085470085,0.02393343679045498,23.641338364629895,18.75376443277516,0.5182017543859649,0.5085470085470085,0.055221775315869207,39.45854000147318,31.18863530865794,-0.6578947368421129,0.0,-0.031288338525414225,-15.817201636843286,-12.43487087588278
lstm_cnn,fold_1,2022,observed_news_effect,Observed-News,Market-Only,0.4958892558499052,0.5,-0.008196186044954768,27.157895518494936,21.01946754377412,0.5024945541423652,0.5083333333333333,0.004989108284730518,26.615530917581612,21.367779169238922,-0.6605298292460038,-0.8333333333333304,-0.013185294329685286,0.5423646009133236,-0.34831162546480243
lstm_cnn,fold_2,2023,observed_news_effect,Observed-News,Market-Only,0.5526315789473684,0.5495867768595041,0.10560749364557687,20.056865136203943,15.864006362929747,0.5511239035087719,0.5454545454545454,0.10397217491665829,20.821159117411323,16.893794916696496,0.1507675438596423,0.4132231404958664,0.001635318728918575,-0.7642939812073806,-1.0297885537667497
lstm_cnn,fold_3,2024,observed_news_effect,Observed-News,Market-Only,0.5504071606433811,0.5368852459016393,0.1334186961337341,28.342002044317134,22.748721493136674,0.5392691298203109,0.5245901639344263,0.11193577215643705,25.334611803328354,20.620566705224924,1.1138030823070189,1.2295081967213073,0.021482923977297064,3.00739024098878,2.1281547879117504
lstm_cnn,fold_4,2025,observed_news_effect,Observed-News,Market-Only,0.5451754385964912,0.5384615384615384,0.10584525837731089,42.129215571412864,32.69479580006894,0.5581140350877193,0.5512820512820513,0.13700809108126272,43.35018472842986,32.782642572336215,-1.2938596491228083,-1.2820512820512886,-0.03116283270395183,-1.2209691570169952,-0.08784677226727666
lstm_cnn_attention,fold_1,2022,observed_news_effect,Observed-News,Market-Only,0.48176516056496377,0.48333333333333334,-0.03626637617064696,36.85728570715368,29.486639660456365,0.47811116576487944,0.48333333333333334,-0.04370402546279677,36.285745376803945,29.719429246414744,0.3653994800084326,0.0,0.007437649292149809,0.571540330349734,-0.23278958595837906
lstm_cnn_attention,fold_2,2023,observed_news_effect,Observed-News,Market-Only,0.5086348684210527,0.5,0.018058590136629773,29.149901711892195,24.047570272012987,0.5169270833333333,0.5082644628099173,0.03540056955355201,28.21056721778688,23.26145906019603,-0.8292214912280604,-0.8264462809917328,-0.017341979416922237,0.9393344941053137,0.7861112118169551
lstm_cnn_attention,fold_3,2024,observed_news_effect,Observed-News,Market-Only,0.5437781815734571,0.5327868852459017,0.10337708314901928,33.99447464390793,27.149634514478375,0.5795477488390874,0.569672131147541,0.18068680615743768,34.617841670874085,28.089103718912014,-3.5769567265630298,-3.688524590163933,-0.0773097230084184,-0.6233670269661573,-0.9394692044336388
lstm_cnn_attention,fold_4,2025,observed_news_effect,Observed-News,Market-Only,0.5412280701754386,0.5341880341880342,0.09846657426694166,56.85990854474363,43.236134793611164,0.549780701754386,0.5427350427350427,0.11889315084359446,56.9096103436276,42.849509257507115,-0.8552631578947367,-0.8547008547008517,-0.020426576576652797,-0.049701798883965864,0.3866255361040487
cnn,fold_1,2022,observed_vs_shuffled,Observed-News,Global-Numeric-Shuffled-News,0.4557655821797484,0.4666666666666667,-0.08960951668142403,23.669960929649214,19.072225700462504,0.4698896774646898,0.48333333333333334,-0.06169490250078081,27.868752974337493,22.38825423798224,-1.4124095284941407,-1.6666666666666663,-0.02791461418064322,-4.198792044688279,-3.3160285375197347
cnn,fold_2,2023,observed_vs_shuffled,Observed-News,Global-Numeric-Shuffled-News,0.5327576754385965,0.5371900826446281,0.06622719756550707,20.244824996535026,16.158442989037372,0.5755893640350878,0.5743801652892562,0.15100807113150808,19.584427959322984,16.10277062357698,-4.283168859649122,-3.7190082644628086,-0.084780873566001,0.6603970372120429,0.055672365460392115
cnn,fold_3,2024,observed_vs_shuffled,Observed-News,Global-Numeric-Shuffled-News,0.5402786190187765,0.5245901639344263,0.12436011934391149,30.608108109836703,25.224385348567196,0.5497341678444041,0.5368852459016393,0.1270480874677439,29.18865254264752,23.97421511423684,-0.9455548825627602,-1.2295081967213073,-0.0026879681238324155,1.419455567189182,1.250170234330355
cnn,fold_4,2025,observed_vs_shuffled,Observed-News,Global-Numeric-Shuffled-News,0.5427631578947368,0.5384615384615384,0.09068453126375146,27.754698380975192,21.82487796047304,0.5449561403508771,0.5427350427350427,0.09122542850965049,24.688426600559872,19.144502239355415,-0.21929824561403022,-0.42735042735042583,-0.0005408972458990219,3.0662717804153203,2.680375721117624
lstm,fold_1,2022,observed_vs_shuffled,Observed-News,Global-Numeric-Shuffled-News,0.47751387815332724,0.49583333333333335,-0.047419533787957845,11.934967588578424,9.681344625524462,0.4936757782306233,0.5208333333333334,-0.014519207702645386,12.37354336729745,10.017828591369476,-1.6161900077296065,-2.500000000000002,-0.03290032608531246,-0.4385757787190272,-0.33648396584501405
