model,fold,test_year,quarter,balanced_accuracy_treatment,balanced_accuracy_control,contrast,balanced_accuracy_delta_pp
cnn,fold_1,2022,2022Q1,0.5250836120401338,0.5752508361204014,observed_news_effect,-5.016722408026764
cnn,fold_1,2022,2022Q2,0.515625,0.4739583333333333,observed_news_effect,4.166666666666669
cnn,fold_1,2022,2022Q3,0.35893416927899685,0.4085684430512017,observed_news_effect,-4.963427377220486
cnn,fold_1,2022,2022Q4,0.40070505287896596,0.4195064629847238,observed_news_effect,-1.8801410105757865
cnn,fold_2,2023,2023Q1,0.5072765072765073,0.5067567567567568,observed_news_effect,0.05197505197505059
cnn,fold_2,2023,2023Q2,0.5527950310559007,0.5167701863354037,observed_news_effect,3.602484472049694
cnn,fold_2,2023,2023Q3,0.4602925809822362,0.5146290491118077,observed_news_effect,-5.4336468129571545
cnn,fold_2,2023,2023Q4,0.5405092592592593,0.5873842592592593,observed_news_effect,-4.6875
cnn,fold_3,2024,2024Q1,0.4892857142857143,0.4857142857142857,observed_news_effect,0.3571428571428614
cnn,fold_3,2024,2024Q2,0.5,0.5,observed_news_effect,0.0
cnn,fold_3,2024,2024Q3,0.5192307692307693,0.5192307692307693,observed_news_effect,0.0
cnn,fold_3,2024,2024Q4,0.6022222222222222,0.5311111111111111,observed_news_effect,7.1111111111111125
cnn,fold_4,2025,2025Q1,0.5432432432432432,0.5362162162162163,observed_news_effect,0.7027027027026955
cnn,fold_4,2025,2025Q2,0.500615763546798,0.4839901477832512,observed_news_effect,1.662561576354682
cnn,fold_4,2025,2025Q3,0.5195767195767196,0.4925925925925926,observed_news_effect,2.6984126984127
cnn,fold_4,2025,2025Q4,0.5614285714285714,0.5435714285714286,observed_news_effect,1.7857142857142794
lstm,fold_1,2022,2022Q1,0.5261984392419174,0.49108138238573024,observed_news_effect,3.511705685618721
lstm,fold_1,2022,2022Q2,0.5,0.5208333333333334,observed_news_effect,-2.083333333333337
lstm,fold_1,2022,2022Q3,0.4890282131661442,0.5198537095088819,observed_news_effect,-3.082549634273768
lstm,fold_1,2022,2022Q4,0.381316098707403,0.5323149236192715,observed_news_effect,-15.099882491186845
lstm,fold_2,2023,2023Q1,0.4594594594594595,0.5285862785862786,observed_news_effect,-6.9126819126819115
lstm,fold_2,2023,2023Q2,0.4857142857142857,0.4714285714285714,observed_news_effect,1.428571428571429
lstm,fold_2,2023,2023Q3,0.5956112852664577,0.5329153605015674,observed_news_effect,6.269592476489027
lstm,fold_2,2023,2023Q4,0.5063657407407407,0.5665509259259259,observed_news_effect,-6.018518518518523
lstm,fold_3,2024,2024Q1,0.5107142857142857,0.5107142857142857,observed_news_effect,0.0
lstm,fold_3,2024,2024Q2,0.47962962962962963,0.5148148148148148,observed_news_effect,-3.518518518518521
lstm,fold_3,2024,2024Q3,0.5192307692307693,0.4864864864864865,observed_news_effect,3.274428274428276
lstm,fold_3,2024,2024Q4,0.4716666666666667,0.5055555555555555,observed_news_effect,-3.3888888888888857
lstm,fold_4,2025,2025Q1,0.47459459459459463,0.5637837837837838,observed_news_effect,-8.918918918918916
lstm,fold_4,2025,2025Q2,0.5357142857142857,0.5030788177339901,observed_news_effect,3.2635467980295596
lstm,fold_4,2025,2025Q3,0.4883597883597884,0.4111111111111111,observed_news_effect,7.724867724867729
lstm,fold_4,2025,2025Q4,0.3892857142857143,0.46142857142857147,observed_news_effect,-7.214285714285717
lstm_attention,fold_1,2022,2022Q1,0.48494983277591974,0.5,observed_news_effect,-1.5050167224080258
lstm_attention,fold_1,2022,2022Q2,0.5,0.546875,observed_news_effect,-4.6875
lstm_attention,fold_1,2022,2022Q3,0.4059561128526646,0.5,observed_news_effect,-9.40438871473354
lstm_attention,fold_1,2022,2022Q4,0.4747356051703878,0.5,observed_news_effect,-2.526439482961218
lstm_attention,fold_2,2023,2023Q1,0.5644490644490645,0.5228690228690229,observed_news_effect,4.158004158004158
lstm_attention,fold_2,2023,2023Q2,0.5335403726708075,0.5677018633540373,observed_news_effect,-3.4161490683229823
lstm_attention,fold_2,2023,2023Q3,0.4885057471264368,0.5355276907001045,observed_news_effect,-4.702194357366773
lstm_attention,fold_2,2023,2023Q4,0.4861111111111111,0.5584490740740741,observed_news_effect,-7.233796296296297
lstm_attention,fold_3,2024,2024Q1,0.5357142857142857,0.5,observed_news_effect,3.57142857142857
lstm_attention,fold_3,2024,2024Q2,0.48148148148148145,0.5,observed_news_effect,-1.8518518518518545
lstm_attention,fold_3,2024,2024Q3,0.5769230769230769,0.5478170478170479,observed_news_effect,2.9106029106028997
