model,contrast,origins,mean_delta_pp,median_delta_pp,positive_origins,negative_origins
cnn,observed_news_effect,16,0.009833363334347034,0.204558954558956,9,5
lstm,observed_news_effect,16,-1.9228040964126052,-2.5829414838035527,6,9
lstm_attention,observed_news_effect,16,-1.4695488441857445,-1.6956303594234667,6,10
lstm_cnn,observed_news_effect,16,0.03699364709484587,0.0,7,7
lstm_cnn_attention,observed_news_effect,16,-0.8799107634026107,-0.6430056430056424,2,9
cnn,observed_vs_shuffled,16,-1.0520280716354542,-0.8156370656370704,5,10
lstm,observed_vs_shuffled,16,-3.5320323706521246,-2.5083612040133847,4,12
lstm_attention,observed_vs_shuffled,16,0.2261825562460396,0.389812889812885,8,7
lstm_cnn,observed_vs_shuffled,16,0.8856224834251446,0.0,7,6
lstm_cnn_attention,observed_vs_shuffled,16,-1.5688872353040273,0.0,5,7
cnn,observed_vs_lagged,16,0.25419830909664226,0.0,7,7
lstm,observed_vs_lagged,16,-1.4621312378996056,-1.1970899470899465,7,9
lstm_attention,observed_vs_lagged,16,-0.28743955022417467,-0.20898641588296962,6,8
lstm_cnn,observed_vs_lagged,16,0.686644126404713,0.0,7,7
lstm_cnn_attention,observed_vs_lagged,16,-0.9748182287244774,-1.4332514332514312,3,10
cnn,observed_vs_random,16,0.8687300767042161,0.0,7,4
lstm,observed_vs_random,16,-2.177824551237455,-2.1675868414998885,6,10
lstm_attention,observed_vs_random,16,0.9914359398992081,1.1360413159513612,11,3
lstm_cnn,observed_vs_random,16,1.5713477381979057,1.0710553814002044,9,4
lstm_cnn_attention,observed_vs_random,16,-1.0682865624886784,-0.37267080745341796,5,8
lstm,news_only_vs_market,16,1.495515581622918,0.29198999401398307,8,8
cnn,news_only_vs_market,16,-0.12959734224492622,0.216216216216214,8,7
lstm_cnn,news_only_vs_market,16,-1.790191569456233,-2.59781725298967,5,9
lstm_attention,news_only_vs_market,16,-1.0412210909891764,0.0,6,6
lstm_cnn_attention,news_only_vs_market,16,-1.776335043318739,-1.4226726726726757,5,9
lstm,shuffled_vs_market,16,1.6092282742395194,2.3772204806687567,10,6
cnn,shuffled_vs_market,16,1.0618614349698012,1.5647716682199386,10,4
lstm_cnn,shuffled_vs_market,16,-0.8486288363302986,-1.2175638371290542,5,9
lstm_attention,shuffled_vs_market,16,-1.695731400431784,-1.981452455590385,5,11
lstm_cnn_attention,shuffled_vs_market,16,0.6889764719014168,0.0,6,7
