model,arm,executed_fits,fit_seconds_total,fit_seconds_mean,inference_seconds_total,training_sequences_min,training_sequences_max
cnn,News-Only,20,77.99636270000337,3.8998181350001686,4.7024882000041535,708,1436
cnn,Global-Numeric-Shuffled-News,20,100.27435049998894,5.013717524999447,4.767528699994727,708,1436
cnn,Global-Numeric-Lagged-News,20,101.76270579999982,5.088135289999991,4.984143200003018,708,1436
cnn,Global-Numeric-Random-Features,20,100.77980099999695,5.038990049999848,4.978796900017186,708,1436
lstm,News-Only,20,95.10767539998051,4.755383769999026,8.272851100016851,723,1451
lstm,Global-Numeric-Shuffled-News,20,95.12683509998169,4.7563417549990845,8.648397200013278,723,1451
lstm,Global-Numeric-Lagged-News,20,94.041549400019,4.702077470000949,8.421334899998328,723,1451
lstm,Global-Numeric-Random-Features,20,95.64348490000702,4.782174245000351,8.722602999980154,723,1451
lstm_attention,News-Only,20,147.03053999999247,7.351526999999623,11.503470699994068,718,1446
lstm_attention,Global-Numeric-Shuffled-News,20,148.58593919999112,7.429296959999556,11.627581199980341,718,1446
lstm_attention,Global-Numeric-Lagged-News,20,147.41470089999348,7.370735044999674,11.813080899984925,718,1446
lstm_attention,Global-Numeric-Random-Features,20,147.33095120001235,7.366547560000617,11.77262559999508,718,1446
lstm_cnn,News-Only,20,170.86348250001902,8.54317412500095,11.050504699989688,708,1436
lstm_cnn,Global-Numeric-Shuffled-News,20,173.8129088999849,8.690645444999245,11.080604599985236,708,1436
lstm_cnn,Global-Numeric-Lagged-News,20,173.50463369995123,8.675231684997561,11.373340600010124,708,1436
lstm_cnn,Global-Numeric-Random-Features,20,173.21331219997955,8.660665609998977,11.127420300028461,708,1436
lstm_cnn_attention,News-Only,20,227.7836575000183,11.389182875000916,14.446860000018205,708,1436
lstm_cnn_attention,Global-Numeric-Shuffled-News,20,230.09478279999894,11.504739139999947,14.31472239998402,708,1436
lstm_cnn_attention,Global-Numeric-Lagged-News,20,233.36145549998037,11.668072774999018,14.323325299970747,708,1436
lstm_cnn_attention,Global-Numeric-Random-Features,20,232.98842390001664,11.649421195000832,14.338592899992364,708,1436
