variant,test_year,observations,direction_evaluable,direction_accuracy,balanced_accuracy,mcc,predicted_up_share,tn,fp,fn,tp,brier_score,binary_crossentropy
counter_direction_only,2024,244,244,0.47540983606557374,0.47385422975974156,-0.05239035700473711,0.46311475409836067,65,62,66,51,0.26900587453662883,0.7352026626460306
counter_direction_only,2025,234,234,0.5042735042735043,0.5054824561403509,0.011010075393872141,0.5470085470085471,55,65,51,63,0.2541141826727391,0.7025094763657767
cross_state_only,2024,244,244,0.48770491803278687,0.4836462749848577,-0.03333128155465024,0.4016393442622951,74,53,72,45,0.2615394888009855,0.7176440018396809
cross_state_only,2025,234,234,0.5384615384615384,0.5390350877192982,0.07811587059933578,0.5213675213675214,62,58,50,64,0.26216628054318286,0.7213009429356866
direct_lstm,2024,244,244,0.4672131147540984,0.4696816744060839,-0.06104889776810821,0.5614754098360656,52,75,55,62,0.2689061037064245,0.7337052060159753
direct_lstm,2025,234,234,0.5170940170940171,0.5184210526315789,0.03702524858860148,0.5512820512820513,56,64,49,65,0.261105988566361,0.7178872367803565
permuted_regime_cdr,2024,244,244,0.5081967213114754,0.5093882495457298,0.018791681223789762,0.5286885245901639,61,66,54,63,0.2594355797672298,0.7132428106082336
permuted_regime_cdr,2025,234,234,0.5555555555555556,0.5614035087719298,0.1377056581888109,0.7264957264957265,40,80,24,90,0.2615692054076483,0.7180578464740329
pit_cdr_lstm,2024,244,244,0.48360655737704916,0.4840837203041928,-0.03181543475348912,0.5122950819672131,60,67,59,58,0.2640775098461722,0.7238622739616392
pit_cdr_lstm,2025,234,234,0.49145299145299143,0.48859649122807014,-0.02338421688774671,0.3888888888888889,72,48,71,43,0.2622931278566488,0.7212056198214475
random_relations,2024,244,244,0.45491803278688525,0.4565246651860825,-0.08717094324833731,0.5409836065573771,53,74,59,58,0.2671986898997168,0.730072696271561
random_relations,2025,234,234,0.49145299145299143,0.49714912280701756,-0.006362847629757778,0.7222222222222222,33,87,32,82,0.2650949219651151,0.726119913002266
