model_key,model,test_year,balanced_accuracy,direction_accuracy,mcc,rmse,mae
cnn,CNN,2024,0.5418938017363214,0.5409836065573771,0.08378760347264284,21.314098617598365,16.385382752097538
cnn,CNN,2025,0.5107456140350878,0.5042735042735043,0.024879059057917072,26.80509362387916,20.532951480815672
lstm,LSTM,2024,0.5296116831549902,0.5204918032786885,0.06598984230545307,15.055076929142453,11.822225512467444
lstm,LSTM,2025,0.5320175438596491,0.5256410256410257,0.07370823763077566,21.57038384561639,17.293125048228944
lstm_attention,LSTM-Attention,2024,0.5359041658254257,0.5245901639344263,0.08585337673287284,20.312429181832822,15.272619157046552
lstm_attention,LSTM-Attention,2025,0.5381578947368422,0.5299145299145299,0.09939904010065857,22.650465418988038,17.807711327740684
lstm_cnn,LSTM-CNN,2024,0.4982165690827108,0.48360655737704916,-0.005083629755176661,27.61654857080032,21.900811976670212
lstm_cnn,LSTM-CNN,2025,0.5515350877192983,0.5427350427350427,0.14120240338788947,30.41051843824732,24.824588519024697
lstm_cnn_attention,LSTM-CNN-Attention,2024,0.531731610471768,0.5163934426229508,0.0952020395954842,34.12513758467779,28.05330493800707
lstm_cnn_attention,LSTM-CNN-Attention,2025,0.5307017543859649,0.5213675213675214,0.08932757895907009,36.1176027224356,29.946056040386722
pit_cdr_lstm,PIT-CDR-LSTM,2024,0.4840837203041928,0.48360655737704916,-0.03181543475348912,,
pit_cdr_lstm,PIT-CDR-LSTM,2025,0.48859649122807014,0.49145299145299143,-0.02338421688774671,,
