model,fold,base_seed,cell_wall_seconds
pit_cmm_lstm,fold_1,42,66.2821272000001
pit_cmm_lstm,fold_1,123,78.81590020000294
pit_cmm_lstm,fold_1,456,75.76866899999732
pit_cmm_lstm,fold_1,789,78.61479130000225
pit_cmm_lstm,fold_1,2025,74.87850849999813
pit_cmm_lstm,fold_2,42,82.89706140001363
pit_cmm_lstm,fold_2,123,79.41059430000314
pit_cmm_lstm,fold_2,456,78.82174179999856
pit_cmm_lstm,fold_2,789,78.3002634000004
pit_cmm_lstm,fold_2,2025,78.93180449999636
pit_cmm_lstm,fold_3,42,86.6089221000002
pit_cmm_lstm,fold_3,123,82.21908419999818
pit_cmm_lstm,fold_3,456,82.36600969999563
pit_cmm_lstm,fold_3,789,82.17299910000293
pit_cmm_lstm,fold_3,2025,86.39811270000064
pit_cmm_lstm,fold_4,42,94.51606890000403
pit_cmm_lstm,fold_4,123,90.51001209999959
pit_cmm_lstm,fold_4,456,87.08177140000043
pit_cmm_lstm,fold_4,789,85.09779060000437
pit_cmm_lstm,fold_4,2025,87.46958379998978
