model,arm,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,direction_accuracy_std,mcc_mean,rmse_mean,mae_mean,temporal_folds,evidence_status,model_label,balanced_accuracy_mean_pct,direction_accuracy_mean_pct
lstm,Global-Numeric,0.5184697471012361,0.0156725352939383,0.5081434798228762,0.0348357724100559,0.0531122167713496,14.035981620400973,11.228351364562933,4,frozen_existing_result,LSTM,51.846974710123604,50.81434798228762
lstm,Global-Numeric-News,0.5026501245482762,0.0296152904290548,0.505934043084751,0.0349948431952176,0.0077664903696362,12.979850274136634,10.419786917595,4,frozen_existing_result,LSTM,50.26501245482762,50.5934043084751
lstm,Regime-SHAP-Numeric,0.5187902387675096,0.0442114331633766,0.5186800764436755,0.0365415063974445,0.0448313932505066,15.33169914896792,11.898910730608671,4,frozen_existing_result,LSTM,51.87902387675096,51.86800764436755
lstm,Regime-SHAP-Numeric-News,0.5200702766052748,0.0163650158412157,0.5198321053015539,0.0042860142592826,0.0443243152962159,15.97184920995312,12.731349137606896,4,frozen_existing_result,LSTM,52.007027660527484,51.98321053015539
cnn,Global-Numeric,0.5179785624081223,0.0282945690451839,0.5167055167055167,0.0216517090801752,0.0431102583108107,25.5095230963138,20.86097198446836,4,frozen_existing_result,CNN,51.79785624081224,51.67055167055167
cnn,Global-Numeric-News,0.5178912586329646,0.041634982492052,0.5167271129268148,0.033955825390793,0.0479155828729365,25.569398104249032,20.569982999635023,4,frozen_existing_result,CNN,51.78912586329646,51.672711292681484
cnn,Regime-SHAP-Numeric,0.532844499625917,0.0470712062459807,0.5354374523059322,0.0530603159280797,0.0686127899228782,20.157438896030957,15.650160306304857,4,frozen_existing_result,CNN,53.284449962591694,53.54374523059322
cnn,Regime-SHAP-Numeric-News,0.5149475536974959,0.0182797947042559,0.5175556688922933,0.0174758492246118,0.0308291982376718,22.741060974427395,17.729168831408238,4,frozen_existing_result,CNN,51.49475536974959,51.75556688922933
lstm_cnn,Global-Numeric,0.5377504056397918,0.0247575539818268,0.532415023501089,0.0197243512663581,0.0894762866097721,29.03037164168779,22.91619584087414,4,frozen_existing_result,LSTM-CNN,53.77504056397918,53.2415023501089
lstm_cnn,Global-Numeric-News,0.5360258585092865,0.0269396454514474,0.5312333903056705,0.0215759207252101,0.0841688155279167,29.42149456760722,23.081747799977368,4,frozen_existing_result,LSTM-CNN,53.602585850928655,53.12333903056705
