model,fold,test_year,arm,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_dern,fold_1,2022,Global-Numeric,5,241,15.633070910545635,12.672540586648081,1.2886929918135956,0.5066244496057473,0.4625,0.4830651394842246,-0.036455194949180654,1.0,240,1,0,72,35,94,39,0.30833333333333335
pit_dern,fold_1,2022,Global-Numeric-News,5,241,15.192083903262546,12.511471243283719,1.2710837192459896,0.5340667231338607,0.44166666666666665,0.4597006535029161,-0.08525487557671187,1.0,240,1,0,67,40,94,39,0.32916666666666666
pit_dern,fold_1,2022,Regime-SHAP-Numeric,5,241,13.867240245011855,11.5178303685547,1.172212521291614,0.61178786433837,0.4375,0.4541142576066334,-0.09618115719485752,1.0,240,1,0,65,42,93,40,0.3416666666666667
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,5,241,13.492862748236638,10.85212476788393,1.1047189251684113,0.6324662434002113,0.4708333333333333,0.4787084533764317,-0.04281690642359173,1.0,240,1,0,59,48,79,54,0.425
pit_dern,fold_2,2023,Global-Numeric,5,243,14.449917212131052,11.636199392928797,1.2566947917636861,0.8945320561273041,0.5371900826446281,0.5466694078947368,0.0984357329904368,1.0,242,1,0,49,79,33,81,0.6611570247933884
pit_dern,fold_2,2023,Global-Numeric-News,5,243,13.46326662924228,11.07767684828275,1.1961646047022156,0.9084431894969519,0.4669421487603306,0.47546600877192985,-0.05130932753105919,1.0,242,1,0,42,86,43,71,0.6487603305785123
pit_dern,fold_2,2023,Regime-SHAP-Numeric,5,243,12.352839784712417,9.863724938957418,1.0650853422178785,0.922923252665622,0.5661157024793388,0.576891447368421,0.1648079310450148,1.0,242,1,0,50,78,27,87,0.6818181818181818
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,5,243,13.235911738789776,10.663752292882934,1.1517014420303675,0.911509329340788,0.49586776859504134,0.5032894736842105,0.006794707624925293,1.0,242,1,0,48,80,42,72,0.628099173553719
pit_dern,fold_3,2024,Global-Numeric,5,244,14.287087988849112,11.667108631895234,1.3565749468195318,0.8947413318166626,0.5081967213114754,0.5157816811360119,0.03392926511363978,1.0,244,0,0,42,85,35,82,0.6844262295081968
pit_dern,fold_3,2024,Global-Numeric-News,5,244,12.136958335549446,9.749028055927448,1.1349242793428622,0.9240390908483028,0.5,0.5048791977925836,0.010037909202260904,1.0,244,0,0,49,78,44,73,0.6188524590163934
pit_dern,fold_3,2024,Regime-SHAP-Numeric,5,244,13.119172694527894,10.647868746831225,1.235999440327133,0.9112469411598766,0.5245901639344263,0.5348946766269601,0.08051809711784627,1.0,244,0,0,36,91,25,92,0.75
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,5,244,14.09237709902877,11.441502796489342,1.3294357844627192,0.897590806998526,0.4918032786885246,0.4993606568409718,-0.001374533128271121,1.0,244,0,0,40,87,37,80,0.6844262295081968
pit_dern,fold_4,2025,Global-Numeric,5,234,14.880313723074654,11.68219666688138,1.4859124964719603,0.914524257278182,0.5341880341880342,0.5348684210526315,0.06980576339578433,1.0,234,0,0,61,59,50,64,0.5256410256410257
pit_dern,fold_4,2025,Global-Numeric-News,5,234,14.12912349812299,11.304877566392047,1.436872932293938,0.9229364253202108,0.5042735042735043,0.5057017543859649,0.011470786693528088,1.0,234,0,0,54,66,50,64,0.5555555555555556
pit_dern,fold_4,2025,Regime-SHAP-Numeric,5,234,14.47947566390202,11.506783686931938,1.4545555721700396,0.9190672348683405,0.48717948717948717,0.48903508771929827,-0.02215775759240901,1.0,234,0,0,50,70,50,64,0.5726495726495726
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,5,234,13.932255898859342,11.094668972766982,1.4025751079551199,0.9250689888060162,0.5213675213675214,0.525,0.05209880722517277,1.0,234,0,0,46,74,38,76,0.6410256410256411
