model,fold,test_year,arm,base_seed,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_dern,fold_1,2022,Global-Numeric,123,241,26.71146705589106,21.595295035279463,2.197389120029886,-0.4404046360993139,0.4666666666666667,0.4959595249806759,-0.0095568093451429,1.0,240,1,0,82,25,103,30,0.2291666666666666
pit_dern,fold_1,2022,Global-Numeric-News,123,241,31.34030657737236,24.826340074693544,2.5274816189469016,-0.982875785445838,0.4708333333333333,0.4896704377766847,-0.0219242533734955,1.0,240,1,0,71,36,91,42,0.325
pit_dern,fold_1,2022,Regime-SHAP-Numeric,123,241,17.801064391239326,14.261002787389,1.4509989625747346,0.360293195114718,0.475,0.4979973297730307,-0.0043988033363602,1.0,240,1,0,76,31,95,38,0.2875
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,123,241,23.15990961592839,18.71508393788188,1.9034012353118892,-0.082836156317861,0.4083333333333333,0.4204904785327805,-0.1629119770819918,1.0,240,1,0,57,50,92,41,0.3791666666666666
pit_dern,fold_1,2022,Global-Numeric,2025,241,25.401845343799693,20.599573653609085,2.0952199734032773,-0.3026254632098741,0.4625,0.4757571498840559,-0.0497811009505822,1.0,240,1,0,64,43,86,47,0.375
pit_dern,fold_1,2022,Global-Numeric-News,2025,241,30.07362706448685,23.671601778945607,2.4060080631135667,-0.8258313003257693,0.4666666666666667,0.4776895509802543,-0.0453534377945906,1.0,240,1,0,62,45,83,50,0.3958333333333333
pit_dern,fold_1,2022,Regime-SHAP-Numeric,2025,241,21.19652935361653,16.254653914121025,1.6535818684759007,0.0929764943875111,0.4791666666666667,0.4971892347691659,-0.0059274417234947,1.0,240,1,0,71,36,89,44,0.3333333333333333
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,2025,241,21.605556357064337,16.717473806455928,1.7025890885405257,0.0576332884614639,0.5208333333333334,0.5274752301314032,0.0550026623901283,1.0,240,1,0,63,44,71,62,0.4416666666666666
pit_dern,fold_1,2022,Global-Numeric,42,241,32.0632342963817,25.630829580124736,2.606232268395782,-1.0754089506103042,0.4166666666666667,0.442625254725599,-0.1310017334562078,1.0,240,1,0,73,34,106,27,0.2541666666666666
pit_dern,fold_1,2022,Global-Numeric-News,42,241,22.688957197357407,17.831191005823456,1.814338351940832,-0.0392453737253302,0.3875,0.4153959665518937,-0.1988546945545855,1.0,240,1,0,72,35,112,21,0.2333333333333333
pit_dern,fold_1,2022,Regime-SHAP-Numeric,42,241,24.93678497719228,20.634550731344955,2.1001335977564137,-0.2553648064645648,0.4041666666666667,0.4313470592368772,-0.1594252693057349,1.0,240,1,0,73,34,109,24,0.2416666666666666
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,42,241,25.319025553089485,20.2404441611505,2.056458336641036,-0.2941451897133957,0.4458333333333333,0.4598060571990724,-0.082917306333674,1.0,240,1,0,63,44,89,44,0.3666666666666666
