model,fold,base_seed,cell_wall_seconds
pit_dern,fold_1,42,26.94506040000124
pit_dern,fold_1,123,27.712223199996515
pit_dern,fold_1,456,27.305834600003436
pit_dern,fold_1,789,26.836844100005692
pit_dern,fold_1,2025,27.0852991000138
pit_dern,fold_2,42,28.512506200000644
pit_dern,fold_2,123,29.064541800005827
pit_dern,fold_2,456,29.04019669999252
pit_dern,fold_2,789,28.940177099997527
pit_dern,fold_2,2025,32.22273999999743
pit_dern,fold_3,42,38.722683300002245
pit_dern,fold_3,123,32.43302840000251
pit_dern,fold_3,456,31.24400710000191
pit_dern,fold_3,789,30.563422999999602
pit_dern,fold_3,2025,30.66658489999827
pit_dern,fold_4,42,32.28975930000888
pit_dern,fold_4,123,32.52913140000601
pit_dern,fold_4,456,31.99010830000043
pit_dern,fold_4,789,32.7398402000108
pit_dern,fold_4,2025,30.888455699998303
