symbol,mean_attention_when_active,active_test_days
EA,0.02154567,243
BCP,0.021425052,124
SCGP,0.021413513,243
KTB,0.021395508,243
BTS,0.021394845,243
SAWAD,0.021388516,119
CRC,0.021384215,243
CPN,0.021354008,243
BEM,0.021353291,243
KCE,0.021353222,119
LH,0.02135085,243
TOP,0.0213495,243
CPALL,0.021347253,243
HMPRO,0.021312786,243
IVL,0.021312706,243
TRUE,0.021304872,243
TLI,0.021304838,243
BGRIM,0.021302447,243
CBG,0.021297166,243
GPSC,0.021290693,243
TISCO,0.021287147,243
TU,0.02127966,243
BDMS,0.021277381,243
COM7,0.02127349,119
RATCH,0.021273434,243
GLOBAL,0.0212733,243
ADVANC,0.021273287,243
CENTEL,0.021272188,243
PTTGC,0.021267116,243
EGCO,0.021266796,243
AWC,0.021265106,243
SCC,0.021263516,243
SCB,0.021262141,243
OR,0.021257393,243
WHA,0.021247225,243
MINT,0.021238912,243
PTT,0.02123782,243
OSP,0.021234004,243
BJC,0.021232449,124
CPF,0.021214666,243
DELTA,0.021212809,243
KBANK,0.02120401,243
MTC,0.02119989,243
BH,0.021182355,243
TTB,0.02115779,243
BBL,0.02114291,243
PTTEP,0.021140449,243
AOT,0.021131648,243
KTC,0.02110408,243
ITC,0.020972861,124
BANPU,,0
CCET,,0
GULF,,0
GULFI,,0
INTUCH,,0
KKP,,0
TCAP,,0
TIDLOR,,0
VGI,,0
