model,test_year,observations,balanced_accuracy,direction_accuracy,mcc,tn,fp,fn,tp,predicted_up_share,brier
cnn,2024,243,0.5399877899877901,0.5390946502057613,0.08000271886128275,65,61,51,66,0.522633744855967,0.4609053497942387
cnn,2025,234,0.5107456140350878,0.5042735042735043,0.024879059057917072,31,89,27,87,0.7521367521367521,0.49572649572649574
lstm,2024,243,0.5308302808302808,0.522633744855967,0.06862971558514842,39,87,29,88,0.720164609053498,0.4773662551440329
lstm,2025,234,0.5320175438596491,0.5256410256410257,0.07370823763077566,34,86,25,89,0.7478632478632479,0.47435897435897434
lstm_attention,2024,243,0.5369352869352869,0.5267489711934157,0.08820422876186455,33,93,22,95,0.7736625514403292,0.4732510288065844
lstm_attention,2025,234,0.5381578947368422,0.5299145299145299,0.09939904010065857,26,94,16,98,0.8205128205128205,0.4700854700854701
lstm_cnn,2024,243,0.4987789987789988,0.48559670781893005,-0.003475030395789428,18,108,17,100,0.8559670781893004,0.51440329218107
lstm_cnn,2025,234,0.5515350877192983,0.5427350427350427,0.14120240338788947,25,95,12,102,0.8418803418803419,0.45726495726495725
lstm_cnn_attention,2024,243,0.5323565323565324,0.5185185185185185,0.09692178276567727,20,106,11,106,0.8724279835390947,0.48148148148148145
lstm_cnn_attention,2025,234,0.5307017543859649,0.5213675213675214,0.08932757895907009,20,100,12,102,0.8632478632478633,0.47863247863247865
