model,label,test_year,observations,balanced_accuracy,direction_accuracy,mcc,predicted_up_share
cnn,CNN,2024,243,0.5399877899877901,0.5390946502057613,0.08000271886128275,0.522633744855967
lstm,LSTM,2024,243,0.5308302808302808,0.522633744855967,0.06862971558514842,0.720164609053498
lstm_cnn,LSTM-CNN,2024,243,0.4987789987789988,0.48559670781893005,-0.003475030395789428,0.8559670781893004
lstm_attention,LSTM-Attention,2024,243,0.5369352869352869,0.5267489711934157,0.08820422876186455,0.7736625514403292
lstm_cnn_attention,LSTM-CNN-Attention,2024,243,0.5323565323565324,0.5185185185185185,0.09692178276567727,0.8724279835390947
pit_set50_crin,PIT-SET50-CRIN,2024,243,0.5097680097680097,0.5020576131687243,0.021464505444360498,0.7078189300411523
cnn,CNN,2025,234,0.5107456140350878,0.5042735042735043,0.024879059057917072,0.7521367521367521
lstm,LSTM,2025,234,0.5320175438596491,0.5256410256410257,0.07370823763077566,0.7478632478632479
lstm_cnn,LSTM-CNN,2025,234,0.5515350877192983,0.5427350427350427,0.14120240338788947,0.8418803418803419
lstm_attention,LSTM-Attention,2025,234,0.5381578947368422,0.5299145299145299,0.09939904010065857,0.8205128205128205
lstm_cnn_attention,LSTM-CNN-Attention,2025,234,0.5307017543859649,0.5213675213675214,0.08932757895907009,0.8632478632478633
pit_set50_crin,PIT-SET50-CRIN,2025,234,0.5276315789473685,0.5213675213675214,0.06325989947852169,0.7435897435897436
