worker,fit_seconds,inference_seconds,trainable_parameters,training_sequences,prediction_sequences,features,final_training_loss,phase,split,feature_mode,shap_seconds
cnn_trend,3.012813500012271,0.30917439999757335,2633,103,34,30,0.6399450302124023,worker_fit,crossfit_1,shap,
lstm_price,3.514366200004588,0.04816730000311509,3162,103,34,30,0.7293892502784729,worker_fit,crossfit_1,shap,
cnn_trend,2.7332955000019865,0.26035460000275634,9993,103,34,122,0.6196005940437317,worker_fit,crossfit_1,all_features,
lstm_price,3.4413215999957174,0.05041500000515953,9050,103,34,122,0.6310039162635803,worker_fit,crossfit_1,all_features,
cnn_trend,2.69022999999288,0.2795588000008138,2633,137,34,30,0.6409799456596375,worker_fit,crossfit_2,shap,
lstm_price,3.5893278000003193,0.04780120000941679,3162,137,34,30,0.7244282364845276,worker_fit,crossfit_2,shap,
cnn_trend,3.055060600003344,0.28885369999625254,9993,137,34,122,0.6146999001502991,worker_fit,crossfit_2,all_features,
lstm_price,3.985549799996079,0.05729720000817906,9050,137,34,122,0.6791089773178101,worker_fit,crossfit_2,all_features,
cnn_trend,3.0413867000024766,0.2523648000060348,2633,171,34,30,0.6362615823745728,worker_fit,crossfit_3,shap,
lstm_price,3.7253143999987515,0.045441700000083074,3162,171,34,30,0.7404800653457642,worker_fit,crossfit_3,shap,
cnn_trend,3.178717399991001,0.27602000000479165,9993,171,34,122,0.6222050189971924,worker_fit,crossfit_3,all_features,
lstm_price,3.659498299995903,0.0497934000013629,9050,171,34,122,0.5879600644111633,worker_fit,crossfit_3,all_features,
cnn_trend,2.9976481000048807,0.4110186999896541,2633,225,243,30,0.6665728688240051,worker_fit,final_train,shap,
lstm_price,4.082150600006571,0.05220320000080392,3162,225,243,30,0.7531547546386719,worker_fit,final_train,shap,
cnn_trend,3.4140947999985656,0.2830943000008119,9993,225,243,122,0.6355320811271667,worker_fit,final_train,all_features,
lstm_price,3.7945856000005733,0.05112089999602176,9050,225,243,122,0.6549128293991089,worker_fit,final_train,all_features,
debate_leader,3.214140900003258,0.02107869999599643,50,102,243,9,0.6807708740234375,leader_fit,oof_to_inner_validation,leader_no_disagreement_shap,0.0
debate_leader,2.856065200001467,0.015619600002537481,50,102,243,9,0.7491454482078552,leader_fit,oof_to_inner_validation,pit_tldn_all_features,0.0
debate_leader,3.0125678000040352,0.015708000006270595,50,102,243,9,0.707338809967041,leader_fit,oof_to_inner_validation,pit_tldn,0.0
