worker,fit_seconds,inference_seconds,trainable_parameters,training_sequences,prediction_sequences,features,final_training_loss,phase,split,shap_seconds,feature_mode
cnn_trend,3.5426816000108374,0.19777410000097007,9993,237,1,122,0.6547510623931885,shap_mask_fit,crossfit_1,1.4521316000027582,
lstm_price,3.7503007000050275,0.059404100000392646,9050,237,1,122,0.6121585965156555,shap_mask_fit,crossfit_1,0.9590592000022298,
cnn_trend,3.253455500002019,0.3060505000030389,2633,237,71,30,0.6684386730194092,worker_fit,crossfit_1,,shap
lstm_price,3.9906334999977844,0.050983500012080185,3162,237,71,30,0.735569953918457,worker_fit,crossfit_1,,shap
cnn_trend,3.472860599998967,0.3035493000061251,9993,237,71,122,0.6473164558410645,worker_fit,crossfit_1,,all_features
lstm_price,3.8106413000059547,0.04998959999647923,9050,237,71,122,0.6020252704620361,worker_fit,crossfit_1,,all_features
cnn_trend,3.4486567999992985,0.17391219999990426,9993,308,1,122,0.66325843334198,shap_mask_fit,crossfit_2,1.1890295000048354,
lstm_price,4.006640599996899,0.05620569999155123,9050,308,1,122,0.6763708591461182,shap_mask_fit,crossfit_2,0.9437673000065843,
cnn_trend,3.338536199997179,0.31871270001283847,2633,308,70,30,0.6565069556236267,worker_fit,crossfit_2,,shap
lstm_price,3.9497598000016296,0.05298389999370556,3162,308,70,30,0.6971608400344849,worker_fit,crossfit_2,,shap
cnn_trend,3.538287500006845,0.27229399999487214,9993,308,70,122,0.6475574970245361,worker_fit,crossfit_2,,all_features
lstm_price,4.1284439000010025,0.048182500002440065,9050,308,70,122,0.6818108558654785,worker_fit,crossfit_2,,all_features
cnn_trend,3.786909700007527,0.2073099999979604,9993,378,1,122,0.6571282148361206,shap_mask_fit,crossfit_3,1.3816882999963127,
lstm_price,4.13417489999847,0.054185999993933365,9050,378,1,122,0.5984276533126831,shap_mask_fit,crossfit_3,0.9564895999938017,
cnn_trend,3.556504699998186,0.34208220000436995,2633,378,70,30,0.6548123359680176,worker_fit,crossfit_3,,shap
lstm_price,3.9684883000008995,0.04676629998721182,3162,378,70,30,0.702663779258728,worker_fit,crossfit_3,,shap
cnn_trend,3.758922299995902,0.29442780000681523,9993,378,70,122,0.6630019545555115,worker_fit,crossfit_3,,all_features
lstm_price,4.340716699996847,0.054865999991307035,9050,378,70,122,0.6444268226623535,worker_fit,crossfit_3,,all_features
cnn_trend,4.050378899992211,0.19815630000084639,9993,468,1,122,0.6716222763061523,shap_mask_fit,final_train,1.3493648000003304,
lstm_price,4.484966199990595,0.05445460000191815,9050,468,1,122,0.6510714292526245,shap_mask_fit,final_train,0.9325805999978911,
cnn_trend,3.821850500011351,0.3234920999966562,2633,468,240,30,0.6592690348625183,worker_fit,final_train,,shap
lstm_price,4.278203800000483,0.04790289999800734,3162,468,240,30,0.709583580493927,worker_fit,final_train,,shap
cnn_trend,4.39283539999451,0.3258832999999868,9993,468,240,122,0.684188961982727,worker_fit,final_train,,all_features
lstm_price,4.4922416000044905,0.1031300999893574,9050,468,240,122,0.606487512588501,worker_fit,final_train,,all_features
debate_leader,3.3087888000009116,0.01809730000968557,50,211,240,9,0.7134560942649841,leader_fit,oof_to_inner_validation,0.0,leader_no_disagreement_shap
debate_leader,3.1148249999969266,0.023181900003692135,50,211,240,9,0.6943732500076294,leader_fit,oof_to_inner_validation,0.0,pit_tldn_all_features
debate_leader,3.272720599998138,0.01645940000889823,50,211,240,9,0.6885688900947571,leader_fit,oof_to_inner_validation,0.0,pit_tldn
