inner_fold,validation_year,variant,observations,balanced_accuracy,direction_accuracy,mcc,binary_crossentropy,brier_score
inner_2020,2020,cnn_trend_shap,243,0.5,0.48559670781893005,0.0,3.760434107368814,0.4767801939902197
inner_2020,2020,lstm_price_shap,243,0.5037627118644068,0.4897119341563786,0.034061260862237965,0.7482785514716064,0.27598006612473763
inner_2020,2020,simple_average_shap,243,0.5,0.48559670781893005,0.0,0.9378314829997897,0.3461525998630732
inner_2020,2020,leader_no_disagreement_shap,243,0.5,0.48559670781893005,0.0,1.1554265741976695,0.38608910601496593
inner_2020,2020,pit_tldn_all_features,243,0.5,0.48559670781893005,0.0,1.0402148921783205,0.362568407973905
inner_2020,2020,pit_tldn,243,0.5,0.48559670781893005,0.0,1.7011658124513613,0.4335200552574835
inner_2021,2021,cnn_trend_shap,240,0.5010452233293847,0.4791666666666667,0.0031550765282163944,0.7000709290874577,0.25344946680669245
inner_2021,2021,lstm_price_shap,240,0.5473834575987736,0.5375,0.1003443308799226,0.6919171430782806,0.24937565569020714
inner_2021,2021,simple_average_shap,240,0.503553759319908,0.4875,0.008495828510332872,0.6948347162112197,0.25083719641204555
inner_2021,2021,leader_no_disagreement_shap,240,0.5390913525189882,0.5375,0.07814731777695035,0.6949631096485033,0.25090413750643
inner_2021,2021,pit_tldn_all_features,240,0.4975959863424152,0.475,-0.007595149464154019,0.7075329096870523,0.25714240531486415
inner_2021,2021,pit_tldn,240,0.5399623719601422,0.525,0.0926524787179613,0.6932963795622358,0.25007249962258515
