inner_fold,validation_year,seed,variant,observations,balanced_accuracy,direction_accuracy,mcc,binary_crossentropy,brier_score
inner_2020,2020,123,cnn_trend_shap,243,0.5,0.48559670781893,0.0,4.567553182227434,0.4816734154847427
inner_2020,2020,123,lstm_price_shap,243,0.5225762711864407,0.5102880658436214,0.0861689314414581,0.7298327133609227,0.2676602729592975
inner_2020,2020,123,simple_average_shap,243,0.5,0.48559670781893,0.0,0.9167490398994214,0.3400951967428997
inner_2020,2020,123,leader_no_disagreement_shap,243,0.5,0.48559670781893,0.0,1.20541917103332,0.3949197075178873
inner_2020,2020,123,pit_tldn_all_features,243,0.4691186440677966,0.4609053497942387,-0.0752668969074986,0.8580235875545681,0.3147121509752388
inner_2020,2020,123,pit_tldn,243,0.5,0.48559670781893,0.0,2.079766620179541,0.4484558266452634
inner_2020,2020,2025,cnn_trend_shap,243,0.5,0.48559670781893,0.0,5.392624424602016,0.485647697305048
inner_2020,2020,2025,lstm_price_shap,243,0.4945762711864407,0.4814814814814814,-0.0260785618330491,0.7777212725063429,0.288438372743876
inner_2020,2020,2025,simple_average_shap,243,0.5,0.48559670781893,0.0,0.9861721622462472,0.3596084160193155
inner_2020,2020,2025,leader_no_disagreement_shap,243,0.5037627118644068,0.4897119341563786,0.0340612608622379,1.1713946200585783,0.3884146625241172
inner_2020,2020,2025,pit_tldn_all_features,243,0.5,0.48559670781893,0.0,2.13530286310808,0.4647019903474773
inner_2020,2020,2025,pit_tldn,243,0.5,0.48559670781893,0.0,4.673176226308495,0.4703342360044853
inner_2020,2020,42,cnn_trend_shap,243,0.5,0.48559670781893,0.0,4.628400496790873,0.4775013125125509
inner_2020,2020,42,lstm_price_shap,243,0.4724406779661017,0.4609053497942387,-0.0923351070778134,0.7905640272896668,0.2941873578450328
inner_2020,2020,42,simple_average_shap,243,0.5,0.48559670781893,0.0,0.9772503876916768,0.3573229027716786
inner_2020,2020,42,leader_no_disagreement_shap,243,0.5,0.48559670781893,0.0,2.456917265073272,0.4512185635360669
inner_2020,2020,42,pit_tldn_all_features,243,0.4789830508474576,0.4732510288065844,-0.0458257718512816,0.9428432540346482,0.339719309799602
inner_2020,2020,42,pit_tldn,243,0.5,0.48559670781893,0.0,1.3887398395029429,0.4065290325258042
inner_2020,2020,456,cnn_trend_shap,243,0.5,0.48559670781893,0.0,4.295762841522482,0.4618253699444956
inner_2020,2020,456,lstm_price_shap,243,0.4484067796610169,0.4403292181069959,-0.1248831679281242,0.7121358922652125,0.2593901059247116
