track,comparison_id,comparison_label,model,metric,control_label,treatment_label,control_value,treatment_value,delta,delta_unit,better_when,improved,improved_count_within_comparison_metric,raw_pvalue,holm_adjusted_pvalue,statistical_status,evidence_class,temporal_units,seeds,source_artifact,note
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm,balanced_accuracy,Full TA,Full TA + causal VMD,0.5349005021580684,0.531555221442086,-0.33452807159823905,percentage_points,higher,False,1,0.5,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm,direction_accuracy,Full TA,Full TA + causal VMD,0.5274854225506237,0.5244056334872281,-0.3079789063395566,percentage_points,higher,False,1,0.375,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm,rmse,Full TA,Full TA + causal VMD,13.75125655397304,13.260298388073437,-0.4909581658996025,index_points,lower,True,2,0.25,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,cnn,balanced_accuracy,Full TA,Full TA + causal VMD,0.5214195310143117,0.5184286848337295,-0.29908461805822073,percentage_points,higher,False,1,0.625,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,cnn,direction_accuracy,Full TA,Full TA + causal VMD,0.5245152835242254,0.5165429747434218,-0.7972308780803572,percentage_points,higher,False,1,0.25,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,cnn,rmse,Full TA,Full TA + causal VMD,26.960597616674153,22.47534048666678,-4.485257130007373,index_points,lower,True,2,0.125,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_cnn,balanced_accuracy,Full TA,Full TA + causal VMD,0.5207540986833427,0.5242991138023738,0.35450151190311585,percentage_points,higher,True,1,0.625,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_cnn,direction_accuracy,Full TA,Full TA + causal VMD,0.5136803456727078,0.5166712985639961,0.29909528912882566,percentage_points,higher,True,1,0.625,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_cnn,rmse,Full TA,Full TA + causal VMD,30.8978426278185,31.891833033740724,0.9939904059222258,index_points,lower,False,2,0.375,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_attention,balanced_accuracy,Full TA,Full TA + causal VMD,0.5250764094249141,0.5201219088032827,-0.4954500621631386,percentage_points,higher,False,1,0.75,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_attention,direction_accuracy,Full TA,Full TA + causal VMD,0.512761891093672,0.5065200873807431,-0.6241803712928928,percentage_points,higher,False,1,0.625,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_attention,rmse,Full TA,Full TA + causal VMD,24.581688313255505,41.827628094714846,17.24593978145934,index_points,lower,False,2,0.125,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_cnn_attention,balanced_accuracy,Full TA,Full TA + causal VMD,0.5158316537587853,0.5098316125678064,-0.6000041190978855,percentage_points,higher,False,1,0.375,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_cnn_attention,direction_accuracy,Full TA,Full TA + causal VMD,0.5030642027288823,0.49848798080541745,-0.45762219234648516,percentage_points,higher,False,1,0.625,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
A,track_a_vmd_vs_full_ta,Causal VMD versus Full TA,lstm_cnn_attention,rmse,Full TA,Full TA + causal VMD,45.74380661250379,47.288251731217166,1.5444451187133765,index_points,lower,False,2,0.875,,not_raw_significant,corrected_confirmatory_ablation_low_power,4,5,outputs/track_a_final_point_in_time_v2/paper_track_a_compact.csv,Window selected before 2022; boundary label purged in point-in-time v2.
