model,fold,test_year,balanced_accuracy_set100,direction_accuracy_set100,mcc_set100,roc_auc_set100,direction_coverage_set100,mape_set100,nrmse_percent_set100,nmae_percent_set100,balanced_accuracy_set50,direction_accuracy_set50,mcc_set50,roc_auc_set50,direction_coverage_set50,mape_set50,nrmse_percent_set50,nmae_percent_set50,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,roc_auc_delta,direction_coverage_delta_pp,mape_delta_pp,nrmse_percent_delta_pp,nmae_percent_delta_pp
lstm,fold_1,2022,0.5,0.46473029045643155,0.0,0.5600083056478405,1.0,2.023181472868897,2.2263174560913304,2.015929654916275,0.5554072096128171,0.5416666666666666,0.11352725932757449,0.5625043918206732,1.0,0.8698822317995223,1.1376940674911942,0.8668263916375768,-5.540720961281709,-7.693637621023508,-0.11352725932757449,-0.002496086172832701,0.0,1.1532992410693748,1.0886233886001362,1.1491032632786982
lstm,fold_2,2023,0.49375,0.4773662551440329,-0.015801086602516754,0.5236413043478261,1.0,1.3108696967437026,1.6293911519249704,1.3068311392411724,0.508703399122807,0.5041322314049587,0.01759592906029163,0.5452302631578947,1.0,1.0097458328891504,1.2521731908739386,1.0067551135438348,-1.495339912280702,-2.6765976260925752,-0.03339701566280838,-0.021588958810068615,0.0,0.30112386385455214,0.3772179610510318,0.3000760256973376
lstm,fold_3,2024,0.5071596638655462,0.5,0.01760302775302092,0.5381512605042017,1.0,1.1160214475890684,1.368497650776692,1.1078551048369,0.5090181035062925,0.4959016393442623,0.02343681903101102,0.5023891244363685,1.0,1.0105664201958153,1.2538175527891866,1.0044032894328345,-0.1858439640746279,0.40983606557377095,-0.005833791277990101,0.03576213606783318,0.0,0.10545502739325308,0.11468009798750534,0.10345181540406556
lstm,fold_4,2025,0.5641025641025641,0.5641025641025641,0.13204204888361287,0.55789319891884,1.0,1.9003814687435554,2.356540654649646,1.8473640045792832,0.5517543859649123,0.5512820512820513,0.10353526460484141,0.5796783625730995,1.0,1.4715922697535644,1.83233410857696,1.4378322508986734,1.2348178137651766,1.2820512820512775,0.028506784278771458,-0.02178516365425942,0.0,0.428789198989991,0.5242065460726859,0.4095317536806098
cnn,fold_1,2022,0.4887527685492802,0.5062240663900415,-0.025803482564845902,0.5120431893687707,1.0,1.8021753163836935,2.1898136647913016,1.8021747493105427,0.499754058042302,0.5083333333333333,-0.0004952360416314818,0.4901271871266953,1.0,1.513309432391075,1.9127788851108547,1.5115546807193383,-1.1001289493021815,-0.2109266943291832,-0.02530824652321442,0.021916002242075405,0.0,0.2888658839926186,0.2770347796804469,0.2906200685912044
cnn,fold_2,2023,0.5185122282608696,0.5020576131687243,0.046802131512889304,0.5596467391304347,1.0,2.0563389159641874,2.464123583165578,2.0225362343448388,0.5385827850877193,0.5413223140495868,0.0774179933886195,0.5711348684210527,1.0,1.5114926992354392,1.8456949686010526,1.5119930855634198,-2.007055682684966,-3.9264700880862424,-0.030615861875730198,-0.011488129290617932,0.0,0.5448462167287482,0.6184286145645252,0.5105431487814189
cnn,fold_3,2024,0.5211428571428571,0.5163934426229508,0.04580872184312214,0.5250420168067228,1.0,1.6374181490882438,2.0851615810160644,1.6108429921855194,0.5291405881957063,0.5122950819672131,0.10165652809401098,0.5309240191129955,1.0,2.2220217353627514,2.6213313230917175,2.1802474226460014,-0.7997731052849177,0.4098360655737765,-0.05584780625088884,-0.005882002306272671,0.0,-0.5846035862745076,-0.536169742075653,-0.569404430460482
cnn,fold_4,2025,0.5470085470085471,0.5470085470085471,0.10146548066977612,0.5652713857842063,1.0,2.400110708610133,2.98226455548307,2.3255461708343024,0.5557017543859649,0.5512820512820513,0.11850774369052149,0.5733187134502924,1.0,2.47176274363586,3.0777733976922397,2.3859947133390778,-0.8693207377417855,-0.42735042735042583,-0.017042263020745366,-0.008047327666086068,0.0,-0.07165203502572703,-0.09550884220916966,-0.06044854250477538
lstm_cnn,fold_1,2022,0.4948089700996678,0.4730290456431535,-0.013176230118850022,0.5068521594684385,1.0,2.2145953274383743,2.870999232315585,2.21040920332501,0.4833813505726934,0.475,-0.033463806813098705,0.48401377274963114,1.0,1.7541245387603825,2.2903860906274898,1.750703646809272,1.1427619526974409,-0.1970954356846466,0.02028757669424868,0.02283838671880739,0.0,0.46047078867799174,0.5806131416880951,0.45970555651573797
lstm_cnn,fold_2,2023,0.4906589673913043,0.4773662551440329,-0.021511870625406666,0.5389945652173913,1.0,2.223279464602161,2.826455009477799,2.2056457357677197,0.5458470394736843,0.5454545454545454,0.09154363737115015,0.5497532894736843,1.0,1.9017103586124322,2.3477713845517294,1.8940127339553015,-5.518807208237996,-6.80882903105125,-0.11305550799655681,-0.010758724256292984,0.0,0.32156910598972877,0.47868362492606975,0.31163300181241826
