model,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,favourable_direction
lstm,balanced_accuracy_delta_pp,4,-1.4967717559679656,2.9173984117341734,-6.139003654199954,3.1454601422640236,1,3,0,0.375,positive_favours_set100
lstm,direction_accuracy_delta_pp,4,-2.1695869748727588,4.055425387467053,-8.622673745221894,4.283499795476377,2,2,0,0.5,positive_favours_set100
lstm,mcc_delta,4,-0.031062820497400376,0.060527883015981186,-0.1273761893328273,0.06525054833802653,1,3,0,0.375,positive_favours_set100
lstm,roc_auc_delta,4,-0.0025270181423318883,0.027081937630675717,-0.04562042431866576,0.040566388034001984,1,3,0,0.875,positive_favours_set100
lstm,direction_coverage_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,positive_favours_set100
lstm,mape_delta_pp,4,0.49716683282679275,0.4571856742268522,-0.23031759705915056,1.2246512627127362,4,0,0,0.125,negative_favours_set100
lstm,nrmse_percent_delta_pp,4,0.5261819984278397,0.4114479790076986,-0.12852355187690967,1.1808875487325892,4,0,0,0.125,negative_favours_set100
lstm,nmae_percent_delta_pp,4,0.4905407145151778,0.4569397100533542,-0.23655233148317512,1.2176337605135306,4,0,0,0.125,negative_favours_set100
cnn,balanced_accuracy_delta_pp,4,-1.1940696187534627,0.5569867639886309,-2.080359853327236,-0.3077793841796893,0,4,0,0.125,positive_favours_set100
cnn,direction_accuracy_delta_pp,4,-1.0387277860480189,1.957586077918868,-4.153684076521882,2.076228504425844,1,3,0,0.375,positive_favours_set100
cnn,mcc_delta,4,-0.032203544417644704,0.016723052354378033,-0.058813652506772895,-0.005593436328516513,0,4,0,0.125,positive_favours_set100
cnn,roc_auc_delta,4,-0.0008753642552253166,0.015368589745014065,-0.02533022008094586,0.02357949157049523,1,3,0,1.0,positive_favours_set100
cnn,direction_coverage_delta_pp,4,0.0,0.0,0.0,0.0,0,0,4,1.0,positive_favours_set100
cnn,mape_delta_pp,4,0.044364119855283046,0.48966776679182356,-0.7348065677662985,0.8235348074768647,2,2,0,1.0,negative_favours_set100
cnn,nrmse_percent_delta_pp,4,0.06594620249003735,0.4961204642795847,-0.7234921667710638,0.8553845717511385,2,2,0,0.875,negative_favours_set100
cnn,nmae_percent_delta_pp,4,0.042827561101841494,0.47104598600520664,-0.706711717788654,0.792366839992337,2,2,0,1.0,negative_favours_set100
