protocol_id,market,stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds,training_sequences,feature_count,roc_auc,nrmse_percent,nmae_percent,fit_seconds,inference_seconds,total_model_seconds,trainable_parameters
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,42,fold_1,2012.0,2021.0,2022,2358,241,23.50314112204354,19.52815611328823,1.9870611382930417,-0.1151694020553966,0.5166666666666667,0.4807813927341718,-0.0507634523812258,1.0,240,1,0,16,91,25,108,0.8291666666666667,5.975691100000404,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,123,fold_1,2012.0,2021.0,2022,2358,241,20.86540893957008,16.38384492832595,1.6662675240330624,0.1210931891784373,0.475,0.4779003583725669,-0.0440141028444622,1.0,240,1,0,54,53,73,60,0.4708333333333333,6.048552200001723,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,456,fold_1,2012.0,2021.0,2022,2358,241,18.039757147809905,14.448801536896408,1.4680432593691284,0.3430226428951338,0.4791666666666667,0.498102733469187,-0.0040269036808461,1.0,240,1,0,72,35,90,43,0.325,6.3064105000012205,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,789,fold_1,2012.0,2021.0,2022,2358,241,17.939757709026022,14.230606978503491,1.448142030205655,0.3502860752121016,0.475,0.4760733609725247,-0.0475865167094616,1.0,240,1,0,52,55,71,62,0.4875,5.922837300000538,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,2025,fold_1,2012.0,2021.0,2022,2358,241,23.457568851524144,18.880415851822544,1.923478973452952,-0.1108489981586864,0.5041666666666667,0.4695031972454501,-0.078351558939523,1.0,240,1,0,16,91,28,105,0.8166666666666667,5.9851797000010265,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,42,fold_2,2012.0,2022.0,2023,2599,243,18.105056779679032,14.692364034358365,1.5699353235635698,0.8344269900405147,0.5495867768595041,0.5435169956140351,0.088966363766439,1.0,242,1,0,83,45,64,50,0.3925619834710744,6.361904899997171,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,123,fold_2,2012.0,2022.0,2023,2599,243,20.949448192111007,17.006885844552457,1.8069576538732104,0.7783156994612794,0.5289256198347108,0.5153508771929824,0.0347472641152221,1.0,242,1,0,96,32,82,32,0.2644628099173554,6.350642899997183,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,456,fold_2,2012.0,2022.0,2023,2599,243,23.41937810825975,19.02463802198325,2.095105059336963,0.722961275923619,0.512396694214876,0.5256304824561404,0.0574534199838117,1.0,242,1,0,38,90,28,86,0.7272727272727273,6.358963499995298,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,789,fold_2,2012.0,2022.0,2023,2599,243,16.984368148149546,14.04219317650108,1.5050417125194495,0.8542902706857084,0.5289256198347108,0.5239857456140351,0.0486291252348019,1.0,242,1,0,78,50,64,50,0.4132231404958678,6.282117599999765,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,2025,fold_2,2012.0,2022.0,2023,2599,243,18.249248683528,15.039169916910398,1.6112213039873682,0.831779182042184,0.5330578512396694,0.526452850877193,0.0542906800073093,1.0,242,1,0,82,46,67,47,0.384297520661157,6.214561100001447,,,,,,,,,
