market,model,cells,runtime_measurement,total_model_seconds,mean_model_seconds,std_model_seconds,p95_model_seconds,mean_fit_seconds,mean_inference_seconds,trainable_parameters
SET50,cnn,20,runtime_seconds,131.40464569999313,6.570232284999657,0.4508126951901683,7.241973285001222,,,
SET50,lstm,20,runtime_seconds,154.1731807999895,7.708659039999475,0.4576373788893169,8.263835759995345,,,
SET50,lstm_attention,20,runtime_seconds,310.9899053999907,15.549495269999534,1.2828667419698545,17.32153496500505,,,
SET50,lstm_cnn,20,runtime_seconds,290.9473017000055,14.547365085000274,1.1441683021738505,16.37707677999606,,,
SET50,lstm_cnn_attention,20,runtime_seconds,392.8654747999899,19.643273739999493,1.6986033580127338,22.417879389996596,,,
SET100,cnn,20,total_model_seconds,120.1465206999892,6.00732603499946,0.5524303936494488,6.728856834998806,5.841770150000047,0.16555588499941223,12017.0
SET100,lstm,20,total_model_seconds,123.10584139999264,6.155292069999632,0.40599549252788714,6.932494854998185,5.83400200499982,0.3212900649998119,9041.0
SET100,lstm_attention,20,total_model_seconds,196.3080485999817,9.815402429999086,0.7478328562536956,11.00339790999933,9.394546789999731,0.42085563999935405,10129.0
SET100,lstm_cnn,20,total_model_seconds,217.49233410001034,10.874616705000516,0.8602600011190645,12.01997463500138,10.521773335000034,0.35284337000048255,10737.0
SET100,lstm_cnn_attention,20,total_model_seconds,286.9837817999978,14.349189089999891,1.149294009343574,15.817905024998254,13.885998850000032,0.46319023999985803,12865.0
