variant,validation_year,observations,balanced_accuracy,direction_accuracy,mcc,rmse,mae,turning_accuracy
lstm_anchor,2020,243,0.5152881355932203,0.5020576131687243,0.07693121141471738,18.414589360986383,12.15111293363571,0.5311203319502075
cnn_residual,2020,243,0.4884067796610169,0.48148148148148145,-0.0264437820242904,20.155131254489227,14.058769787359628,0.5269709543568465
latent_turn_gate,2020,243,0.4665084745762712,0.4609053497942387,-0.07274476115055381,19.728861748157048,13.545892015503275,0.5394190871369294
supervised_turn_gate,2020,243,0.49383050847457627,0.48559670781893005,-0.015036855364615536,19.30431833090504,13.007297181640636,0.5186721991701245
tcrc_full,2020,243,0.4813559322033898,0.4732510288065844,-0.04512860864682546,18.775312937000272,12.450389444751504,0.4605809128630705
lstm_anchor,2021,240,0.5026478991011079,0.49583333333333335,0.0054368548509609515,9.51162176618748,7.289488640558216,0.525
cnn_residual,2021,240,0.5267577172322486,0.5208333333333334,0.05452595430134231,11.277942859798952,8.784372957000139,0.525
latent_turn_gate,2021,240,0.5164448470489862,0.5125,0.033129493221942585,10.79973410798509,8.36099506836533,0.525
supervised_turn_gate,2021,240,0.5154693052748938,0.5125,0.03104152468060723,10.715642546693116,8.277116740215815,0.525
tcrc_full,2021,240,0.5228207093582329,0.5166666666666667,0.046585891837319246,10.20231056494804,7.944301877513525,0.55
