stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
outer_test,lstm,full_ta,5,42,fold_1,2012,2021,2022,2359,241,12.01117945525404,9.545360351360674,0.9720308824999292,0.7087537517603948,0.5311203319502075,7.109916799992789
outer_test,lstm,full_ta,5,42,fold_2,2012,2022,2023,2600,243,16.594678999686998,13.923584586583054,1.505037233310112,0.8608998899311856,0.5432098765432098,7.25300160003826
outer_test,lstm,full_ta,5,42,fold_3,2012,2023,2024,2843,244,13.862761783457016,11.221581709257904,1.293986759376629,0.9009008446863682,0.4918032786885246,7.536153800028842
outer_test,lstm,full_ta,5,42,fold_4,2012,2024,2025,3087,234,13.444564610904804,10.907205981551062,1.3687130197732853,0.9302230161004532,0.5555555555555556,7.878295500006061
outer_test,lstm,full_ta,5,123,fold_1,2012,2021,2022,2359,241,11.624007735506906,8.70409847922345,0.8894815032894972,0.7272273588317673,0.5684647302904564,6.836971900018398
outer_test,lstm,full_ta,5,123,fold_2,2012,2022,2023,2600,243,13.22716462461026,10.507666562810346,1.1296558754639396,0.9116262509777872,0.5308641975308642,7.216033899981994
outer_test,lstm,full_ta,5,123,fold_3,2012,2023,2024,2843,244,15.321086336174574,12.61472617401454,1.4754538962323045,0.8789542483318256,0.4795081967213114,7.56971029995475
outer_test,lstm,full_ta,5,123,fold_4,2012,2024,2025,3087,234,16.892701172818782,13.820469637994586,1.7505188487174443,0.88984178064287,0.5555555555555556,8.50492940004915
outer_test,lstm,full_ta,5,456,fold_1,2012,2021,2022,2359,241,13.322162307327751,10.032365975597584,1.0251263611428858,0.6417068797199856,0.5352697095435685,6.925177900004201
outer_test,lstm,full_ta,5,456,fold_2,2012,2022,2023,2600,243,12.115756881966242,9.59360659632663,1.0354085989122856,0.9258534647815416,0.5802469135802469,7.200040199968498
outer_test,lstm,full_ta,5,456,fold_3,2012,2023,2024,2843,244,12.480209491423397,10.010368202651158,1.1668895280812082,0.9196817601011348,0.4959016393442623,7.634196900005918
outer_test,lstm,full_ta,5,456,fold_4,2012,2024,2025,3087,234,24.891129199540632,17.699226990759886,2.313738480012101,0.7608293377047944,0.5341880341880342,8.07179100002395
outer_test,lstm,full_ta,5,789,fold_1,2012,2021,2022,2359,241,10.151275048906957,8.14851729943049,0.8274961050377119,0.7919679644648806,0.5145228215767634,7.288444800011348
outer_test,lstm,full_ta,5,789,fold_2,2012,2022,2023,2600,243,12.975786704264022,10.616574716823102,1.144522427874756,0.9149533605267212,0.5102880658436214,7.282579999999143
outer_test,lstm,full_ta,5,789,fold_3,2012,2023,2024,2843,244,12.9679066248049,10.61721555179262,1.2349621578815475,0.9132818146481834,0.4836065573770491,7.6010327999829315
outer_test,lstm,full_ta,5,789,fold_4,2012,2024,2025,3087,234,13.80965263580159,10.826313717181856,1.3579237100223482,0.9263819656672856,0.5213675213675214,8.020370999991428
outer_test,lstm,full_ta,5,2025,fold_1,2012,2021,2022,2359,241,10.138048632446758,8.10906777102918,0.8250446975773815,0.7925097143053265,0.5518672199170125,7.0091822000104
outer_test,lstm,full_ta,5,2025,fold_2,2012,2022,2023,2600,243,13.508230249878476,11.191817371148652,1.2185768805933093,0.9078306189855824,0.4691358024691358,7.285654200008139
outer_test,lstm,full_ta,5,2025,fold_3,2012,2023,2024,2843,244,12.71796460772956,10.451642370937329,1.2268048462556798,0.9165923940093936,0.5163934426229508,7.53331549995346
outer_test,lstm,full_ta,5,2025,fold_4,2012,2024,2025,3087,234,15.155801563888168,11.94956476676413,1.5043916685340668,0.911330036680861,0.5427350427350427,8.011253000004217
outer_test,lstm,full_ta_vmd,5,42,fold_1,2012,2021,2022,2359,241,12.340595788931523,9.435126038329722,0.9632439233989512,0.6925593546613024,0.5103734439834025,7.197607800015248
outer_test,lstm,full_ta_vmd,5,42,fold_2,2012,2022,2023,2600,243,13.036465880900211,10.681003321011865,1.1491830165576542,0.9141560868907128,0.4732510288065844,7.312948700040579
outer_test,lstm,full_ta_vmd,5,42,fold_3,2012,2023,2024,2843,244,10.659171545965982,8.521346590216046,0.9913725059873276,0.9414108314007712,0.4631147540983606,7.765309000038542
outer_test,lstm,full_ta_vmd,5,42,fold_4,2012,2024,2025,3087,234,14.005020300222377,11.343325078456823,1.430004361422328,0.9242842561420684,0.5213675213675214,8.051995300047565
outer_test,lstm,full_ta_vmd,5,123,fold_1,2012,2021,2022,2359,241,10.469547084021045,8.102469177542877,0.8255691049976538,0.7787186476314109,0.5684647302904564,7.247531400003936
outer_test,lstm,full_ta_vmd,5,123,fold_2,2012,2022,2023,2600,243,14.328635017235742,11.953912173946224,1.292802520926139,0.8962950700888588,0.5061728395061729,7.299507799965795
outer_test,lstm,full_ta_vmd,5,123,fold_3,2012,2023,2024,2843,244,17.762433123168613,14.755176450092312,1.7352158524286585,0.8373045739790788,0.5,7.595870700024534
outer_test,lstm,full_ta_vmd,5,123,fold_4,2012,2024,2025,3087,234,15.357777022375569,12.275796723169648,1.5513351385906378,0.9089509489641822,0.5555555555555556,8.033706500020344
outer_test,lstm,full_ta_vmd,5,456,fold_1,2012,2021,2022,2359,241,11.965499857150444,9.065743926946558,0.9261206969470256,0.7109648107893025,0.5477178423236515,6.918601299985312
outer_test,lstm,full_ta_vmd,5,456,fold_2,2012,2022,2023,2600,243,12.072925134774342,9.342972189075164,1.009344199084365,0.9263767852933203,0.5720164609053497,7.925889299949631
outer_test,lstm,full_ta_vmd,5,456,fold_3,2012,2023,2024,2843,244,10.393593344201353,8.41752945060614,0.9748728009153138,0.9442940130045856,0.4877049180327868,7.7295651999884285
outer_test,lstm,full_ta_vmd,5,456,fold_4,2012,2024,2025,3087,234,18.13570137585353,13.58153913388906,1.7703276889851751,0.8730340051036873,0.5555555555555556,8.56711709999945
outer_test,lstm,full_ta_vmd,5,789,fold_1,2012,2021,2022,2359,241,13.550966229916904,10.22847398004096,1.0430615201357296,0.6292940521266303,0.5103734439834025,7.0939373999717645
outer_test,lstm,full_ta_vmd,5,789,fold_2,2012,2022,2023,2600,243,15.633414102448086,12.44816427334838,1.3622076456610348,0.8765482004158331,0.5061728395061729,7.362310800002888
outer_test,lstm,full_ta_vmd,5,789,fold_3,2012,2023,2024,2843,244,10.909812025277322,8.70387587343084,1.0091087114276645,0.9386230974518872,0.5163934426229508,7.62321469996823
outer_test,lstm,full_ta_vmd,5,789,fold_4,2012,2024,2025,3087,234,14.471711682106225,11.68874592876333,1.4919182583614123,0.9191540048680844,0.5128205128205128,8.242280400008895
outer_test,lstm,full_ta_vmd,5,2025,fold_1,2012,2021,2022,2359,241,10.20236824270174,8.060230267037992,0.8214091800929926,0.789868569079845,0.5103734439834025,6.931747299968265
outer_test,lstm,full_ta_vmd,5,2025,fold_2,2012,2022,2023,2600,243,12.093517471482906,9.434146994994988,1.0184128434866084,0.9261254183768126,0.5390946502057613,7.796478800009936
outer_test,lstm,full_ta_vmd,5,2025,fold_3,2012,2023,2024,2843,244,12.74318997846716,10.263709181566732,1.1986723983456542,0.9162611972464848,0.5163934426229508,7.763658899988513
outer_test,lstm,full_ta_vmd,5,2025,fold_4,2012,2024,2025,3087,234,14.749437109609495,11.391773102721606,1.4595972115330014,0.9160212123159126,0.5341880341880342,8.177587100013625
outer_test,cnn,full_ta,5,42,fold_1,2012,2021,2022,2359,241,17.89007269251085,15.584211307818446,1.5841377618684382,0.3538799191931184,0.4564315352697095,5.588414300000295
outer_test,cnn,full_ta,5,42,fold_2,2012,2022,2023,2600,243,17.37479354299551,14.503953710760122,1.575304805660906,0.8475143177786669,0.5185185185185185,5.819209600042086
outer_test,cnn,full_ta,5,42,fold_3,2012,2023,2024,2843,244,12.470351768398436,9.626341240396265,1.1170420535527228,0.9198085916695004,0.5450819672131147,6.068297700025141
outer_test,cnn,full_ta,5,42,fold_4,2012,2024,2025,3087,234,24.226478276979837,19.63446001303505,2.5438989357400787,0.7734316292953316,0.5256410256410257,6.394064200052526
outer_test,cnn,full_ta,5,123,fold_1,2012,2021,2022,2359,241,19.25957152198119,16.301983069621688,1.6656253939589576,0.2511716637665897,0.5269709543568465,5.660947200027295
outer_test,cnn,full_ta,5,123,fold_2,2012,2022,2023,2600,243,13.657994068313974,10.95903971114768,1.1852592284429813,0.9057755521603612,0.5185185185185185,5.761443399998825
outer_test,cnn,full_ta,5,123,fold_3,2012,2023,2024,2843,244,16.72876314449258,13.763237318504077,1.6105181107380744,0.8556894452073784,0.5081967213114754,6.220908000017516
outer_test,cnn,full_ta,5,123,fold_4,2012,2024,2025,3087,234,30.10562213319336,24.6414735861314,3.1936488032711075,0.6501241869433648,0.5341880341880342,7.0570128000108525
outer_test,cnn,full_ta,5,456,fold_1,2012,2021,2022,2359,241,27.47771282151421,25.018479624309,2.547905473617881,-0.5242288895180054,0.5518672199170125,5.4663736000075005
outer_test,cnn,full_ta,5,456,fold_2,2012,2022,2023,2600,243,13.19676863685264,10.76411979431968,1.1539330844675912,0.912031949556574,0.5473251028806584,5.764788599975873
outer_test,cnn,full_ta,5,456,fold_3,2012,2023,2024,2843,244,14.462233109876962,11.79490656223456,1.37855028899025,0.8921447855280206,0.5,6.13435720000416
outer_test,cnn,full_ta,5,456,fold_4,2012,2024,2025,3087,234,30.047728822439574,24.138461746425747,3.147560380873278,0.6514685201300573,0.5384615384615384,6.539997400017455
outer_test,cnn,full_ta,5,789,fold_1,2012,2021,2022,2359,241,30.749386179605008,26.952896361370808,2.733669230430492,-0.908806608205602,0.5518672199170125,5.480129999981728
outer_test,cnn,full_ta,5,789,fold_2,2012,2022,2023,2600,243,11.586434539947488,9.737718098467768,1.0488154303014563,0.9321906804632256,0.51440329218107,5.848377700021956
outer_test,cnn,full_ta,5,789,fold_3,2012,2023,2024,2843,244,14.980148274576685,12.035634368462668,1.4153289037717642,0.8842815371610162,0.5450819672131147,6.103106299997307
outer_test,cnn,full_ta,5,789,fold_4,2012,2024,2025,3087,234,28.265495160533973,21.296928114544663,2.781498045134088,0.6915875482048215,0.5213675213675214,6.540103000006639
outer_test,cnn,full_ta,5,2025,fold_1,2012,2021,2022,2359,241,12.202383222435618,9.556689833189932,0.9724344353865028,0.6994073559874798,0.4730290456431535,5.462810700002592
outer_test,cnn,full_ta,5,2025,fold_2,2012,2022,2023,2600,243,15.195443256828176,12.888690659165874,1.3802199798745314,0.883368326314464,0.5473251028806584,6.446509699977469
outer_test,cnn,full_ta,5,2025,fold_3,2012,2023,2024,2843,244,16.637623423038374,13.659234383438474,1.6021458733574436,0.8572575941366108,0.5409836065573771,6.30159679998178
outer_test,cnn,full_ta,5,2025,fold_4,2012,2024,2025,3087,234,18.83766916551778,14.639360737744571,1.8753320767253332,0.8630149922006142,0.5470085470085471,6.445307000016328
outer_test,cnn,full_ta_vmd,5,42,fold_1,2012,2021,2022,2359,241,15.07680237400458,12.490568854917614,1.2644879843777803,0.5411111424437038,0.4439834024896265,5.877896799996961
outer_test,cnn,full_ta_vmd,5,42,fold_2,2012,2022,2023,2600,243,13.427163894008643,11.15663539380204,1.20510709549579,0.9089335637091704,0.5185185185185185,5.7747434000484645
outer_test,cnn,full_ta_vmd,5,42,fold_3,2012,2023,2024,2843,244,10.742615543038694,8.400533116205805,0.9770652200605324,0.9404899248329844,0.5081967213114754,6.0647586999693885
outer_test,cnn,full_ta_vmd,5,42,fold_4,2012,2024,2025,3087,234,14.43652323004939,10.892210165007503,1.394631341899381,0.9195466863721936,0.5042735042735043,6.511911099951249
outer_test,cnn,full_ta_vmd,5,123,fold_1,2012,2021,2022,2359,241,11.523039700061023,8.872028472651097,0.9055386828195776,0.7319454739823064,0.5477178423236515,5.697749899991322
outer_test,cnn,full_ta_vmd,5,123,fold_2,2012,2022,2023,2600,243,14.881316263791692,11.957463377768132,1.301816278216528,0.8881406079116531,0.5102880658436214,5.940127499983646
outer_test,cnn,full_ta_vmd,5,123,fold_3,2012,2023,2024,2843,244,14.928874824072768,11.701206820362918,1.3684223334378525,0.8850723345100786,0.5122950819672131,6.302018099988345
outer_test,cnn,full_ta_vmd,5,123,fold_4,2012,2024,2025,3087,234,23.89585951310387,19.125754273167058,2.4778546924210483,0.7795733904476029,0.5256410256410257,6.880930099985562
outer_test,cnn,full_ta_vmd,5,456,fold_1,2012,2021,2022,2359,241,24.15257191181567,21.604551504301348,2.19491202292656,-0.1776488056145662,0.5518672199170125,5.756365999986883
outer_test,cnn,full_ta_vmd,5,456,fold_2,2012,2022,2023,2600,243,22.09026372357761,18.95209423912898,2.057746406005161,0.75351439392969,0.4938271604938271,5.837612200004514
outer_test,cnn,full_ta_vmd,5,456,fold_3,2012,2023,2024,2843,244,13.36341606471303,10.737603849973851,1.2567106289303138,0.9079114971688076,0.5081967213114754,6.183054699969944
outer_test,cnn,full_ta_vmd,5,456,fold_4,2012,2024,2025,3087,234,22.227159710475565,17.43424091332491,2.2357384276156997,0.8092842113338174,0.5512820512820513,6.532388999999967
outer_test,cnn,full_ta_vmd,5,789,fold_1,2012,2021,2022,2359,241,19.99121130581381,17.989428015665375,1.82258547719382,0.1931974771911737,0.4522821576763485,5.545104500022717
outer_test,cnn,full_ta_vmd,5,789,fold_2,2012,2022,2023,2600,243,12.40041102708947,9.9147614124675,1.0714757229827052,0.9223284587769836,0.5061728395061729,6.000118599971756
outer_test,cnn,full_ta_vmd,5,789,fold_3,2012,2023,2024,2843,244,11.670619948435975,8.940973744783248,1.038322872026234,0.929764240182426,0.5245901639344263,6.188904100039508
outer_test,cnn,full_ta_vmd,5,789,fold_4,2012,2024,2025,3087,234,17.02955622760302,12.807404590238894,1.65777192703612,0.8880496721577056,0.5641025641025641,6.552980900043622
