model,seed,fold,test_year,sequence_window,rmse_full_ta,mae_full_ta,mape_full_ta,r2_full_ta,direction_accuracy_full_ta,runtime_seconds_full_ta,rmse_full_ta_vmd,mae_full_ta_vmd,mape_full_ta_vmd,r2_full_ta_vmd,direction_accuracy_full_ta_vmd,runtime_seconds_full_ta_vmd,rmse_delta_vmd_minus_full_ta,mae_delta_vmd_minus_full_ta,mape_delta_vmd_minus_full_ta,r2_delta_vmd_minus_full_ta,runtime_seconds_delta_vmd_minus_full_ta,direction_accuracy_delta_pp
lstm,42,fold_1,2022,5,12.01117945525404,9.545360351360674,0.9720308824999292,0.7087537517603948,0.5311203319502075,7.109916799992789,12.340595788931523,9.435126038329722,0.9632439233989512,0.6925593546613024,0.5103734439834025,7.197607800015248,0.329416333677484,-0.11023431303095244,-0.008786959100978042,-0.016194397099092428,0.08769100002245978,-2.0746887966805017
lstm,42,fold_2,2023,5,16.594678999686998,13.923584586583054,1.505037233310112,0.8608998899311856,0.5432098765432098,7.25300160003826,13.036465880900211,10.681003321011865,1.1491830165576542,0.9141560868907128,0.4732510288065844,7.312948700040579,-3.558213118786787,-3.2425812655711894,-0.3558542167524579,0.05325619695952721,0.05994710000231862,-6.995884773662548
lstm,42,fold_3,2024,5,13.862761783457016,11.221581709257904,1.293986759376629,0.9009008446863682,0.4918032786885246,7.536153800028842,10.659171545965982,8.521346590216046,0.9913725059873276,0.9414108314007712,0.4631147540983606,7.765309000038542,-3.203590237491033,-2.7002351190418583,-0.30261425338930137,0.04050998671440298,0.2291552000096999,-2.868852459016397
lstm,42,fold_4,2025,5,13.444564610904804,10.907205981551062,1.3687130197732853,0.9302230161004532,0.5555555555555556,7.878295500006061,14.005020300222377,11.343325078456823,1.430004361422328,0.9242842561420684,0.5213675213675214,8.051995300047565,0.560455689317573,0.43611909690576134,0.0612913416490426,-0.005938759958384776,0.1736998000415042,-3.4188034188034178
lstm,123,fold_1,2022,5,11.624007735506906,8.70409847922345,0.8894815032894972,0.7272273588317673,0.5684647302904564,6.836971900018398,10.469547084021045,8.102469177542877,0.8255691049976538,0.7787186476314109,0.5684647302904564,7.247531400003936,-1.154460651485861,-0.6016293016805729,-0.06391239829184336,0.0514912887996436,0.4105594999855384,0.0
lstm,123,fold_2,2023,5,13.22716462461026,10.507666562810346,1.1296558754639396,0.9116262509777872,0.5308641975308642,7.216033899981994,14.328635017235742,11.953912173946224,1.292802520926139,0.8962950700888588,0.5061728395061729,7.299507799965795,1.1014703926254814,1.4462456111358772,0.16314664546219926,-0.015331180888928375,0.08347389998380095,-2.4691358024691357
lstm,123,fold_3,2024,5,15.321086336174574,12.61472617401454,1.4754538962323045,0.8789542483318256,0.4795081967213114,7.56971029995475,17.762433123168613,14.755176450092312,1.7352158524286585,0.8373045739790788,0.5,7.595870700024534,2.441346786994039,2.1404502760777717,0.259761956196354,-0.0416496743527468,0.026160400069784373,2.0491803278688603
lstm,123,fold_4,2025,5,16.892701172818782,13.820469637994586,1.7505188487174443,0.88984178064287,0.5555555555555556,8.50492940004915,15.357777022375569,12.275796723169648,1.5513351385906378,0.9089509489641822,0.5555555555555556,8.033706500020344,-1.5349241504432136,-1.5446729148249378,-0.19918371012680658,0.019109168321312153,-0.4712229000288062,0.0
lstm,456,fold_1,2022,5,13.322162307327751,10.032365975597584,1.0251263611428858,0.6417068797199856,0.5352697095435685,6.925177900004201,11.965499857150444,9.065743926946558,0.9261206969470256,0.7109648107893025,0.5477178423236515,6.918601299985312,-1.356662450177307,-0.9666220486510255,-0.09900566419586021,0.06925793106931688,-0.006576600018888712,1.2448132780083054
lstm,456,fold_2,2023,5,12.115756881966242,9.59360659632663,1.0354085989122856,0.9258534647815416,0.5802469135802469,7.200040199968498,12.072925134774342,9.342972189075164,1.009344199084365,0.9263767852933203,0.5720164609053497,7.925889299949631,-0.04283174719189908,-0.25063440725146613,-0.026064399827920637,0.0005233205117787243,0.7258490999811329,-0.8230452674897193
lstm,456,fold_3,2024,5,12.480209491423397,10.010368202651158,1.1668895280812082,0.9196817601011348,0.4959016393442623,7.634196900005918,10.393593344201353,8.41752945060614,0.9748728009153138,0.9442940130045856,0.4877049180327868,7.7295651999884285,-2.0866161472220437,-1.592838752045017,-0.19201672716589435,0.024612252903450815,0.09536829998251051,-0.8196721311475474
lstm,456,fold_4,2025,5,24.891129199540632,17.699226990759886,2.313738480012101,0.7608293377047944,0.5341880341880342,8.07179100002395,18.13570137585353,13.58153913388906,1.7703276889851751,0.8730340051036873,0.5555555555555556,8.56711709999945,-6.7554278236871035,-4.117687856870827,-0.5434107910269259,0.1122046673988929,0.49532609997550026,2.1367521367521403
lstm,789,fold_1,2022,5,10.151275048906957,8.14851729943049,0.8274961050377119,0.7919679644648806,0.5145228215767634,7.288444800011348,13.550966229916904,10.22847398004096,1.0430615201357296,0.6292940521266303,0.5103734439834025,7.0939373999717645,3.3996911810099473,2.0799566806104703,0.21556541509801774,-0.16267391233825035,-0.19450740003958344,-0.4149377593360981
lstm,789,fold_2,2023,5,12.975786704264022,10.616574716823102,1.144522427874756,0.9149533605267212,0.5102880658436214,7.282579999999143,15.633414102448086,12.44816427334838,1.3622076456610348,0.8765482004158331,0.5061728395061729,7.362310800002888,2.6576273981840632,1.8315895565252784,0.2176852177862787,-0.038405160110888015,0.07973080000374466,-0.4115226337448541
lstm,789,fold_3,2024,5,12.9679066248049,10.61721555179262,1.2349621578815475,0.9132818146481834,0.4836065573770491,7.6010327999829315,10.909812025277322,8.70387587343084,1.0091087114276645,0.9386230974518872,0.5163934426229508,7.62321469996823,-2.0580945995275783,-1.9133396783617798,-0.22585344645388306,0.025341282803703846,0.022181899985298514,3.278688524590173
lstm,789,fold_4,2025,5,13.80965263580159,10.826313717181856,1.3579237100223482,0.9263819656672856,0.5213675213675214,8.020370999991428,14.471711682106225,11.68874592876333,1.4919182583614123,0.9191540048680844,0.5128205128205128,8.242280400008895,0.6620590463046341,0.8624322115814742,0.1339945483390641,-0.007227960799201183,0.2219094000174664,-0.8547008547008628
lstm,2025,fold_1,2022,5,10.138048632446758,8.10906777102918,0.8250446975773815,0.7925097143053265,0.5518672199170125,7.0091822000104,10.20236824270174,8.060230267037992,0.8214091800929926,0.789868569079845,0.5103734439834025,6.931747299968265,0.0643196102549819,-0.04883750399118725,-0.0036355174843889504,-0.0026411452254814227,-0.07743490004213527,-4.149377593361003
lstm,2025,fold_2,2023,5,13.508230249878476,11.191817371148652,1.2185768805933093,0.9078306189855824,0.4691358024691358,7.285654200008139,12.093517471482906,9.434146994994988,1.0184128434866084,0.9261254183768126,0.5390946502057613,7.796478800009936,-1.41471277839557,-1.7576703761536638,-0.20016403710670083,0.018294799391230243,0.5108246000017971,6.995884773662553
lstm,2025,fold_3,2024,5,12.71796460772956,10.451642370937329,1.2268048462556798,0.9165923940093936,0.5163934426229508,7.53331549995346,12.74318997846716,10.263709181566732,1.1986723983456542,0.9162611972464848,0.5163934426229508,7.763658899988513,0.025225370737601338,-0.18793318937059666,-0.02813244791002556,-0.00033119676290882527,0.2303434000350535,0.0
lstm,2025,fold_4,2025,5,15.155801563888168,11.94956476676413,1.5043916685340668,0.911330036680861,0.5427350427350427,8.011253000004217,14.749437109609495,11.391773102721606,1.4595972115330014,0.9160212123159126,0.5341880341880342,8.177587100013625,-0.4063644542786733,-0.557791664042524,-0.044794457001065435,0.004691175635051614,0.16633410000940785,-0.8547008547008517
cnn,42,fold_1,2022,5,17.89007269251085,15.584211307818446,1.5841377618684382,0.3538799191931184,0.4564315352697095,5.588414300000295,15.07680237400458,12.490568854917614,1.2644879843777803,0.5411111424437038,0.4439834024896265,5.877896799996961,-2.8132703185062695,-3.0936424529008324,-0.3196497774906579,0.18723122325058544,0.28948249999666587,-1.2448132780082999
cnn,42,fold_2,2023,5,17.37479354299551,14.503953710760122,1.575304805660906,0.8475143177786669,0.5185185185185185,5.819209600042086,13.427163894008643,11.15663539380204,1.20510709549579,0.9089335637091704,0.5185185185185185,5.7747434000484645,-3.947629648986865,-3.3473183169580825,-0.37019771016511593,0.06141924593050352,-0.04446619999362156,0.0
cnn,42,fold_3,2024,5,12.470351768398436,9.626341240396265,1.1170420535527228,0.9198085916695004,0.5450819672131147,6.068297700025141,10.742615543038694,8.400533116205805,0.9770652200605324,0.9404899248329844,0.5081967213114754,6.0647586999693885,-1.7277362253597417,-1.2258081241904595,-0.13997683349219037,0.020681333163484084,-0.0035390000557526946,-3.688524590163933
cnn,42,fold_4,2025,5,24.226478276979837,19.63446001303505,2.5438989357400787,0.7734316292953316,0.5256410256410257,6.394064200052526,14.43652323004939,10.892210165007503,1.394631341899381,0.9195466863721936,0.5042735042735043,6.511911099951249,-9.789955046930446,-8.742249848027546,-1.1492675938406978,0.146115057076862,0.11784689989872277,-2.1367521367521403
cnn,123,fold_1,2022,5,19.25957152198119,16.301983069621688,1.6656253939589576,0.2511716637665897,0.5269709543568465,5.660947200027295,11.523039700061023,8.872028472651097,0.9055386828195776,0.7319454739823064,0.5477178423236515,5.697749899991322,-7.736531821920167,-7.429954596970591,-0.76008671113938,0.48077381021571663,0.036802699964026964,2.0746887966805017
