stage,model,feature_set,sequence_window,completed_fits,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total
window_selection,lstm,full_ta,1,4,5.701919975006604,0.2365190902512114,22.807679900026415
window_selection,lstm,full_ta,3,4,6.3231003250257345,0.4762904670339253,25.292401300102938
window_selection,lstm,full_ta,5,4,6.670675624976866,0.3781491392691463,26.682702499907464
window_selection,lstm,full_ta,10,4,7.685057374997996,0.4612624099671194,30.740229499991983
window_selection,lstm,full_ta,20,4,9.059668950008927,1.011468911063955,36.23867580003571
window_selection,lstm,full_ta_vmd,1,4,5.713885600009235,0.23131959655170306,22.85554240003694
window_selection,lstm,full_ta_vmd,3,4,6.169135799995274,0.3869828229151996,24.676543199981097
window_selection,lstm,full_ta_vmd,5,4,6.718748299987055,0.49822434850828873,26.87499319994822
window_selection,lstm,full_ta_vmd,10,4,7.881547974990099,1.098935371871568,31.526191899960395
window_selection,lstm,full_ta_vmd,20,4,10.862587225012248,1.3670613766761752,43.45034890004899
window_selection,cnn,full_ta,1,4,5.037234250004985,0.30397910000070766,20.14893700001994
window_selection,cnn,full_ta,3,4,5.650566625001375,0.4026321908366931,22.6022665000055
window_selection,cnn,full_ta,5,4,5.527191425018827,0.5460031841272178,22.10876570007531
window_selection,cnn,full_ta,10,4,5.820659550008713,0.5978037684776306,23.282638200034853
window_selection,cnn,full_ta,20,4,5.9122504250117345,0.4719361060527201,23.649001700046938
window_selection,cnn,full_ta_vmd,1,4,5.496545525020338,0.5290719555970093,21.98618210008135
window_selection,cnn,full_ta_vmd,3,4,5.623715025009005,0.641633357974337,22.49486010003602
window_selection,cnn,full_ta_vmd,5,4,5.603786474996014,0.5302089139388478,22.415145899984054
window_selection,cnn,full_ta_vmd,10,4,5.671885475007002,0.5155251022279077,22.68754190002801
window_selection,cnn,full_ta_vmd,20,4,5.901551000002655,0.6796218647805452,23.60620400001062
window_selection,lstm_cnn,full_ta,1,4,7.399722225018195,0.512318383954812,29.59888890007278
window_selection,lstm_cnn,full_ta,3,4,8.568154975015204,1.0614173405263307,34.27261990006082
window_selection,lstm_cnn,full_ta,5,4,8.914979975001188,1.1206301452502512,35.65991990000475
window_selection,lstm_cnn,full_ta,10,4,10.118486400009715,0.727922815515319,40.47394560003886
window_selection,lstm_cnn,full_ta,20,4,11.968766050005797,1.3743860577226064,47.87506420002319
window_selection,lstm_cnn,full_ta_vmd,1,4,7.361473924989696,0.43042914382160574,29.445895699958783
window_selection,lstm_cnn,full_ta_vmd,3,4,8.338405349975801,0.6804311091422881,33.353621399903204
window_selection,lstm_cnn,full_ta_vmd,5,4,8.930218074980075,0.9757033730782562,35.7208722999203
window_selection,lstm_cnn,full_ta_vmd,10,4,10.024015074974159,0.9560696622592695,40.096060299896635
window_selection,lstm_cnn,full_ta_vmd,20,4,11.928154574998189,1.5484251051722482,47.712618299992755
window_selection,lstm_attention,full_ta,1,4,9.53846435000014,0.7232856836681529,38.15385740000056
window_selection,lstm_attention,full_ta,3,4,10.45185675000539,0.5944404824869494,41.80742700002156
window_selection,lstm_attention,full_ta,5,4,10.836512925001443,1.3894677981754109,43.34605170000577
window_selection,lstm_attention,full_ta,10,4,13.269316749996506,1.5081982949810666,53.07726699998602
window_selection,lstm_attention,full_ta,20,4,15.00854182500916,1.722904830780972,60.03416730003664
window_selection,lstm_attention,full_ta_vmd,1,4,9.651640450014384,0.7597003724957052,38.606561800057534
window_selection,lstm_attention,full_ta_vmd,3,4,10.78897860000143,0.9064868452855143,43.15591440000572
window_selection,lstm_attention,full_ta_vmd,5,4,11.594669750003959,0.8296637716830243,46.378679000015836
window_selection,lstm_attention,full_ta_vmd,10,4,13.0547757250024,1.1503633584059585,52.2191029000096
window_selection,lstm_attention,full_ta_vmd,20,4,15.858080100006191,1.6658722749550985,63.432320400024764
window_selection,lstm_cnn_attention,full_ta,1,4,14.29807865001203,1.2805192273160457,57.19231460004812
window_selection,lstm_cnn_attention,full_ta,3,4,15.583191074998467,1.0220311103359634,62.33276429999387
window_selection,lstm_cnn_attention,full_ta,5,4,16.26939695001056,1.469272423722292,65.07758780004224
window_selection,lstm_cnn_attention,full_ta,10,4,16.00016747500922,1.1904181478977216,64.00066990003688
window_selection,lstm_cnn_attention,full_ta,20,4,15.5852317000099,1.508701048654832,62.3409268000396
window_selection,lstm_cnn_attention,full_ta_vmd,1,4,10.820392975016148,0.7781431853444589,43.28157190006459
window_selection,lstm_cnn_attention,full_ta_vmd,3,4,12.177478225014056,1.1163462502057409,48.709912900056224
window_selection,lstm_cnn_attention,full_ta_vmd,5,4,12.94397979999485,1.2953697350291988,51.7759191999794
window_selection,lstm_cnn_attention,full_ta_vmd,10,4,14.271808549994603,1.551764400941041,57.08723419997841
window_selection,lstm_cnn_attention,full_ta_vmd,20,4,12.82518970000092,1.5487154939792471,51.30075880000368
outer_test,lstm,full_ta,5,20,7.488402635001694,0.43392880112918436,149.76805270003388
outer_test,lstm,full_ta_vmd,5,20,7.631843275000574,0.4560781788880824,152.63686550001148
outer_test,cnn,full_ta,5,20,6.055187760008266,0.43899387967754766,121.10375520016532
outer_test,cnn,full_ta_vmd,5,20,6.109457759998622,0.39747181225716366,122.18915519997245
outer_test,lstm_cnn,full_ta,20,20,13.835222905001137,0.9994249782414638,276.70445810002275
outer_test,lstm_cnn,full_ta_vmd,20,20,13.94224338499771,0.8638582224098711,278.8448676999542
outer_test,lstm_attention,full_ta,20,20,18.851599544996862,2.6192777285293287,377.0319908999372
