stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
window_selection,lstm,full_ta,1,42,fold_1,2012,2017,2018,1386,245,41.80758168519981,37.749435386195486,3.2833127443922647,0.0554318797490703,0.5020408163265306,5.577141600020696
window_selection,lstm,full_ta,1,42,fold_2,2012,2018,2019,1631,244,48.99120993874802,47.96678816201243,4.399070685092665,-2.926224531284722,0.4795081967213114,5.454905199992936
window_selection,lstm,full_ta,1,42,fold_3,2012,2019,2020,1875,243,24.83143501085001,17.005255448797215,1.990083034534763,0.9229832083558388,0.5102880658436214,5.782643300015479
window_selection,lstm,full_ta,1,42,fold_4,2012,2020,2021,2118,241,11.917730847237118,8.744328153974276,0.9140668006674818,0.6935214503485353,0.4771784232365145,5.992989799997304
window_selection,lstm,full_ta,3,42,fold_1,2012,2017,2018,1386,245,29.330759199691105,24.408696414339307,2.1167030135630216,0.5350890248324622,0.5183673469387755,5.94021170004271
window_selection,lstm,full_ta,3,42,fold_2,2012,2018,2019,1631,244,54.73936142045176,53.26790649682269,4.88227546685739,-3.90160437387422,0.4795081967213114,5.960500800050795
window_selection,lstm,full_ta,3,42,fold_3,2012,2019,2020,1875,243,28.286232126494493,18.918691870736076,2.2046955381841844,0.900061692884013,0.4650205761316872,6.446245300001465
window_selection,lstm,full_ta,3,42,fold_4,2012,2020,2021,2118,241,16.06114101997179,11.050585031370897,1.1548200988969253,0.4433711289985592,0.5145228215767634,6.945443500007968
window_selection,lstm,full_ta,5,42,fold_1,2012,2017,2018,1386,245,25.90688778596992,22.74068852792468,1.980821521529384,0.637294886991131,0.4979591836734693,6.428121699951589
window_selection,lstm,full_ta,5,42,fold_2,2012,2018,2019,1631,244,42.15920392085464,40.91503883528402,3.7542323189028974,-1.9075259846698651,0.4795081967213114,6.339380600024015
window_selection,lstm,full_ta,5,42,fold_3,2012,2019,2020,1875,243,29.0434622511602,20.62522729163529,2.4110753175981205,0.8946393210436685,0.4938271604938271,6.738796299963724
window_selection,lstm,full_ta,5,42,fold_4,2012,2020,2021,2118,241,18.721619360224,12.963252042279686,1.3567500034157995,0.2436901440406493,0.5103734439834025,7.176403899968136
window_selection,lstm,full_ta,10,42,fold_1,2012,2017,2018,1386,245,51.533004535115296,47.33128463525188,4.124875044678877,-0.4351394993002764,0.5020408163265306,7.192880799993873
window_selection,lstm,full_ta,10,42,fold_2,2012,2018,2019,1631,244,22.886659238750724,20.394357939254917,1.8753565197717152,0.1431523533027334,0.5,7.458681099989917
window_selection,lstm,full_ta,10,42,fold_3,2012,2019,2020,1875,243,36.93457492339511,27.87723680190821,3.2548064347060244,0.8296084722980677,0.4609053497942387,7.836192100017797
window_selection,lstm,full_ta,10,42,fold_4,2012,2020,2021,2118,241,18.12621766918679,14.17271274386598,1.479493362329404,0.2910308795854659,0.4896265560165975,8.252475499990396
window_selection,lstm,full_ta,20,42,fold_1,2012,2017,2018,1386,245,38.742014606461055,33.683517586873506,2.927642920696897,0.1888753665963483,0.5142857142857142,8.425243000034243
window_selection,lstm,full_ta,20,42,fold_2,2012,2018,2019,1631,244,48.1094549512397,46.63189622419277,4.281832541785223,-2.786166205686113,0.4795081967213114,9.06767730001593
window_selection,lstm,full_ta,20,42,fold_3,2012,2019,2020,1875,243,26.97657244267614,17.66068260846348,2.089250277475322,0.9091017914656624,0.5432098765432098,8.2614713999792
window_selection,lstm,full_ta,20,42,fold_4,2012,2020,2021,2118,241,18.032705775624603,14.551478277558584,1.517942943954116,0.2983270552374382,0.4522821576763485,10.484284100006334
window_selection,lstm,full_ta_vmd,1,42,fold_1,2012,2017,2018,1386,245,55.81844895861375,51.46168121849762,4.480640438607956,-0.6837543035960456,0.5020408163265306,5.58845660003135
window_selection,lstm,full_ta_vmd,1,42,fold_2,2012,2018,2019,1631,244,38.66128583634035,37.548617339393004,3.4449754851806,-1.4450705217039173,0.4795081967213114,5.462948500004131
window_selection,lstm,full_ta_vmd,1,42,fold_3,2012,2019,2020,1875,243,28.76879899450219,19.56401331825881,2.279347065853176,0.8966226845050421,0.522633744855967,5.827911100001074
