stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
outer_test,lstm,full_ta,5,42,fold_1,2012,2021,2022,2358,241,11.833712182830586,9.312549685165587,0.9485576982786074,0.7172965993019992,0.5625,0.5869931838943152,0.1919173557288294,1.0,240,1,0,87,20,85,48,0.2833333333333333,7.322238699998707
outer_test,lstm,full_ta,5,42,fold_2,2012,2022,2023,2599,243,16.76857352979018,14.0850649910405,1.5225422134468432,0.8579693741417604,0.5495867768595041,0.5627055921052632,0.1399062942890188,1.0,242,1,0,43,85,24,90,0.7231404958677686,7.086574799999653
outer_test,lstm,full_ta,5,42,fold_3,2012,2023,2024,2842,244,13.908349351719655,11.251543277560703,1.2975441561259156,0.9002479996372929,0.4918032786885246,0.5050810956322768,0.013324468652776,1.0,244,0,0,23,104,20,97,0.8237704918032787,7.609757199999876
outer_test,lstm,full_ta,5,42,fold_4,2012,2024,2025,3086,234,13.420928844368126,10.881016332043526,1.365524100169606,0.9304681386253978,0.5555555555555556,0.5517543859649122,0.1084404932905397,1.0,234,0,0,84,36,68,46,0.3504273504273504,7.921120699997118
outer_test,lstm,full_ta,5,123,fold_1,2012,2021,2022,2358,241,11.704030654477284,8.717291358832998,0.8907393547398166,0.7234587449932579,0.5583333333333333,0.5402993464970838,0.0852548755767118,1.0,240,1,0,40,67,39,94,0.6708333333333333,7.1415330000018
outer_test,lstm,full_ta,5,123,fold_2,2012,2022,2023,2599,243,13.015458178972814,10.288356812068947,1.1079714829292802,0.914432531491289,0.5330578512396694,0.5278919956140351,0.0566345401244038,1.0,242,1,0,79,49,64,50,0.4090909090909091,7.41808139999921
outer_test,lstm,full_ta,5,123,fold_3,2012,2023,2024,2842,244,15.310821705016584,12.60824895882218,1.4747122168793103,0.8791163874586281,0.4795081967213114,0.4962985396056262,-0.0129124920211792,1.0,244,0,0,11,116,11,106,0.9098360655737704,7.739770100000896
outer_test,lstm,full_ta,5,123,fold_4,2012,2024,2025,3086,234,17.10211772839855,13.967959913522265,1.7709874921964734,0.8870936178710185,0.5470085470085471,0.5495614035087719,0.1010621879313291,1.0,234,0,0,54,66,40,74,0.5982905982905983,8.379372700001113
outer_test,lstm,full_ta,5,456,fold_1,2012,2021,2022,2358,241,13.31933367047035,10.029568578890249,1.0248422880946648,0.641859013211288,0.5375,0.5498208137165344,0.1014654455656814,1.0,240,1,0,71,36,75,58,0.3916666666666666,7.310512999996717
outer_test,lstm,full_ta,5,456,fold_2,2012,2022,2023,2599,243,11.727712656056038,9.309678051736624,1.0050677852377776,0.930526945318192,0.5661157024793388,0.5668174342105263,0.1334292867367065,1.0,242,1,0,71,57,48,66,0.5082644628099173,7.75705050000397
