model,feature_set,sequence_window,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,direction_accuracy_mean,direction_accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,direction_coverage_mean,direction_coverage_std,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total
lstm,full_ta,5,13.75125655397304,1.866038678451546,10.984447177239492,1.5197339434528665,1.2571923210092748,0.29001158482260003,0.8564352240241215,0.09133964159032465,0.5274854225506237,0.02186578842348888,0.5349005021580684,0.017098770495576933,0.07749493376110499,0.033069088004241375,1.0,0.0,7.835224170000219,0.6755920457956427,156.7044834000044
lstm,full_ta_vmd,5,13.260298388073437,1.8012511426868363,10.481039826718023,1.4164626270714284,1.2015852273323544,0.2823398627243431,0.8596365013823797,0.10513953157264233,0.5244056334872281,0.02266708949568471,0.531555221442086,0.02247808434055404,0.06889448564762773,0.04211930279412101,1.0,0.0,7.708659039999475,0.4576373788893167,154.1731807999895
cnn,full_ta,20,26.960597616674153,6.86234538746051,22.080199611568474,5.114532585375949,2.5630351366797313,0.8810978707180642,0.4169541816698853,0.42068916318253374,0.5245152835242254,0.019724148614663605,0.5214195310143117,0.03127779675060454,0.05792768657744235,0.08318366105303307,1.0,0.0,6.546934035000959,0.4675896824535943,130.93868070001918
cnn,full_ta_vmd,20,22.47534048666678,3.0279541285991205,18.181335038200864,2.250831473234155,2.0919161319384614,0.4754826480372818,0.592438906560967,0.3187947187443181,0.5165429747434218,0.019724973254661684,0.5184286848337295,0.02564506261712732,0.04483033162883,0.061309812132882405,1.0,0.0,6.570232284999657,0.45081269519016826,131.40464569999313
lstm_cnn,full_ta,20,30.8978426278185,14.826695360092826,24.093686182268804,10.922206814861156,2.84871751037641,1.640472396244815,0.2651705657329179,0.5264630223619603,0.5136803456727078,0.02566776233559238,0.5207540986833427,0.02419867732972136,0.048075471108475445,0.05346750717768119,1.0,0.0,14.26222891000034,1.0862608377116034,285.2445782000068
lstm_cnn,full_ta_vmd,20,31.891833033740724,15.00076081831667,24.619579866628687,10.464823265084766,2.9222662550813348,1.6052019654255263,0.2141072730015316,0.5506759834497987,0.5166712985639961,0.02904045951475788,0.5242991138023738,0.026365676954527444,0.05820997689956559,0.056667162784769055,1.0,0.0,14.547365085000274,1.1441683021738502,290.9473017000055
lstm_attention,full_ta,10,24.581688313255505,3.137870441036065,19.417266729773967,2.6580560506609725,2.240265232183872,0.5063656090189129,0.5356169980366983,0.28806246759969223,0.512761891093672,0.03267909374611993,0.5250764094249141,0.02664644689194456,0.06221264298994926,0.061496640507927774,1.0,0.0,14.206420960000106,1.1551109067967926,284.1284192000021
lstm_attention,full_ta_vmd,10,41.827628094714846,18.086033992408552,35.45894030650182,16.52307859071126,4.204797145038232,2.368472587625973,-0.6684822735256004,1.0058278388602775,0.5065200873807431,0.01854764337991266,0.5201219088032827,0.015665750407991716,0.0507649280196739,0.036191800053848235,1.0,0.0,15.549495269999534,1.2828667419698545,310.9899053999907
lstm_cnn_attention,full_ta,20,45.74380661250379,24.367016653630554,35.588752842658685,17.94695066770622,4.245356324927634,2.657961040905791,-0.5987580895797862,1.1852372726765223,0.5030642027288823,0.037153739488734135,0.5158316537587853,0.033031439426477974,0.05167049329172969,0.08720389584714962,1.0,0.0,20.379255225000087,1.6533760718871462,407.58510450000176
lstm_cnn_attention,full_ta_vmd,20,47.288251731217166,29.301105406388725,36.988082252707976,21.91856188895529,4.440232969534476,3.1763442608489045,-0.640512811261744,1.340227854852925,0.49848798080541745,0.029848190412030035,0.5098316125678064,0.029817768898750714,0.03851113265154893,0.08115208860784706,1.0,0.0,19.643273739999493,1.6986033580127338,392.8654747999899
