stage,model,feature_set,sequence_window,completed_fits,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_total
window_selection,lstm,full_ta,1,4,5.195552775001488,0.4225342706409508,20.782211100005952
window_selection,lstm,full_ta,3,4,5.619803249999677,0.700003079572245,22.47921299999871
window_selection,lstm,full_ta,5,4,6.0257785500034515,0.4375256590541943,24.103114200013806
window_selection,lstm,full_ta,10,4,6.792015649998575,0.6530426916992577,27.1680625999943
window_selection,lstm,full_ta,20,4,8.680352224999297,0.9835906036959148,34.721408899997186
window_selection,lstm,full_ta_vmd,1,4,4.839502300001186,0.26126692041688543,19.358009200004744
window_selection,lstm,full_ta_vmd,3,4,5.914228199999343,0.5625426096003227,23.65691279999737
window_selection,lstm,full_ta_vmd,5,4,5.947433750001437,0.30448206159033964,23.78973500000575
window_selection,lstm,full_ta_vmd,10,4,6.862089475001994,1.1403985384316344,27.448357900007977
window_selection,lstm,full_ta_vmd,20,4,8.96256647500195,1.329507103302166,35.8502659000078
window_selection,cnn,full_ta,1,4,4.705746650000947,0.5348010860888186,18.822986600003787
window_selection,cnn,full_ta,3,4,5.357046049997734,0.4545609361408215,21.428184199990937
window_selection,cnn,full_ta,5,4,4.690755349998653,0.3286492041256432,18.763021399994614
window_selection,cnn,full_ta,10,4,4.630685149999408,0.7314445631836118,18.522740599997633
window_selection,cnn,full_ta,20,4,5.058756775000802,0.44926779079863177,20.235027100003208
window_selection,cnn,full_ta_vmd,1,4,5.221415074996912,0.8421527467421785,20.88566029998765
window_selection,cnn,full_ta_vmd,3,4,4.977638499998648,0.7545449130257177,19.91055399999459
window_selection,cnn,full_ta_vmd,5,4,4.883026425000935,0.2550393113219637,19.53210570000374
window_selection,cnn,full_ta_vmd,10,4,4.6882288250017154,0.41863604304392693,18.752915300006862
window_selection,cnn,full_ta_vmd,20,4,5.150512225000057,0.5547973742107336,20.602048900000227
window_selection,lstm_cnn,full_ta,1,4,6.21278157499728,0.4465065049060368,24.85112629998912
window_selection,lstm_cnn,full_ta,3,4,6.912596024998493,0.2092919607212758,27.65038409999397
window_selection,lstm_cnn,full_ta,5,4,7.485274650001884,0.5206203980888051,29.941098600007535
window_selection,lstm_cnn,full_ta,10,4,8.782179400001041,1.268272502263847,35.128717600004165
window_selection,lstm_cnn,full_ta,20,4,9.638456199998473,1.235955826337709,38.55382479999389
window_selection,lstm_cnn,full_ta_vmd,1,4,6.089918499998021,0.4255161594903652,24.359673999992083
window_selection,lstm_cnn,full_ta_vmd,3,4,6.661174374998154,0.5345837352967593,26.644697499992617
window_selection,lstm_cnn,full_ta_vmd,5,4,6.927015150000443,0.8730892255493957,27.708060600001772
window_selection,lstm_cnn,full_ta_vmd,10,4,7.649789225002678,1.1113412771695927,30.599156900010712
window_selection,lstm_cnn,full_ta_vmd,20,4,9.482121824999922,1.0201555327948477,37.92848729999969
window_selection,lstm_attention,full_ta,1,4,7.556904574999862,0.8151471304371325,30.22761829999945
window_selection,lstm_attention,full_ta,3,4,8.103329999999914,0.7367761340481814,32.41331999999966
window_selection,lstm_attention,full_ta,5,4,10.976894950001224,2.9542501641838776,43.907579800004896
window_selection,lstm_attention,full_ta,10,4,10.884519499999442,1.8043119009656803,43.53807799999777
window_selection,lstm_attention,full_ta,20,4,12.879374674997962,1.2294804319839119,51.51749869999185
window_selection,lstm_attention,full_ta_vmd,1,4,8.084089724998194,0.9400917180701748,32.336358899992774
window_selection,lstm_attention,full_ta_vmd,3,4,9.063177475001794,1.025222482869475,36.252709900007176
