stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
window_selection,lstm,full_ta,1,42,fold_1,2012,2017,2018,1385,245,41.69388867027863,37.63712847422081,3.2733013527370938,0.0605622782032417,0.5020408163265306,0.5,0.0,1.0,245,0,0,123,0,122,0,0.0,4.828481200005626
window_selection,lstm,full_ta,1,42,fold_2,2012,2018,2019,1630,244,51.57140238880832,50.56273693179971,4.636654504254782,-3.3506754208416067,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,4.880108800003654
window_selection,lstm,full_ta,1,42,fold_3,2012,2019,2020,1874,243,24.89069251474522,17.04440655747318,1.995188336535432,0.9226151854557624,0.4958677685950413,0.5000683433570257,0.0001452364579285,1.0,242,1,0,41,83,39,79,0.6694214876033058,5.3518167000002
window_selection,lstm,full_ta,1,42,fold_4,2012,2020,2021,2117,240,11.928874588131656,8.733438768903403,0.9131006375485696,0.6897331669057524,0.475,0.4873527977144449,-0.0278960647393882,1.0,240,0,0,79,34,92,35,0.2875,5.721804399996472
window_selection,lstm,full_ta,3,42,fold_1,2012,2017,2018,1385,245,58.85068216689143,55.41702610618715,4.841696073329276,-0.8716566967260435,0.5020408163265306,0.5,0.0,1.0,245,0,0,123,0,122,0,0.0,4.969237400000566
window_selection,lstm,full_ta,3,42,fold_2,2012,2018,2019,1630,244,55.47644854489625,54.01662443616335,4.950743316146985,-4.034497195614394,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,5.353151099996467
window_selection,lstm,full_ta,3,42,fold_3,2012,2019,2020,1874,243,28.092141229852587,18.758440284726078,2.18830382034909,0.9014284756503368,0.4628099173553719,0.4645297977036632,-0.0716290670179461,1.0,242,1,0,49,75,55,63,0.5702479338842975,5.551615700002003
window_selection,lstm,full_ta,3,42,fold_4,2012,2020,2021,2117,240,17.164244204831018,11.667458474496986,1.2198087545690035,0.3576292208594732,0.4916666666666666,0.5026130583234618,0.0056279156198169,1.0,240,0,0,78,35,87,40,0.3125,6.605208799999673
window_selection,lstm,full_ta,5,42,fold_1,2012,2017,2018,1385,245,31.397558260970264,27.73685095003662,2.414187532461802,0.4672604496704258,0.4979591836734693,0.4959349593495935,-0.0637576713063338,1.0,245,0,0,122,1,122,0,0.0040816326530612,5.695706100006646
window_selection,lstm,full_ta,5,42,fold_2,2012,2018,2019,1630,244,42.110660386337415,40.86590645468611,3.749787182219217,-1.9008341917859075,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,5.750244700000621
window_selection,lstm,full_ta,5,42,fold_3,2012,2019,2020,1874,243,29.06407969752557,20.653074455351337,2.4144232677883086,0.8944896805389512,0.4958677685950413,0.5008884636413341,0.0019428120695769,1.0,242,1,0,37,87,35,83,0.7024793388429752,6.0076145000057295
window_selection,lstm,full_ta,5,42,fold_4,2012,2020,2021,2117,240,19.928104597985516,13.761895426750163,1.4406537865803006,0.1340986924163862,0.4958333333333333,0.5119155459549857,0.0284860132405278,1.0,240,0,0,89,24,97,30,0.225,6.649548900000809
window_selection,lstm,full_ta,10,42,fold_1,2012,2017,2018,1385,245,61.23875750267498,58.10449825811862,5.078274737004379,-1.0266368305179423,0.5020408163265306,0.5,0.0,1.0,245,0,0,123,0,122,0,0.0,5.948774599994067
window_selection,lstm,full_ta,10,42,fold_2,2012,2018,2019,1630,244,22.856700089040466,20.364091604662104,1.872576014479489,0.1453941505940443,0.5,0.5196850393700787,0.1388280175712198,1.0,244,0,0,5,122,0,117,0.9795081967213116,6.682133599999361
window_selection,lstm,full_ta,10,42,fold_3,2012,2019,2020,1874,243,37.06484607699721,27.988543118593338,3.26626899075838,0.828404383912859,0.4710743801652892,0.4766949152542373,-0.052312349602211,1.0,242,1,0,31,93,35,83,0.7272727272727273,7.042697899996711
window_selection,lstm,full_ta,10,42,fold_4,2012,2020,2021,2117,240,18.26708983535491,14.227083917001863,1.4855645818323029,0.2724294084258284,0.4916666666666666,0.5167584140478015,0.0652119372443612,1.0,240,0,0,107,6,116,11,0.0708333333333333,7.494456500004162
window_selection,lstm,full_ta,20,42,fold_1,2012,2017,2018,1385,245,56.53234246852961,52.69368639756697,4.595975712398562,-0.7270986800498931,0.5020408163265306,0.5,0.0,1.0,245,0,0,123,0,122,0,0.0,7.8059800999981235
window_selection,lstm,full_ta,20,42,fold_2,2012,2018,2019,1630,244,46.16495470705651,44.63074672553368,4.098685026420816,-2.486290954309854,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,8.072089599998435
window_selection,lstm,full_ta,20,42,fold_3,2012,2019,2020,1874,243,27.087282748083325,17.718193017202662,2.0935786803199843,0.9083541784623772,0.5454545454545454,0.5412793876435211,0.0877228205888513,1.0,242,1,0,88,36,74,44,0.3305785123966942,8.843422899997677
window_selection,lstm,full_ta,20,42,fold_4,2012,2020,2021,2117,240,16.986481040552174,13.196355072875798,1.3770708179517388,0.3708658716292564,0.4583333333333333,0.4803846421852136,-0.0600796073994634,1.0,240,0,0,97,16,114,13,0.1208333333333333,9.999916300002951
window_selection,lstm,full_ta_vmd,1,42,fold_1,2012,2017,2018,1385,245,54.50376189115292,50.28566477810594,4.379112856513738,-0.6053737119938092,0.5020408163265306,0.5,0.0,1.0,245,0,0,123,0,122,0,0.0,4.488486800000828
window_selection,lstm,full_ta_vmd,1,42,fold_2,2012,2018,2019,1630,244,39.26858281117812,38.12817813643162,3.4992944234007832,-1.5224888632141962,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,4.87450930000341
window_selection,lstm,full_ta_vmd,1,42,fold_3,2012,2019,2020,1874,243,28.40139185253965,19.28358074797617,2.2481801380717914,0.8992462929653858,0.5082644628099173,0.5066293056314927,0.0133719563600068,1.0,242,1,0,71,53,66,52,0.4338842975206611,4.874191599999904
window_selection,lstm,full_ta_vmd,1,42,fold_4,2012,2020,2021,2117,240,18.09619572494824,14.053437897404017,1.468106976370311,0.2859790129508441,0.4583333333333333,0.4847745801686294,-0.0726818998646217,1.0,240,0,0,106,7,123,4,0.0458333333333333,5.120821500000602
window_selection,lstm,full_ta_vmd,3,42,fold_1,2012,2017,2018,1385,245,31.354750860188503,27.14202158927906,2.354079217178547,0.468712132566468,0.5102040816326531,0.5082633613221378,0.0534619301441897,1.0,245,0,0,121,2,118,4,0.0244897959183673,5.575861099998292
window_selection,lstm,full_ta_vmd,3,42,fold_2,2012,2018,2019,1630,244,27.25437325934916,25.613065346809048,2.353922846964496,-0.2150977043627102,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,5.577542300001369
window_selection,lstm,full_ta_vmd,3,42,fold_3,2012,2019,2020,1874,243,33.69667136442165,22.834993906813843,2.6963500117433927,0.8581740206339702,0.4462809917355372,0.4461454346637507,-0.1076796979268548,1.0,242,1,0,56,68,66,52,0.4958677685950413,6.748576899997715
window_selection,lstm,full_ta_vmd,3,42,fold_4,2012,2020,2021,2117,240,19.76903970852732,14.215951962550468,1.4883341988536796,0.147866665282596,0.4708333333333333,0.4902445822590759,-0.0261319582477983,1.0,240,0,0,93,20,107,20,0.1666666666666666,5.754932499999995
window_selection,lstm,full_ta_vmd,5,42,fold_1,2012,2017,2018,1385,245,25.628716199369062,21.635908382795197,1.8781979920653693,0.6450420613019183,0.5265306122448979,0.5247567639610823,0.1002025122558419,1.0,245,0,0,118,5,111,11,0.0653061224489796,5.602417900001456
window_selection,lstm,full_ta_vmd,5,42,fold_2,2012,2018,2019,1630,244,39.06758253355381,37.870008023977135,3.474575389364237,-1.4967317155836533,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,5.912158300001465
window_selection,lstm,full_ta_vmd,5,42,fold_3,2012,2019,2020,1874,243,36.50194479784024,24.626167569779145,2.9217771678865816,0.8335768283453963,0.5,0.5059458720612356,0.0135456737654843,1.0,242,1,0,33,91,30,88,0.7396694214876033,5.930774000000383
window_selection,lstm,full_ta_vmd,5,42,fold_4,2012,2020,2021,2117,240,17.919210720899308,12.45949219153323,1.3027057772265411,0.2998772974599571,0.5125,0.5286391192251412,0.0684663827009178,1.0,240,0,0,91,22,95,32,0.225,6.3443848000024445
window_selection,lstm,full_ta_vmd,10,42,fold_1,2012,2017,2018,1385,245,27.21080183324,23.748684155683023,2.0634786758213157,0.599865619243819,0.5306122448979592,0.5287218445954951,0.1526854096299238,1.0,245,0,0,122,1,114,8,0.036734693877551,5.222819800001162
window_selection,lstm,full_ta_vmd,10,42,fold_2,2012,2018,2019,1630,244,46.18463523546505,44.51686592819246,4.079421335536408,-2.489264061228886,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,6.947759300004691
window_selection,lstm,full_ta_vmd,10,42,fold_3,2012,2019,2020,1874,243,35.77170185921218,25.945794147943936,3.0157696219558945,0.8401690093079588,0.4628099173553719,0.4639147074904319,-0.0724483941821593,1.0,242,1,0,52,72,58,60,0.5454545454545454,7.647428900003433
