task,inference_year,train_start_year,train_end_year,train_years,test_pairs,accuracy,macro_f1,weighted_f1,mcc
relevance,2019,2018,2018,2018,3142,0.8392743475493316,0.7166424837155727,0.8553523519513387,0.4619243101478889
sentiment,2019,2018,2018,2018,2740,0.8072992700729927,0.789954866063626,0.80654195373635,0.6856460202383035
relevance,2020,2018,2019,"2018,2019",3004,0.8265645805592543,0.7659223696657655,0.8303324092282415,0.5344212751852409
sentiment,2020,2018,2019,"2018,2019",2314,0.7955920484010371,0.7550748061364846,0.7924778718481359,0.658202260112269
relevance,2021,2018,2020,"2018,2019,2020",2854,0.8395234758234057,0.7976736209142558,0.8445531964442281,0.6025734772199449
sentiment,2021,2018,2020,"2018,2019,2020",2154,0.8254410399257196,0.7702412106346399,0.8186400160773109,0.6638433681562366
relevance,2022,2018,2021,"2018,2019,2020,2021",1787,0.8242865137101287,0.7668420177844262,0.8227322094235257,0.5341348325141361
sentiment,2022,2018,2021,"2018,2019,2020,2021",1325,0.8135849056603773,0.784472017883199,0.8115455974935817,0.6650102403282608
relevance,2023,2018,2022,"2018,2019,2020,2021,2022",1811,0.8741027056874655,0.8427160945285003,0.8758873584851322,0.6870684052398999
sentiment,2023,2018,2022,"2018,2019,2020,2021,2022",1333,0.8402100525131283,0.8307886570341848,0.8390078528505146,0.718347153068609
