inference_label,task,train_start_year,train_end_year,train_pairs,inference_pairs,fit_seconds,predict_seconds
2019,relevance,2018,2018,3220,3171,2.1193569999995816,1.2944250000000466
2019,sentiment,2018,2018,2840,3171,3.1631155999994007,1.2850081000005957
2020,relevance,2018,2019,6391,3023,3.9391651000005368,1.4830927000002703
2020,sentiment,2018,2019,5580,3023,5.047725599999467,1.38914879999993
2021,relevance,2018,2020,9414,2868,6.188157200000205,1.5242717999999513
2021,sentiment,2018,2020,7894,2868,6.688693299999613,1.7205992999997761
2022,relevance,2018,2021,12282,1822,8.562889700000596,1.1194246000004568
2022,sentiment,2018,2021,10048,1822,10.014630399999987,1.124407099999189
2023,relevance,2018,2022,14104,1845,9.311150800000178,1.2071687999996357
2023,sentiment,2018,2022,11373,1845,9.542169499999545,1.3554106000001411
2024_2025_frozen,relevance,2018,2023,15949,4619,11.321358700000019,1.0238317000003008
2024_2025_frozen,sentiment,2018,2023,12706,4619,12.16884680000021,0.9835947000001397
