stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds,news_start_year
track_b_fusion,cnn,technical_vmd,5,42,fold_1,2019,2021,2022,728,241,16.387532719021056,13.203536850377242,1.344623251225456,0.45785410736547305,0.48132780082987553,3.5464404000003924,2019
track_b_fusion,cnn,technical_vmd,5,42,fold_2,2019,2022,2023,969,243,16.374467373167548,13.506783437586616,1.4551828335960497,0.8645671162177445,0.5308641975308642,3.9576443000005384,2019
track_b_fusion,cnn,technical_vmd,5,42,fold_3,2019,2023,2024,1212,244,28.947614336513652,26.232023368775824,3.0739119489951574,0.5678883375577539,0.48770491803278687,4.164450100000977,2019
track_b_fusion,cnn,technical_vmd,5,42,fold_4,2019,2024,2025,1456,234,15.912008046093536,12.22410758333711,1.5429269803232704,0.9022608208197134,0.5085470085470085,4.781532699998934,2019
track_b_fusion,cnn,technical_vmd,5,123,fold_1,2019,2021,2022,728,241,13.161567353531353,10.629429954156842,1.085539512678076,0.6502930613084072,0.42738589211618255,3.395183000000543,2019
track_b_fusion,cnn,technical_vmd,5,123,fold_2,2019,2022,2023,969,243,13.189326474897074,10.618283541178014,1.1495526454073492,0.9121311386685323,0.5185185185185185,3.8465814999999566,2019
track_b_fusion,cnn,technical_vmd,5,123,fold_3,2019,2023,2024,1212,244,19.989887247665084,16.13119258076439,1.889835677811971,0.7939412215713193,0.5081967213114754,4.209778899999947,2019
track_b_fusion,cnn,technical_vmd,5,123,fold_4,2019,2024,2025,1456,234,18.910687626004012,14.253142981648951,1.8477446786518463,0.8619509730824007,0.5128205128205128,4.526327499999752,2019
track_b_fusion,cnn,technical_vmd,5,456,fold_1,2019,2021,2022,728,241,17.272606603184816,13.775624396217331,1.4027508004727816,0.39771119373766395,0.5186721991701245,3.4932448999998087,2019
track_b_fusion,cnn,technical_vmd,5,456,fold_2,2019,2022,2023,969,243,17.310204550862363,13.66995365776642,1.4822482315092484,0.8486459099762532,0.51440329218107,3.9827981999997064,2019
track_b_fusion,cnn,technical_vmd,5,456,fold_3,2019,2023,2024,1212,244,20.783978616454515,17.7131665758764,2.065075514745832,0.7772448232385757,0.4713114754098361,4.130354499999157,2019
track_b_fusion,cnn,technical_vmd,5,456,fold_4,2019,2024,2025,1456,234,17.343010705823684,13.743565144098218,1.75595321332369,0.8838905167017771,0.5769230769230769,4.510868800000026,2019
track_b_fusion,cnn,technical_vmd,5,789,fold_1,2019,2021,2022,728,241,33.93832166082627,30.30449336019289,3.0796396844126757,-1.3252505258733644,0.5643153526970954,3.935591399999794,2019
track_b_fusion,cnn,technical_vmd,5,789,fold_2,2019,2022,2023,969,243,17.713980925987986,14.169984740504503,1.5373842662723098,0.8415026129230526,0.5596707818930041,3.955488599999626,2019
track_b_fusion,cnn,technical_vmd,5,789,fold_3,2019,2023,2024,1212,244,21.031521309438915,17.47827946745957,2.055235205193988,0.7719070780651665,0.4959016393442623,4.179983300000458,2019
track_b_fusion,cnn,technical_vmd,5,789,fold_4,2019,2024,2025,1456,234,25.63066898709629,19.060278881286454,2.493671658542053,0.7464062231822985,0.5555555555555556,4.849422400000549,2019
track_b_fusion,cnn,technical_vmd,5,2025,fold_1,2019,2021,2022,728,241,18.285482192658687,15.034077616148483,1.532438421851885,0.32500296864726075,0.44813278008298757,4.284426500000336,2019
track_b_fusion,cnn,technical_vmd,5,2025,fold_2,2019,2022,2023,969,243,14.827165913210358,12.067293905260136,1.3016236097037548,0.8889531979581732,0.551440329218107,4.015167100000326,2019
track_b_fusion,cnn,technical_vmd,5,2025,fold_3,2019,2023,2024,1212,244,22.387116152150604,19.007214674876344,2.2398643686305815,0.7415558316719173,0.48770491803278687,4.189693199999965,2019
track_b_fusion,cnn,technical_vmd,5,2025,fold_4,2019,2024,2025,1456,234,15.53451282958632,11.81877430602017,1.5100001666868073,0.9068433238891702,0.5341880341880342,4.806052699999782,2019
track_b_fusion,cnn,technical_vmd_news,5,42,fold_1,2019,2021,2022,728,241,23.478705532371126,18.896676951335163,1.920872685592235,-0.1128517836293752,0.49377593360995853,3.901316299999962,2019
track_b_fusion,cnn,technical_vmd_news,5,42,fold_2,2019,2022,2023,969,243,16.349788936270702,13.49470522318848,1.448347090376305,0.8649750382810888,0.5349794238683128,3.8636425000004238,2019
track_b_fusion,cnn,technical_vmd_news,5,42,fold_3,2019,2023,2024,1212,244,20.764200726976906,17.20145103510284,2.012035220486224,0.7776685660806643,0.48770491803278687,4.2893480000002455,2019
track_b_fusion,cnn,technical_vmd_news,5,42,fold_4,2019,2024,2025,1456,234,19.500494301408285,15.087355542501328,1.9431997069061184,0.8532054445224385,0.5470085470085471,4.949724200001583,2019
track_b_fusion,cnn,technical_vmd_news,5,123,fold_1,2019,2021,2022,728,241,15.830471422761711,12.695846488554949,1.2895311211831075,0.49408596879242517,0.44813278008298757,4.088485399999627,2019
track_b_fusion,cnn,technical_vmd_news,5,123,fold_2,2019,2022,2023,969,243,15.723982827965775,12.407934981991723,1.340746259398979,0.8751136757455119,0.5555555555555556,3.9020051999996213,2019
track_b_fusion,cnn,technical_vmd_news,5,123,fold_3,2019,2023,2024,1212,244,18.436327219564767,15.55121365012691,1.8083266413425465,0.8247252940499701,0.48360655737704916,4.164918700000271,2019
