model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp
cnn,42,fold_1,2022,5,16.387532719021056,13.203536850377242,1.344623251225456,0.45785410736547305,0.48132780082987553,3.5464404000003924,23.478705532371126,18.896676951335163,1.920872685592235,-0.1128517836293752,0.49377593360995853,3.901316299999962,7.09117281335007,5.693140100957921,0.576249434366779,-0.5707058909948483,0.3548758999995698,1.2448132780082999
cnn,42,fold_2,2023,5,16.374467373167548,13.506783437586616,1.4551828335960497,0.8645671162177445,0.5308641975308642,3.9576443000005384,16.349788936270702,13.49470522318848,1.448347090376305,0.8649750382810888,0.5349794238683128,3.8636425000004238,-0.024678436896845568,-0.0120782143981355,-0.006835743219744783,0.0004079220633442793,-0.0940018000001146,0.4115226337448541
cnn,42,fold_3,2024,5,28.947614336513652,26.232023368775824,3.0739119489951574,0.5678883375577539,0.48770491803278687,4.164450100000977,20.764200726976906,17.20145103510284,2.012035220486224,0.7776685660806643,0.48770491803278687,4.2893480000002455,-8.183413609536746,-9.030572333672986,-1.0618767285089334,0.20978022852291034,0.1248978999992687,0.0
cnn,42,fold_4,2025,5,15.912008046093536,12.22410758333711,1.5429269803232704,0.9022608208197134,0.5085470085470085,4.781532699998934,19.500494301408285,15.087355542501328,1.9431997069061184,0.8532054445224385,0.5470085470085471,4.949724200001583,3.5884862553147485,2.8632479591642177,0.40027272658284807,-0.049055376297274855,0.16819150000264926,3.8461538461538547
cnn,123,fold_1,2022,5,13.161567353531353,10.629429954156842,1.085539512678076,0.6502930613084072,0.42738589211618255,3.395183000000543,15.830471422761711,12.695846488554949,1.2895311211831075,0.49408596879242517,0.44813278008298757,4.088485399999627,2.668904069230358,2.0664165343981065,0.2039916085050315,-0.15620709251598208,0.6933023999990837,2.0746887966805017
cnn,123,fold_2,2023,5,13.189326474897074,10.618283541178014,1.1495526454073492,0.9121311386685323,0.5185185185185185,3.8465814999999566,15.723982827965775,12.407934981991723,1.340746259398979,0.8751136757455119,0.5555555555555556,3.9020051999996213,2.5346563530687014,1.7896514408137083,0.1911936139916297,-0.03701746292302044,0.05542369999966468,3.703703703703709
cnn,123,fold_3,2024,5,19.989887247665084,16.13119258076439,1.889835677811971,0.7939412215713193,0.5081967213114754,4.209778899999947,18.436327219564767,15.55121365012691,1.8083266413425465,0.8247252940499701,0.48360655737704916,4.164918700000271,-1.5535600281003177,-0.5799789306374823,-0.08150903646942442,0.03078407247865078,-0.04486019999967539,-2.4590163934426257
cnn,123,fold_4,2025,5,18.910687626004012,14.253142981648951,1.8477446786518463,0.8619509730824007,0.5128205128205128,4.526327499999752,17.981306603005738,13.885740245211327,1.7701813960051043,0.875186603765848,0.5128205128205128,4.682583499999964,-0.9293810229982746,-0.367402736437624,-0.07756328264674206,0.013235630683447352,0.15625600000021223,0.0
cnn,456,fold_1,2022,5,17.272606603184816,13.775624396217331,1.4027508004727816,0.39771119373766395,0.5186721991701245,3.4932448999998087,17.52990853386872,13.941110146411697,1.4164912973073878,0.37963351333163864,0.5186721991701245,3.8226167000002533,0.25730193068390506,0.16548575019436562,0.013740496834606208,-0.01807768040602531,0.32937180000044464,0.0
cnn,456,fold_2,2023,5,17.310204550862363,13.66995365776642,1.4822482315092484,0.8486459099762532,0.51440329218107,3.9827981999997064,18.164117057767925,14.804118199829215,1.5906974587008331,0.83334500087449,0.5432098765432098,3.936666999999943,0.8539125069055622,1.1341645420627948,0.10844922719158467,-0.015300909101763183,-0.04613119999976334,2.8806584362139898
cnn,456,fold_3,2024,5,20.783978616454515,17.7131665758764,2.065075514745832,0.7772448232385757,0.4713114754098361,4.130354499999157,23.856675671181364,19.637654507927213,2.311255112435242,0.7065120432523497,0.5,4.252527700000428,3.0726970547268486,1.9244879320508126,0.2461795976894101,-0.07073277998622596,0.12217320000127074,2.868852459016391
cnn,456,fold_4,2025,5,17.343010705823684,13.743565144098218,1.75595321332369,0.8838905167017771,0.5769230769230769,4.510868800000026,17.062434660524502,13.00429747397574,1.6645732464672718,0.8876169768541811,0.5470085470085471,4.588884700000563,-0.28057604529918123,-0.7392676701224783,-0.09137996685641814,0.0037264601524039653,0.07801590000053693,-2.991452991452981
cnn,789,fold_1,2022,5,33.93832166082627,30.30449336019289,3.0796396844126757,-1.3252505258733644,0.5643153526970954,3.935591399999794,16.916117562776297,13.553423261780958,1.3843124125273787,0.42231589551018855,0.48132780082987553,3.8799364999995305,-17.022204098049972,-16.75107009841193,-1.695327271885297,1.747566421383553,-0.0556549000002633,-8.29875518672199
cnn,789,fold_2,2023,5,17.713980925987986,14.169984740504503,1.5373842662723098,0.8415026129230526,0.5596707818930041,3.955488599999626,17.281111074697332,13.723203026355538,1.4748100171027785,0.849154247836631,0.5679012345679012,3.942673200000172,-0.43286985129065414,-0.4467817141489654,-0.06257424916953136,0.007651634913578342,-0.012815399999453803,0.8230452674897082
cnn,789,fold_3,2024,5,21.031521309438915,17.47827946745957,2.055235205193988,0.7719070780651665,0.4959016393442623,4.179983300000458,21.403291897620345,17.934026784564615,2.10465192183919,0.7637718870397233,0.5081967213114754,4.261502299999847,0.3717705881814304,0.4557473171050468,0.04941671664520175,-0.008135191025443134,0.08151899999938905,1.2295081967213128
cnn,789,fold_4,2025,5,25.63066898709629,19.060278881286454,2.493671658542053,0.7464062231822985,0.5555555555555556,4.849422400000549,16.51304698982483,12.5670894349895,1.6037717987818358,0.8947376306056545,0.5683760683760684,4.777803300001324,-9.11762199727146,-6.493189446296954,-0.889899859760217,0.14833140742335593,-0.071619099999225,1.2820512820512775
cnn,2025,fold_1,2022,5,18.285482192658687,15.034077616148483,1.532438421851885,0.32500296864726075,0.44813278008298757,4.284426500000336,28.930789448293492,24.702292062984007,2.516649284625048,-0.6896999742968979,0.4315352697095436,3.9165412000002107,10.645307255634805,9.668214446835524,0.9842108627731632,-1.0147029429441585,-0.3678853000001254,-1.659751037344398
cnn,2025,fold_2,2023,5,14.827165913210358,12.067293905260136,1.3016236097037548,0.8889531979581732,0.551440329218107,4.015167100000326,14.576082017394691,11.812091009621753,1.2715409403586588,0.892682297069213,0.5596707818930041,3.931390200000351,-0.2510838958156665,-0.2552028956383836,-0.030082669345095958,0.003729099111039802,-0.08377689999997529,0.8230452674897082
cnn,2025,fold_3,2024,5,22.387116152150604,19.007214674876344,2.2398643686305815,0.7415558316719173,0.48770491803278687,4.189693199999965,18.002963754255934,14.767985895539878,1.7286197098502838,0.8328684479966095,0.47950819672131145,4.19639559999996,-4.38415239789467,-4.239228779336466,-0.5112446587802977,0.09131261632469223,0.006702399999994668,-0.8196721311475419
cnn,2025,fold_4,2025,5,15.53451282958632,11.81877430602017,1.5100001666868073,0.9068433238891702,0.5341880341880342,4.806052699999782,15.528084381190183,12.183257216325941,1.5498999030160312,0.9069204076038504,0.5341880341880342,4.596166799999992,-0.006428448396137654,0.36448291030577096,0.039899736329223945,7.708371468018171e-05,-0.20988589999979013,0.0
lstm,42,fold_1,2022,5,24.204725422469593,19.335021777761455,1.9736916746787958,-0.1827401748778863,0.5145228215767634,4.823506400000042,14.99049170674034,11.810898899116959,1.2003430092771201,0.5463501358001479,0.5228215767634855,4.561337899999671,-9.214233715729254,-7.524122878644496,-0.7733486654016757,0.7290903106780342,-0.26216850000037084,0.8298755186722073
lstm,42,fold_2,2023,5,17.196820557885427,12.926616812978766,1.381764100441414,0.8506221924931262,0.522633744855967,5.1285899000004065,15.58940079672091,12.177139283428469,1.3012126641243127,0.8772423383909044,0.5637860082304527,5.166910599999937,-1.6074197611645182,-0.7494775295502976,-0.08055143631710138,0.02662014589777817,0.038320699999530916,4.115226337448563
lstm,42,fold_3,2024,5,14.01450996892261,11.042608569401208,1.2923146803459682,0.8987193999902625,0.47540983606557374,7.273729000000458,14.47944116539783,11.674869803038764,1.3536700360540994,0.8918879672782378,0.5040983606557377,5.6214133000012225,0.4649311964752201,0.6322612336375553,0.06135535570813122,-0.006831432712024688,-1.6523156999992352,2.868852459016391
lstm,42,fold_4,2025,5,16.387551693435285,12.93874087586456,1.647247154904552,0.8963314898195982,0.5128205128205128,5.991090999999869,15.916779858062855,12.755918422384177,1.614041408739917,0.902202190517813,0.5384615384615384,6.500602599999183,-0.47077183537242995,-0.18282245348038373,-0.0332057461646349,0.005870700698214826,0.5095115999993141,2.564102564102566
lstm,123,fold_1,2022,5,29.992892342897274,26.37485770659826,2.6874219664495587,-0.8160413193600706,0.44398340248962653,4.646916000000601,16.789461645097557,13.630703524583573,1.3910367329146829,0.43093409035767916,0.5394190871369294,4.810059400000682,-13.203430697799718,-12.744154182014686,-1.2963852335348758,1.24697540971775,0.16314340000008087,9.54356846473029
lstm,123,fold_2,2023,5,11.01551479772988,8.893979214184556,0.9538868058289534,0.9387086258877325,0.5390946502057613,5.153325600000244,16.401416513261154,13.386395419978326,1.4362097138436372,0.8641209578053881,0.5720164609053497,5.202099500000259,5.385901715531274,4.49241620579377,0.4823229080146838,-0.0745876680823444,0.04877390000001469,3.292181069958844
lstm,123,fold_3,2024,5,15.579747047189864,13.141155313600267,1.5330421046327944,0.87483259850806,0.47540983606557374,6.6548676999991585,15.46593442599483,12.576572502404439,1.46760850585326,0.8766546559099806,0.5,5.580968000000212,-0.11381262119503432,-0.5645828111958284,-0.06543359877953447,0.0018220574019205404,-1.0738996999989467,2.4590163934426257
lstm,123,fold_4,2025,5,14.628195539957032,11.711621345188625,1.5005563417436592,0.9173961627873928,0.49145299145299143,6.504575200000545,16.229337729030068,12.878075756331288,1.651973170221515,0.8983235665487665,0.47435897435897434,6.411479100001088,1.6011421890730357,1.166454411142663,0.15141682847785587,-0.019072596238626227,-0.09309609999945678,-1.7094017094017089
