model,period,outer_folds,seeds_per_fold,test_year_start,test_year_end,rmse_delta_mean,rmse_delta_std_across_folds,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std_across_folds,runtime_seconds_delta_mean
cnn,frozen_forward,2,5,2024,2025,-1.742217965127376,0.5559467450413328,0.2956424267899688,0.18626324066564795,0.041139070000463095
cnn,labelled_validation,2,5,2022,2023,0.6320418646820263,0.1358416183290228,0.20029711592643828,2.161056839587592,0.07727082999990671
lstm,frozen_forward,2,5,2024,2025,1.6308890946751435,1.4416244248920795,1.0116295362196996,0.503307054564617,-0.2816871400000309
lstm,labelled_validation,2,5,2022,2023,-2.2415540989139657,6.449235448397161,3.1844338575551125,0.8951880326685919,0.19618427000004887
lstm_attention,frozen_forward,2,5,2024,2025,-1.9330434982687419,0.40635673121028565,-1.0638223343141366,1.6253449271914406,-0.1511155200001667
lstm_attention,labelled_validation,2,5,2022,2023,-11.894083503503964,7.437360400300125,-0.4115226337448563,0.5819808898654701,-0.34365172000034366
lstm_cnn,frozen_forward,2,5,2024,2025,1.1882154032189938,1.0963914299596578,-1.2235533137172472,0.6870933904341772,0.02912727000002634
lstm_cnn,labelled_validation,2,5,2022,2023,4.113984875283826,3.4855867714037787,-1.3665625053361348,1.0014418050921605,0.6314199899996311
lstm_cnn_attention,frozen_forward,2,5,2024,2025,-4.722432812185484,4.469923842472584,-0.6165055345383197,0.7509975341731874,-0.17607010999981867
lstm_cnn_attention,labelled_validation,2,5,2022,2023,1.8233429010759439,0.22152392422999662,-0.7036866280757474,0.4131822832198423,0.19560601000011957
