model,test_year,seeds_per_fold,rmse_delta_mean,rmse_delta_std,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std,runtime_seconds_delta_mean,period
cnn,2022,5,0.7280963941698332,10.69931495715506,-1.3278008298755173,4.143148851905931,0.19080197999974188,labelled_validation
cnn,2023,5,0.5359873351942195,1.2215017126779135,1.7283950617283939,1.4665456527741152,-0.03626031999992846,labelled_validation
cnn,2024,5,-2.135331678524691,4.3412000929304195,0.16393442622950727,2.0202881219452853,0.05808646000004954,frozen_forward
cnn,2025,5,-1.3491042517300609,4.686426314570209,0.4273504273504304,2.473469423673124,0.024191680000876643,frozen_forward
lstm,2022,5,-6.801852217944263,9.904762869150549,3.817427385892118,3.7043508913967864,0.5024417600001471,labelled_validation
lstm,2023,5,2.3187440201163314,6.199518958736342,2.5514403292181065,1.2482099496381167,-0.11007322000004933,labelled_validation
lstm,2024,5,0.6115066879097973,1.4568576333373395,0.6557377049180313,2.434991930739831,-0.5926556399997935,frozen_forward
lstm,2025,5,2.6502715014404896,2.7696972465297964,1.367521367521368,2.535452474220738,0.02928135999973171,frozen_forward
lstm_attention,2022,5,-17.153091476684477,45.417041166208236,-1.1102230246251565e-15,1.209741057021848,-0.6804533200000151,labelled_validation
lstm_attention,2023,5,-6.63507553032345,15.424189980509032,-0.8230452674897115,3.4307267490808804,-0.0068501200006722,labelled_validation
lstm_attention,2024,5,-1.64570589804915,9.047161582649196,-2.21311475409836,1.5766708247271564,-0.13909256000042655,frozen_forward
lstm_attention,2025,5,-2.220381098488334,5.885770899933882,0.08547008547008642,2.328961810844222,-0.16313847999990683,frozen_forward
lstm_cnn,2022,5,6.578666917757563,5.184616042079402,-2.0746887966804985,2.656898023831056,0.2397562599999219,labelled_validation
lstm_cnn,2023,5,1.6493028328100898,3.391290769686021,-0.6584362139917712,3.1689914910581827,1.0230837199993403,labelled_validation
lstm_cnn,2024,5,1.9634812181782835,13.139513978688198,-0.7377049180327844,2.195589382947361,0.0633105799999612,frozen_forward
lstm_cnn,2025,5,0.412949588259704,8.347321094226045,-1.70940170940171,1.1306629534464054,-0.005056039999908524,frozen_forward
lstm_cnn_attention,2022,5,1.9799839700940296,2.6031631071783816,-0.9958506224066387,2.853734251294508,0.10781009999991512,labelled_validation
lstm_cnn_attention,2023,5,1.6667018320578584,1.3958040509887504,-0.4115226337448563,3.3935025725248225,0.28340192000032405,labelled_validation
lstm_cnn_attention,2024,5,-1.5617193517856909,9.269839743211929,-1.1475409836065564,1.7722744516753808,-0.08595049999967158,frozen_forward
lstm_cnn_attention,2025,5,-7.883146272585276,15.812704824175599,-0.08547008547008295,1.9443270369362964,-0.26618971999996577,frozen_forward
