stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds,news_start_year
track_b_fusion,cnn,technical_vmd,20,42,fold_1,2019,2021,2022,727,241,31.74401535893194,27.083238314226918,2.7527512414211115,-1.0342894623508436,0.5083333333333333,0.47326259574169066,-0.06931059172669272,1.0,240,1,0,16,91,27,106,0.8208333333333333,3.580611299999873,2019
track_b_fusion,cnn,technical_vmd,20,42,fold_2,2019,2022,2023,968,243,22.004607359356378,17.26094491468536,1.8492969299250146,0.7554222142719659,0.5537190082644629,0.5488623903508771,0.09906447512118223,1.0,242,1,0,81,47,61,53,0.4132231404958678,3.4737120999998297,2019
track_b_fusion,cnn,technical_vmd,20,42,fold_3,2019,2023,2024,1211,244,21.71033190177805,16.64889824363051,1.9631480224877202,0.7569456726652909,0.5040983606557377,0.5142001480584157,0.03259013210316665,1.0,244,0,0,34,93,28,89,0.7459016393442623,3.7623060000041733,2019
track_b_fusion,cnn,technical_vmd,20,42,fold_4,2019,2024,2025,1455,234,27.3002319045639,21.77217366498759,2.8264730077335125,0.7122923693797463,0.5213675213675214,0.5230263157894737,0.04642056790565327,1.0,234,0,0,55,65,47,67,0.5641025641025641,4.344445300004736,2019
track_b_fusion,cnn,technical_vmd,20,123,fold_1,2019,2021,2022,727,241,24.499389191243097,19.73449320984083,2.00664729980343,-0.21171237125400566,0.5,0.49314875974984185,-0.013729520448667598,1.0,240,1,0,46,61,59,74,0.5625,3.2788870000003953,2019
track_b_fusion,cnn,technical_vmd,20,123,fold_2,2019,2022,2023,968,243,19.810350648998128,16.12462982222377,1.738210641165135,0.8017678519169547,0.5330578512396694,0.5298108552631579,0.05992431372503764,1.0,242,1,0,75,53,60,54,0.44214876033057854,3.464102300000377,2019
track_b_fusion,cnn,technical_vmd,20,123,fold_3,2019,2023,2024,1211,244,24.611749217874223,19.924756197816997,2.3569916754533815,0.6876400143193127,0.5204918032786885,0.5353321219462952,0.1019401813439615,1.0,244,0,0,22,105,12,105,0.860655737704918,3.835708500002511,2019
track_b_fusion,cnn,technical_vmd,20,123,fold_4,2019,2024,2025,1455,234,31.28261479643911,24.394842193195455,3.1802822456110142,0.6222323174580859,0.5555555555555556,0.5625,0.1482927535004349,1.0,234,0,0,35,85,19,95,0.7692307692307693,4.201917699996557,2019
track_b_fusion,cnn,technical_vmd,20,456,fold_1,2019,2021,2022,727,241,25.304862169955054,21.496707819062145,2.192556898494084,-0.2926977131989448,0.48333333333333334,0.4735436722647741,-0.05342568672822084,1.0,240,1,0,41,66,58,75,0.5875,3.1276193000012427,2019
track_b_fusion,cnn,technical_vmd,20,456,fold_2,2019,2022,2023,968,243,21.812929041483013,18.25639316032451,1.9680432204448004,0.7596646054125995,0.5289256198347108,0.5378974780701755,0.07947481579109976,1.0,242,1,0,49,79,35,79,0.6528925619834711,3.4505271000016364,2019
