model,period,outer_folds,seeds_per_fold,test_year_start,test_year_end,rmse_delta_mean,rmse_delta_std_across_folds,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std_across_folds,balanced_accuracy_delta_pp_mean,balanced_accuracy_delta_pp_std_across_folds,mcc_delta_mean,mcc_delta_std_across_folds,runtime_seconds_delta_mean
cnn,frozen_forward,2,5,2024,2025,2.6289614159517,1.4538635195398475,-0.4343561720610911,1.0779489672565015,-0.549716900266009,1.089592914153119,-0.010689577598367818,0.031146766226418446,-0.025119390001054866
cnn,labelled_validation,2,5,2022,2023,-1.4865068187887198,2.374084900829994,0.11604683195592258,2.8746909981709297,0.4091923368585033,1.629084997846332,0.012759011432320482,0.02404558647699663,0.06741091000076266
lstm,frozen_forward,2,5,2024,2025,1.9351325177934715,1.863598953559594,1.0613703236654055,1.037327728600693,1.3368085441748927,1.092961627853822,0.029249732462451574,0.017053367281796194,0.006782189998193639
lstm,labelled_validation,2,5,2022,2023,-3.1353236289689157,5.574864634180808,3.031680440771347,0.8980061325812638,1.020731406495211,2.1133234578562483,0.020528934212008236,0.05006296060440184,-0.0640579000013531
lstm_attention,frozen_forward,2,5,2024,2025,-13.246200475772147,11.015784840772152,1.0011209191537056,0.20706924095276416,1.079229405534834,0.5276276010697952,0.02873272771026826,0.01769690023225823,-0.05024084999822661
lstm_attention,labelled_validation,2,5,2022,2023,-13.76705487060615,8.391750944515373,-0.20661157024793378,0.2921928847878279,-0.3638248293045708,0.2606033425374039,-0.006076749970993179,0.008195404748813388,-0.07362634000091929
lstm_cnn,frozen_forward,2,5,2024,2025,1.9724238204251727,4.785942543967879,-0.11944794731680139,0.4106708151910053,-0.2409686137410938,0.6633210169369739,-0.009464447472550172,0.025856172689708582,0.12122466999790048
lstm_cnn,labelled_validation,2,5,2022,2023,3.165189934353058,2.513693972210585,-1.5778236914600536,0.36134520085428334,-1.5535223865739094,0.1677635392409152,-0.03367468179925612,0.0007402429488284673,-0.12538371000191545
lstm_cnn_attention,frozen_forward,2,5,2024,2025,-1.7834148711196405,1.3564802851817892,-1.4021998038391514,1.3786452095013049,-1.3611815096999516,1.323340318754284,-0.02915808510201108,0.025624256711407185,-0.06670672999971433
lstm_cnn_attention,labelled_validation,2,5,2022,2023,1.5401623039621175,0.002871263408132759,-0.5816115702479348,0.2381372011020811,-0.4137808744993332,0.17077844874042958,-0.008952315467721201,0.0038683564140113494,0.043598779998137625
