model,test_year,seeds_per_fold,rmse_delta_mean,rmse_delta_std,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std,balanced_accuracy_delta_pp_mean,balanced_accuracy_delta_pp_std,mcc_delta_mean,mcc_delta_std,runtime_seconds_delta_mean,period
cnn,2022,5,-3.1652383512782007,5.184903449714081,-1.9166666666666667,2.4224069756247704,-0.7427447122479103,1.4605874519880127,-0.00424378582317138,0.04128160672771339,0.08364678000070852,labelled_validation
cnn,2023,5,0.19222471370076094,2.3949231790749654,2.148760330578512,1.9249280493970407,1.561129385964917,1.5027956316118471,0.029761808687812343,0.027523267158239363,0.05117504000081678,labelled_validation
cnn,2024,5,1.6009246623653333,14.53460985858033,0.3278688524590168,1.7958116639513633,0.22074163806447328,1.743398204950259,0.011334512012364798,0.06437302221618829,0.02013949999818574,frozen_forward
cnn,2025,5,3.656998169538067,11.048661830008392,-1.196581196581199,3.072765472179067,-1.3201754385964912,3.4725861612901516,-0.03271366720910043,0.08301779522355582,-0.07037828000029547,frozen_forward
lstm,2022,5,-7.077348215995227,9.857869782040387,3.6666666666666643,3.672816811839836,-0.4736139413955452,3.3544857630601586,-0.014870924717639279,0.0754828031252085,-0.20924762000213373,labelled_validation
lstm,2023,5,0.8067009580573956,4.105986361519186,2.3966942148760295,2.9711864483053785,2.5150767543859676,3.4287410662192883,0.055928793141655754,0.07390824097596943,0.08113181999942753,labelled_validation
lstm,2024,5,0.6173690603193286,1.268071447618082,0.32786885245901687,2.582292459348094,0.5639679655427676,2.9644307246175687,0.017191180815428683,0.07421554378298612,0.018141799999284558,frozen_forward
lstm,2025,5,3.2528959752676143,2.4023946980057387,1.7948717948717943,2.9515037008259846,2.109649122807018,3.0152272701937894,0.041308284109474465,0.061304743258437704,-0.00457742000289728,frozen_forward
lstm_attention,2022,5,-19.700918869501585,51.007994424542105,-1.0658141036401502e-15,1.5590239111558077,-0.5480992200126498,2.204830452600922,-0.0002817236985387994,0.052508965155348135,-0.0187120999995386,labelled_validation
lstm_attention,2023,5,-7.833190871710715,19.423199012929636,-0.4132231404958665,1.678520331536356,-0.1795504385964918,1.8005025246512996,-0.01187177624344756,0.03678085664820455,-0.12854058000229998,labelled_validation
lstm_attention,2024,5,-5.456864314770185,15.832248414902464,1.1475409836065562,1.8419840208396954,1.4523184601924766,1.955857063361835,0.04124632587047984,0.038815683720523395,0.06879826000076718,frozen_forward
lstm_attention,2025,5,-21.035536636774108,46.35428206365506,0.8547008547008549,3.52402190223732,0.7061403508771912,3.1939492704387225,0.016219129550056676,0.06867542199207127,-0.1692799599972204,frozen_forward
lstm_cnn,2022,5,4.942639987930911,5.429812254254072,-1.8333333333333326,2.4224069756247704,-1.4348956503408028,2.427609822254504,-0.03419811260809825,0.05305305102571971,-0.27107792000024344,labelled_validation
lstm_cnn,2023,5,1.3877398807752042,5.361956181189401,-1.322314049586775,3.8253840697630155,-1.672149122807016,2.7625821564649558,-0.03315125099041398,0.05208723789354901,0.020310499996412563,labelled_validation
lstm_cnn,2024,5,5.356596247634057,8.62357488989322,-0.40983606557376867,2.318382889136222,-0.7100074029207848,1.8237918598707392,-0.027747522516973523,0.042794064042601145,0.253107679997629,frozen_forward
lstm_cnn,2025,5,-1.4117486067837113,9.316654040591967,0.1709401709401659,1.7253529263407121,0.2280701754385972,1.7959441841174748,0.00881862757187318,0.04464992584207752,-0.010658340001828043,frozen_forward
lstm_cnn_attention,2022,5,1.538132014135654,2.869317607662066,-0.7500000000000008,3.0675270532176575,-0.2930222753144563,2.3360782029019185,-0.006216974415327299,0.046558990440254175,0.07460619999910705,labelled_validation
lstm_cnn_attention,2023,5,1.542192593788581,1.447778080131181,-0.4132231404958686,2.6134526117094046,-0.5345394736842102,2.164588619366063,-0.011687656520115101,0.04337376132544598,0.0125913599971682,labelled_validation
lstm_cnn_attention,2024,5,-0.8242384629217355,4.075493273806894,-2.3770491803278726,2.7553666088478086,-2.296924422908673,2.7808873551326614,-0.047277170785512,0.07205613245874325,-0.02577236000215638,frozen_forward
lstm_cnn_attention,2025,5,-2.7425912793175455,12.750121412875107,-0.4273504273504303,1.1703473450965096,-0.42543859649122995,1.2095843970826243,-0.01103899941851016,0.028760155488730167,-0.1076410999972723,frozen_forward
